#            id              z           maxz            snr         maxzsnr
#
              6          1.035          1.215          8.124        5.01489
             18          1.018            -99          2.512            -99
             35          0.401            -99          1.492            -99
             36         0.3567         0.4767          11.02        5.30151
             38           3.78            -99          3.954            -99
             44          3.913            -99          1.433            -99
             48           2.26            -99      2.621e-05            -99
             50            1.4            -99          1.776            -99
             56           2.41            -99      1.565e-05            -99
             64           1.37            -99          2.177            -99
             65           2.07            -99       4.11e-05            -99
             91          0.455            -99         0.7143            -99
             95           2.16            -99         0.2671            -99
            106           2.01           2.01          5.092              0
            107         0.6233            -99          4.263            -99
            112          1.045            -99          3.238            -99
            123          2.683            -99          0.515            -99
            126          1.419            -99      3.866e-05            -99
            127          0.582          0.902           15.5        5.03932
            130          4.127          5.107          8.036         5.0351
            132           1.47            -99        0.03046            -99
            135           1.39            -99          1.017            -99
            142          2.352            -99          2.858            -99
            145           0.28            0.3          6.625        5.66699
            152         0.4677         0.5877          8.993        5.22446
            158           1.84           2.78          14.65        5.07232
            162          1.256          2.476           79.2        5.01853
            169           2.04            -99      2.778e-05            -99
            175          1.762            -99            4.8            -99
            179          1.767            -99          3.155            -99
            180           1.21            -99         0.7263            -99
            185          1.601            -99          3.525            -99
            186          1.259            -99          2.577            -99
            207          1.968            -99          1.039            -99
            208          1.829            -99          1.238            -99
            213         0.5044         0.8244          41.86        5.00666
            214          2.699            -99          2.094            -99
            216          0.159          0.179          6.501        5.24289
            217          2.629            -99          3.441            -99
            227          0.921            -99          2.684            -99
            239           3.34            -99          2.318            -99
            242          1.341            -99      2.912e-05            -99
            245         0.7353            -99          2.966            -99
            247          0.041            -99      4.844e-05            -99
            248          1.363            -99          3.022            -99
            254            1.5            -99      3.984e-05            -99
            255          1.316          1.776          10.95        5.03848
            256           2.51           3.59          13.06        5.05814
            257          2.431          3.951           17.1        5.04514
            262         0.3712            -99          1.843            -99
            264          2.358            -99          4.036            -99
            270           1.39            -99          1.091            -99
            277           2.23            -99          2.166            -99
            288         0.3913            -99          4.384            -99
            289          3.056          3.336          5.687        5.07013
            309          4.151            -99           1.23            -99
            314          0.401            -99          1.839            -99
            316           2.17            -99          1.687            -99
            317         0.3886            -99          4.939            -99
            330           2.38            -99          1.514            -99
            337              3            -99         0.4249            -99
            339         0.9719            -99         0.6563            -99
            340          1.435            -99          2.416            -99
            343         0.8828            -99          2.549            -99
            356          1.248          1.448          7.361        5.14362
            365          1.174            -99          1.135            -99
            368         0.7607            -99      3.347e-05            -99
            371          0.201            -99          1.735            -99
            374         0.8178         1.0578          10.21        5.14348
            375           1.26           1.32          5.831        5.14139
            376           2.83           3.57          8.481          5.064
            379          4.525            -99         0.8382            -99
            381          3.835            -99          3.071            -99
            385           2.57           3.59          10.62        5.03925
            390           2.03            -99      2.714e-05            -99
            391           2.32            -99         0.3115            -99
            394          1.151            -99          2.754            -99
            398          1.044            -99         0.1936            -99
            399          2.885            -99           3.55            -99
            401          1.251            -99         0.8488            -99
            407          1.521          2.521          21.02         5.0487
            409         0.6997            -99          2.179            -99
            413         0.6233            -99          3.566            -99
            414           1.16            -99          2.327            -99
            416         0.4158            -99          1.606            -99
            418          1.292            -99          2.769            -99
            421           1.24            -99         0.2838            -99
            428           1.29            -99          1.914            -99
            429          1.147            -99          2.417            -99
            430          1.253            -99            2.2            -99
            431          0.676            -99          2.569            -99
            432         0.7425            -99          2.457            -99
            433          1.701            -99           1.57            -99
            437           3.09            -99          3.689            -99
            438          1.229          1.829          22.78        5.13375
            439           1.59            -99          0.913            -99
            442          1.174          1.574           11.7        5.05615
            449         0.1893         0.2893          16.01        5.48748
            450          4.554            -99          3.148            -99
            451          1.019            -99          1.388            -99
            468          4.681            -99          2.145            -99
            481          0.179            -99           3.72            -99
            482           2.27            -99      3.688e-05            -99
            490          1.119            -99      4.592e-05            -99
            498          4.119            -99          4.705            -99
            501           2.41            -99          3.248            -99
            502           2.36            -99      5.627e-05            -99
            503           2.26            -99      4.922e-05            -99
            505          2.816            -99      4.909e-05            -99
            506          1.801            -99          2.166            -99
            509          0.452            -99          1.479            -99
            510         0.6798         1.0398           22.9        5.04736
            512          1.077            -99          3.452            -99
            516          3.951            -99          2.383            -99
            521          1.037            -99          1.648            -99
            530           0.64            -99          3.841            -99
            532         0.9746         1.4946          21.35        5.15648
            533           1.03            -99          1.955            -99
            540           2.18            -99          2.172            -99
            541          0.801          1.061          11.07        5.09381
            546           3.03           3.55          7.452        5.02964
            547          2.612          3.372          10.98        5.07659
            548           1.78            2.2          8.967        5.02115
            550          1.239            -99      4.042e-05            -99
