#         id850           f850           df850
#
             38    8.67525e-41          1e+10
             44    8.67525e-41          1e+10
            106    8.67525e-41          1e+10
            130    8.67525e-41          1e+10
            158    8.67525e-41          1e+10
            217    8.67525e-41          1e+10
            239    8.67525e-41          1e+10
            256    8.67525e-41          1e+10
            257    8.67525e-41          1e+10
            289    8.67525e-41          1e+10
            309    8.67525e-41          1e+10
            376    8.67525e-41          1e+10
            379    8.67525e-41          1e+10
            381    8.67525e-41          1e+10
            385    8.67525e-41          1e+10
            407    8.67525e-41          1e+10
            437    8.67525e-41          1e+10
            450    8.67525e-41          1e+10
            468    8.67525e-41          1e+10
            498    8.67525e-41          1e+10
            516    8.67525e-41          1e+10
            546    8.67525e-41          1e+10
            547    8.67525e-41          1e+10
            548    8.67525e-41          1e+10
            564    8.67525e-41          1e+10
            593    8.67525e-41          1e+10
            621    8.67525e-41          1e+10
            658    8.67525e-41          1e+10
            659    8.67525e-41          1e+10
            714    8.67525e-41          1e+10
            807    8.67525e-41          1e+10
            827         1.7649       0.824794
            837    9.96052e-06         1.1884
            841    3.45368e-09        1.33643
            884       0.974415        1.06709
            915        3.98892        1.13502
            917    8.67525e-41          1e+10
            923    8.67525e-41          1e+10
            974    3.45368e-09        1.19998
           1005        1.90806        1.22039
           1036    8.67525e-41          1e+10
           1076       0.315011        1.06479
           1094    8.67525e-41          1e+10
           1109    3.45368e-09        1.24714
           1146    8.67525e-41          1e+10
           1148        3.25164        0.98475
           1159        6.97232        1.16087
           1167    3.45368e-09        3.63057
           1168        7.25723        3.47585
           1248    8.67525e-41          1e+10
           1262        2.31304       0.895429
           1269        1.61703       0.720897
           1284         1.7204        1.13385
           1368        2.46131       0.939238
           1387    8.67525e-41          1e+10
           1445    8.67525e-41          1e+10
           1475    3.45368e-09       0.915112
           1490        1.06031       0.831711
           1556    8.67525e-41          1e+10
           1651        3.02352        1.17613
           1735        2.70374       0.956343
           1762        1.67398        1.12981
           1824    8.67525e-41          1e+10
           1921        2.64207         1.1753
           1945       0.691236       0.962924
           2099    3.45368e-09       0.998163
           2175        1.41278          0.987
           2320         3.2018       0.970577
           2337        1.44205        1.02365
           2489         5.4747        0.89201
           2552       0.555491        1.02487
           2592        4.65335        0.96937
           2681    3.45368e-09        1.12811
           2697    3.45368e-09        1.00241
           2728    3.45368e-09        1.27082
           2925        2.21585        1.31256
           3001    8.67525e-41          1e+10
           3125    8.67525e-41          1e+10
           3276        1.94239       0.923342
           3289        1.26446       0.964635
           3455        2.35252       0.928456
           3532         5.1173       0.969528
           3535       0.514459        1.02709
           3654    3.45368e-09          1.079
           3661    3.45368e-09        1.38249
           3668    8.67525e-41          1e+10
           3780    3.45368e-09       0.925415
           3821        2.65015        1.07356
           3827    8.67525e-41          1e+10
           4004       0.814292       0.935503
           4215    3.45368e-09       0.830774
           4312       0.654204       0.909665
           4449        1.86067       0.922417
           4456        2.35348       0.973511
           4500        5.29362       0.889363
           4601        2.69463       0.980599
           4762    8.67525e-41          1e+10
           4826        1.07212       0.781557
           4849    3.45368e-09       0.913973
           4990        6.60105        1.02898
           4995        2.43996       0.837946
           4997        1.52936       0.962337
           5023    8.67525e-41          1e+10
           5090        4.68887       0.991757
           5156       0.234737       0.909055
           5171        1.41298       0.822086
           5211    3.45368e-09       0.931426
           5215    8.67525e-41          1e+10
           5258        1.82829       0.924094
