#            id        goodArea
#
              6              0
             18              0
             35              0
             36              0
             38              0
             44              0
             48              0
             50              0
             56              0
             64              0
             65              0
             91              0
             95              0
            106              0
            107              0
            112              0
            123              0
            126              0
            127              0
            130              0
            132              0
            135              0
            142              0
            145              0
            152              0
            158              0
            162              0
            169              0
            175              0
            179              0
            180              0
            185              0
            186              0
            207              0
            208              0
            213              0
            214              0
            216              0
            217              0
            227              0
            239              0
            242              0
            245              0
            247              0
            248              0
            254              0
            255              1
            256              1
            257              0
            262              0
            264              1
            270              0
            277              0
            288              0
            289              0
            309              0
            314              0
            316              0
            317              0
            330              0
            337              1
            339              1
            340              1
            343              1
            356              0
            365              1
            368              0
            371              0
            374              1
            375              1
            376              0
            379              1
            381              1
            385              1
            390              1
            391              1
            394              0
            398              1
            399              0
            401              1
            407              1
            409              1
            413              0
            414              1
            416              0
            418              1
            421              1
            428              1
            429              1
            430              1
            431              1
            432              0
            433              0
            437              1
            438              1
            439              0
            442              0
            449              0
            450              1
            451              1
            468              1
            481              0
            482              0
            490              0
            498              1
            501              0
            502              1
            503              1
            505              0
            506              1
            509              0
            510              0
            512              1
            516              0
            521              1
            530              1
            532              1
            533              1
            540              0
            541              1
            546              1
            547              1
            548              1
            550              0
            552              1
            554              0
            559              0
            561              0
            562              0
            564              1
            581              1
            593              0
            597              1
            598              1
            604              0
            606              1
            620              1
            621              1
            622              1
            628              1
            631              0
            637              0
            638              0
            652              1
            658              1
            659              1
            661              0
            664              1
            669              0
            672              1
            689              0
            692              1
            697              1
            702              1
            710              0
            713              1
            714              1
            718              0
            719              1
            721              1
            729              1
            737              1
            740              1
            748              0
            749              0
            753              1
            760              1
            762              0
            768              0
            776              0
            779              1
            786              0
            793              1
            804              0
            805              0
            807              0
            808              0
            809              0
            825              0
            826              0
            827              0
            837              1
            841              1
            849              0
            860              1
            866              1
            867              1
            870              0
            872              1
            877              0
            878              1
            881              1
            884              1
            885              1
            886              1
            892              0
            893              1
            899              0
            902              0
            915              1
            917              0
            922              0
            923              0
            924              0
            926              1
            928              1
            931              0
            934              1
            937              0
            939              1
            950              1
            951              1
            960              0
            965              1
            966              1
            972              1
            974              1
            994              0
            995              1
           1002              1
           1005              1
           1006              1
           1008              1
           1023              0
           1026              1
           1035              1
           1036              0
           1037              0
           1042              1
           1053              1
           1058              1
           1064              0
           1075              1
           1076              1
           1077              1
           1081              0
           1084              1
           1089              0
           1091              1
           1094              1
           1101              0
           1102              1
           1103              1
           1104              1
           1105              1
           1109              0
           1113              1
           1118              0
           1121              1
           1123              1
           1125              0
           1129              1
           1133              1
           1135              1
           1140              0
           1141              0
           1143              1
           1144              1
           1146              0
           1147              1
           1148              1
           1150              1
           1159              0
           1160              1
           1167              1
           1168              1
           1172              0
           1181              1
           1186              0
           1202              1
           1208              1
           1221              1
           1222              1
           1225              0
           1235              0
           1239              0
           1248              0
           1252              1
           1253              1
           1262              0
           1269              0
           1270              1
           1273              1
           1278              1
           1284              1
           1285              1
           1293              1
           1303              1
           1306              1
           1313              0
           1315              1
           1320              1
           1334              1
           1335              1
           1337              0
           1338              1
           1341              1
           1342              1
           1348              1
           1350              0
           1355              0
           1357              1
           1367              1
           1368              1
           1369              1
           1371              1
           1384              0
           1387              0
           1391              1
           1393              0
           1394              0
           1396              1
           1401              1
           1402              1
           1416              1
           1419              1
           1420              0
           1434              1
           1437              1
           1445              1
           1449              1
           1452              0
           1458              1
           1469              0
           1475              1
           1476              1
           1477              1
           1479              0
           1480              0
           1490              1
           1491              1
           1495              0
           1497              1
           1501              1
           1502              1
           1513              0
           1515              1
           1520              1
           1524              1
           1525              1
           1532              0
           1533              1
           1543              1
           1544              1
           1545              0
           1548              1
           1551              1
           1556              1
           1558              0
           1563              0
           1567              1
           1569              0
           1579              1
           1592              1
           1593              1
           1602              1
           1604              0
           1606              0
           1616              0
           1618              0
           1622              1
           1626              1
           1629              1
           1631              1
           1633              1
           1634              1
           1638              0
           1644              1
           1648              1
           1650              0
           1651              1
           1662              1
           1673              0
           1693              0
           1702              1
           1709              0
           1710              1
           1711              1
           1712              1
           1717              1
           1724              1
           1734              0
           1735              1
           1737              1
           1740              0
           1741              1
           1747              0
           1753              1
           1762              1
           1764              1
           1775              1
           1779              1
           1813              0
           1814              0
           1818              1
           1822              1
           1824              0
           1836              1
           1843              1
           1847              1
           1850              1
           1855              1
           1859              1
           1865              1
           1866              1
           1870              0
           1880              1
           1886              1
           1894              1
           1899              1
           1907              1
           1908              1
           1918              1
           1919              1
           1921              0
           1930              1
           1937              1
           1938              1
           1944              1
           1945              1
           1951              1
           1960              0
           1961              1
           1968              1
           1973              1
           1990              1
           1999              0
           2007              0
           2022              1
           2025              1
           2032              1
           2046              1
           2052              0
           2054              1
           2056              1
           2059              0
           2061              0
           2089              1
           2094              1
           2099              1
           2101              0
           2106              1
           2115              1
           2124              0
           2129              0
           2135              1
           2137              1
           2140              1
           2141              1
           2144              0
           2147              1
           2150              1
           2152              1
           2160              1
           2163              1
           2175              1
           2181              0
           2185              1
           2189              1
           2192              1
           2195              1
           2196              1
           2197              1
           2202              1
           2229              1
           2231              1
           2234              1
           2239              1
           2252              1
           2256              1
           2262              1
           2266              1
           2268              0
           2272              1
           2290              1
           2295              1
           2296              1
           2297              1
           2314              1
           2318              0
           2320              1
           2323              1
           2324              1
           2327              1
           2328              0
           2330              1
           2331              1
           2336              0
           2337              0
           2342              1
           2347              1
           2357              1
           2359              1
           2360              1
           2365              1
           2369              1
           2374              0
           2376              0
           2378              1
           2387              1
           2395              0
           2399              1
           2408              1
           2412              1
           2417              1
           2418              1
           2432              1
           2433              0
           2440              0
           2449              0
           2455              1
           2463              1
           2488              0
           2489              0
           2500              1
           2509              0
           2510              1
           2513              1
           2518              1
           2524              1
           2525              1
           2540              1
           2543              1
           2544              1
           2552              1
           2561              1
           2569              0
           2574              0
           2577              1
           2578              1
           2587              1
           2588              1
           2591              1
           2592              1
           2594              1
           2596              1
           2605              1
           2608              1
           2615              1
           2619              1
           2622              1
           2625              1
           2643              1
           2648              1
           2652              1
           2655              1
           2660              1
           2667              1
           2668              1
           2670              1
           2671              1
           2674              1
           2677              1
           2681              1
           2682              1
           2683              1
           2687              1
           2697              1
           2705              1
           2715              1
           2716              1
           2720              1
           2722              1
           2725              1
           2728              0
           2738              1
           2739              1
           2740              1
           2741              1
           2746              1
           2758              1
           2767              1
           2769              1
           2776              1
           2778              1
           2785              1
           2794              1
           2805              1
           2806              0
           2813              1
           2818              1
           2822              0
           2825              1
           2831              1
           2841              1
           2856              0
           2870              0
           2874              1
           2877              0
           2878              1
           2880              1
           2884              1
           2888              1
           2890              1
           2893              1
           2895              1
           2896              1
           2901              1
           2920              1
           2925              0
           2947              1
           2957              1
           2973              1
           2979              1
           2992              1
           2994              1
           3001              0
           3012              1
           3022              1
           3028              0
           3029              1
           3037              0
           3039              1
           3063              1
           3066              1
           3069              1
           3071              1
           3074              1
           3075              1
           3078              1
           3081              1
           3083              1
           3084              1
           3085              1
           3087              1
           3089              1
           3093              1
           3099              1
           3101              0
           3103              1
           3112              1
           3114              1
           3119              0
           3121              1
           3125              0
           3140              0
           3143              1
           3145              0
           3165              1
           3171              1
           3188              1
           3196              1
           3207              1
           3220              1
           3229              1
           3236              1
           3247              1
           3263              1
           3265              1
           3267              0
           3276              1
           3280              1
           3281              1
           3288              1
           3289              1
           3296              1
           3304              0
           3306              1
           3307              1
           3310              0
           3316              1
           3326              1
           3332              1
           3337              1
           3347              1
           3349              1
           3355              1
           3358              1
           3367              1
           3376              1
           3380              1
           3393              1
           3401              1
           3403              1
           3413              0
           3417              1
           3429              1
           3441              1
           3442              1
           3444              0
           3452              1
           3455              1
           3460              0
           3463              1
           3484              1
           3487              1
           3492              1
           3500              1
           3526              1
           3527              1
           3532              1
           3535              1
           3560              1
           3568              1
           3570              1
           3572              1
           3584              1
           3587              1
           3588              1
           3595              0
           3620              1
           3626              1
           3627              1
           3638              1
           3648              1
           3651              1
           3652              1
           3654              1
           3658              1
           3661              1
           3668              0
           3676              1
           3677              1
           3679              1
           3680              1
           3686              0
           3696              1
           3699              1
           3703              1
           3704              1
           3709              0
           3712              1
           3718              1
           3721              1
           3739              1
           3742              1
