#        _id   snrFIRSMM     zFIRSMM      snr100      snr160      snr250      snr350      snr500      snr850     snr1160
#
           6       8.124       1.035       3.395       1.342       6.184       3.325       1.837      1e-109         -99
          18       2.512       1.018           0       2.512         -99         -99         -99      1e-109         -99
          35       1.492       0.401       1.492         -99         -99         -99         -99      1e-109         -99
          36       11.02      0.3567       8.657       6.375       2.422         -99         -99      1e-109         -99
          38       3.954        3.78   2.426e-05       1.286        2.28       2.107       1.971   8.675e-51      0.6755
          44       1.433       3.913       1.431   9.428e-06   1.926e-07   6.441e-08     0.06185   8.675e-51   1.272e-10
          48   2.621e-05        2.26   2.528e-05   6.912e-06         -99         -99         -99      1e-109         -99
          50       1.776         1.4       1.776   1.767e-05         -99         -99         -99      1e-109         -99
          56   1.565e-05        2.41         -99   1.565e-05         -99         -99         -99   8.675e-51         -99
          64       2.177        1.37      0.4243       2.136         -99         -99         -99      1e-109         -99
          65    4.11e-05        2.07   3.913e-05   1.259e-05         -99         -99         -99      1e-109         -99
          91      0.7143       0.455      0.7143   1.215e-05         -99         -99         -99      1e-109         -99
          95      0.2671        2.16      0.2671    1.38e-05         -99         -99         -99      1e-109         -99
         106       5.092        2.01       3.106   0.0005735       3.101       2.428         -99   8.675e-51      0.8756
         107       4.263      0.6233       4.263     0.01419         -99         -99         -99      1e-109         -99
         112       3.238       1.045       2.266       2.313         -99         -99         -99      1e-109         -99
         123       0.515       2.683       0.515   7.397e-06         -99         -99         -99      1e-109         -99
         126   3.866e-05       1.419   3.677e-05   1.196e-05         -99         -99         -99      1e-109         -99
         127        15.5       0.582       9.644           8       8.748       2.606         -99      1e-109         -99
         130       8.036       4.127   2.032e-05      0.9777       4.195       4.231       5.303   8.675e-51   1.555e-10
         132     0.03046        1.47     0.03046   1.654e-05         -99         -99         -99      1e-109         -99
         135       1.017        1.39       1.017   1.352e-05         -99         -99         -99      1e-109         -99
         142       2.858       2.352       1.331   1.136e-05       2.429      0.7022         -99   8.675e-51   1.915e-10
         145       6.625        0.28       4.737       4.467       1.223         -99         -99      1e-109         -99
         152       8.993      0.4677       7.119       4.219       3.225       1.407         -99      1e-109         -99
         158       14.65        1.84       10.03       7.792       6.527       2.849         -99   8.675e-51       1.679
         162        79.2       1.256       71.67       29.61       15.26        4.73       2.297   8.675e-51   2.013e-10
         169   2.778e-05        2.04   2.778e-05         -99         -99         -99         -99      1e-109         -99
         175         4.8       1.762       2.383      0.7932       3.817        1.47         -99      1e-109         -99
         179       3.155       1.767       2.144       2.315         -99         -99         -99      1e-109         -99
         180      0.7263        1.21           0      0.7263         -99         -99         -99      1e-109         -99
         185       3.525       1.601       3.074       1.725         -99         -99         -99      1e-109         -99
         186       2.577       1.259       1.768       1.876         -99         -99         -99      1e-109         -99
         207       1.039       1.968      0.5181       0.901         -99         -99         -99      1e-109         -99
         208       1.238       1.829       1.238   1.498e-05         -99         -99         -99      1e-109         -99
         213       41.86      0.5044        37.7        15.6       8.394       2.345       3.328      1e-109      0.8331
         214       2.094       2.699        1.93     0.06877   3.541e-05    2.28e-08         -99   8.675e-51      0.8089
         216       6.501       0.159       5.519       3.408      0.4282         -99         -99      1e-109         -99
         217       3.441       2.629       1.833       2.053      0.8792       1.209         -99   8.675e-51       1.425
         227       2.684       0.921   2.943e-05       2.684         -99         -99         -99      1e-109         -99
         239       2.318        3.34   4.291e-05   2.066e-05         -99         -99         -99   8.675e-51       2.318
         242   2.912e-05       1.341   2.575e-05   1.361e-05         -99         -99         -99      1e-109         -99
         245       2.966      0.7353      0.3424       2.946         -99         -99         -99      1e-109         -99
         247   4.844e-05       0.041   4.844e-05         -99         -99         -99         -99      1e-109         -99
         248       3.022       1.363       2.257        2.01         -99         -99         -99      1e-109         -99
         254   3.984e-05         1.5   3.849e-05    1.03e-05         -99         -99         -99      1e-109         -99
         255       10.95       1.316       8.707       6.644           0         -99         -99      1e-109         -99
         256       13.06        2.51       6.671       8.748       4.733       2.126       4.618   8.675e-51       1.149
         257        17.1       2.431       12.71       9.419       5.975       2.552         -99   8.675e-51   2.214e-10
         262       1.843      0.3712     0.06507       1.842         -99         -99         -99      1e-109         -99
         264       4.036       2.358       3.294     0.07426       2.331         -99         -99      1e-109         -99
         270       1.091        1.39       1.091   9.657e-06         -99         -99         -99      1e-109         -99
         277       2.166        2.23       1.278      0.1439       1.235       1.229         -99      1e-109         -99
         288       4.384      0.3913       4.357       0.493         -99         -99         -99      1e-109         -99
