#   SAVEDid      xmeAGN       xfAGN       xeAGN      xmeSFR       xfSFR       xeSFR       xfTOT       xeTOT       xf_zz       xe_zz
#
6           0       4.622       4.622       34.13       32.82       1.309       37.44       3.312       1.035           0
18       1.592       1.773       1.773       6.735       7.349       5.897       8.181       5.544       1.018      0.1799
35           0    0.005514    0.005514      0.6659      0.6402     0.02573      0.6457     0.02022       0.401           0
36    0.006884       1.317       1.317       2.526       4.312       2.866       5.278       3.796      0.3567        0.11
38           0       18.73       18.73       424.2       470.6       111.4       487.2         122        3.78        0.43
44       81.96       67.79       56.25       449.1       369.4       95.54       430.2       126.3       3.913      0.3945
48           0       10.07       10.07       40.61        38.4       27.87       43.71       22.56        2.26       0.293
50       1.491       1.943       1.943       7.606       17.19       9.586       18.36       9.265         1.4       0.216
56           0       3.411       3.411       106.7       53.36       53.35       56.09       50.62        2.41       0.307
64           0      0.7635      0.7635       12.07       13.45        9.39       13.74       9.102        1.37       0.213
65       7.171       3.733       3.733       10.03       17.24       10.44       19.37       8.312        2.07       0.276
91     0.05597      0.0822      0.0822      0.2051      0.6169       0.428      0.6469       0.398       0.455        0.09
95        2.36        1.18        1.18       5.547       8.265       4.485        8.95       3.801        2.16       0.284
106       37.83       21.65       19.55       117.9       108.5       40.43       123.8       47.94        2.01       0.271
107     0.07458      0.2954      0.2954       1.515       3.002       1.912       3.268       2.037      0.6233        0.14
112      0.2285       1.361       1.361       17.46       11.26       6.804        11.5       6.566       1.045      0.1798
123       6.015       3.524       3.524       24.71       47.68       22.98       51.51       20.79       2.683       0.078
126       3.306       4.363       4.363       4.222       16.96       13.27        19.2       11.98       1.419       0.208
127           0      0.8472      0.8472       10.66       10.47      0.1855       11.32      0.6617       0.582           0
130           0        84.7        84.7       860.7       916.5       110.9       971.3       110.6       4.127       0.195
132        1.78       1.634       1.634       4.899       10.98       6.207       11.87       5.317        1.47       0.149
135     0.08959       1.818       1.818       5.227       11.65       9.366       12.38       8.716        1.39       0.215
142       41.71       42.23       42.23       85.95       89.24       45.79       129.9        33.6       2.352        0.19
145           0      0.1297      0.1297      0.9171      0.8894     0.02768       1.011      0.1271        0.28           0
152     0.01352       1.584       1.584       2.074       5.045       3.148       6.249       4.173      0.4677        0.13
158       70.05       35.03       35.03       89.48       153.4       74.24       178.3       49.96        1.84       0.256
162       45.24       30.78       28.89       226.9       229.8       5.907       260.6       22.99       1.256           0
169       2.325       1.196       1.196       9.906       13.33       6.046          14       5.375        2.04       0.274
175       8.986       10.79       7.667       56.44       52.86       12.82       60.17       9.279       1.762      0.0945
179       2.755        3.88        3.88       52.79       52.81       3.474       56.57       1.967       1.767       0.023
180           0       1.749       1.749       8.267       10.96       8.555       11.59        7.92        1.21        0.19
185      0.1884        25.2        25.2      0.8606       53.47       52.92       69.76       68.92       1.601         1.2
186       3.313       2.877       2.877       13.54       14.47       6.298       17.88       3.945       1.259           0
207           0      0.6149      0.6149       20.98       22.17         5.8       22.37       5.602       1.968       0.128
208           0       1.236       1.236       15.71       16.97       5.026       17.92       4.079       1.829      0.1475
213           0        2.95        2.95       30.98        30.4      0.5785       33.35       2.371      0.5044           0
214           0       20.21       20.21        99.1       99.48       69.16       117.9       53.08       2.699       0.094
216    0.001654      0.1126      0.1126      0.3038      0.2941     0.03362      0.4028      0.1191       0.159           0
217       5.541       23.58       23.58       146.1       140.1       49.33         155       36.86       2.629      0.0705
227           0      0.4297      0.4297       3.996       3.701       2.388       4.307       2.243       0.921        0.01
239       6.765       10.79       10.79       108.9       140.7       110.8       156.4       115.3        3.34       0.391
242      0.7351      0.8471      0.8471        4.05       10.85       6.795        11.2       6.439       1.341       0.177
245           0      0.1448      0.1448       3.008       2.892        1.01       2.997      0.9045      0.7353        0.07
247           0   0.0001979   0.0001979   1.611e-06    0.004779    0.004778    0.004779    0.004778       0.041        0.04
248           0       1.097       1.097       13.24       14.27       5.934       15.23       5.868       1.363           0
254      0.1051      0.1626      0.1626       29.06       17.17       13.11       17.21       13.07         1.5       0.225
255       31.27        30.6       26.67       27.26       29.04       11.15       62.55       20.26       1.316       0.023
256       3.254       105.9       105.9       476.5       421.4       160.2       478.1         193        2.51       0.316
257       366.3       366.3           0       218.3       218.3           0       584.6           0       2.431           0
262      0.1257      0.1597      0.1009      0.3858      0.6784      0.3932      0.8224      0.4026      0.3712        0.05
264          14       10.86       10.86       63.84       67.92       29.41       75.73       35.95       2.358       0.173
270       1.881       1.857       1.857        5.36       15.34       11.79       16.05       11.08        1.39       0.215
277           0        2.55        2.55       40.58       25.68        14.9       27.05       13.53        2.23       0.291
288     0.01948      0.1524      0.1524       0.701       1.293      0.8512       1.326      0.8186      0.3913        0.09
289           0       49.22       49.22       322.9       384.2       120.7         398       121.1       3.056      0.2805
309       34.56       396.6       396.6       371.5       398.7       397.5       740.1       738.9       4.151        3.75
314      0.2138      0.1645     0.06453      0.4914      0.6662      0.2458       0.836      0.1866       0.401           0
316           0       6.375       6.375        17.7       21.71       14.66       25.25       11.12        2.17       0.285
317     0.04759     0.07013     0.07013      0.9454       1.477      0.7075       1.545      0.7019      0.3886        0.06
330           0       2.231       2.231        60.7       59.22       50.52       59.54        50.2        2.38       0.304
337       5.667       5.554       5.554       7.953       44.74       36.79       47.58       33.96           3        0.36
339      0.4795       0.603       0.603       1.519       2.654       1.877       2.937       1.725      0.9719      0.1701
340     0.04449       1.078       1.078       11.55       11.71       6.236       11.74       6.208       1.435      0.1785
343      0.9741       1.527       1.527       6.318       6.701       3.377        8.19       3.132      0.8828      0.1302
356       8.366       18.19       16.41       21.45       26.76       9.904       42.74       19.57       1.248       0.093
365      0.3824      0.8835      0.8835       2.939       5.935       4.456       6.262       4.129       1.174      0.1901
368      0.4076      0.2337      0.2337       1.424       2.138       1.268       2.212       1.194      0.7607        0.15
371           0     0.01147     0.01147      0.6476      0.3238      0.3238      0.3238      0.3238       0.201         0.2
374     0.08414       3.826       3.826          12       10.99       1.041        14.3       3.295      0.8178           0
375       6.092       9.405       9.405       26.77       26.38       13.09       33.34        19.8        1.26       0.203
376       7.503       127.7       127.7       310.4       438.6       169.4       493.1       207.3        2.83       0.345
379       80.42       70.12       28.81       570.6       528.4       60.98       583.5       71.22       4.525       0.339
381       87.63       90.38       14.04       333.9       363.4       29.49       459.4       37.88       3.835       0.094
385       40.86       92.56       92.56       230.1         272         108       321.6         142        2.57       0.321
390       9.125       5.396       4.667     0.04057       4.777       4.777       9.161       3.587        2.03       0.273
391       1.468       3.159       3.159       8.016       19.25       13.69       20.93       12.01        2.32       0.299
394      0.6965       4.115       4.115       5.887       15.31       14.86       16.12       15.51       1.151        0.75
398      0.6283      0.7778      0.7778      0.6481       1.468       0.987       2.149       1.079       1.044      0.1601
399           0       4.585       4.585       145.3       125.2       20.04         126       19.32       2.885      0.1155
401      0.7097       0.682       0.682       7.651       9.316       2.332       9.887       1.761       1.251           0
407       83.01       77.29       77.29       181.3       188.8       25.27         262       56.06       1.521           0
409           0       0.179       0.179       3.949       3.503       1.455       3.508       1.449      0.6997        0.12
413           0     0.08563     0.08563       2.465        2.15        1.25        2.16        1.24      0.6233        0.14
414       0.303      0.6663      0.6663       7.337       10.86       5.034       11.59       5.113        1.16        0.14
416     0.01226      0.0759      0.0759       0.438      0.8054       0.553       0.839      0.5287      0.4158        0.08
418           0      0.5331      0.5331       10.42       10.54       4.416       10.57       4.388       1.292       0.108
421       0.656       1.063       1.063       3.636       8.758       6.204       9.337       6.031        1.24       0.202
428           0       1.059       1.059       3.362       8.414       6.821       8.795       6.441        1.29       0.206
429      0.5269      0.8803      0.8803       3.584       6.137       5.139       7.017       5.414       1.147      0.1903
430           0       0.149       0.149       8.441       7.271       1.224       7.411       1.084       1.253           0
431           0     0.08924     0.08924       2.721       2.642      0.5344       2.731      0.4452       0.676           0
432           0      0.3435      0.3435       1.977       3.098       2.163       3.334       2.249      0.7425        0.15
433    0.003501       8.089       8.089      0.4509       57.23       57.23       60.34       60.34       1.701         1.7
437           0        9.22        9.22       90.62       139.3       97.57       141.1       95.71        3.09       0.368
438           0       19.29       19.29       45.77       60.45        15.2          80       34.22       1.229      0.1635
439       19.61       30.21       13.13       18.76       25.12       8.166       54.36       17.79        1.59       0.233
442           0       10.99       10.99       42.92       41.84       18.65       48.54       25.14       1.174      0.1901
449           0      0.1856      0.1856      0.8743      0.7746      0.0997      0.9444      0.2578      0.1893        0.01
450       92.58       83.94       22.35       513.7       507.1       19.89       584.8        27.2       4.554      0.1895
451      0.3285      0.3763      0.3763       2.365       2.847       1.027       3.223      0.6503       1.019           0
468       105.3       98.99       49.75       605.1       585.3       36.28       680.8        60.3       4.681       0.194
481     0.02309     0.02209     0.01052      0.1331      0.1127     0.07373      0.1348      0.0632       0.179           0
482           0       9.175       9.175       19.16       29.33       23.38       34.63       18.07        2.27       0.294
490           0      0.4388      0.4388       3.938       7.056       5.146        7.37       4.832       1.119      0.1899
498       125.1       156.3        54.6       500.3       550.7       61.96       710.5       104.3       4.119       0.241
501       2.556       4.529       4.529       46.15       58.54       53.14       63.73        53.5        2.41       0.307
502           0        6.65        6.65       22.87        26.2       22.17       30.15       18.22        2.36       0.302
503           0       6.628       6.628       16.57       21.33       16.91       25.58       12.66        2.26       0.293
505           0       8.824       8.824       88.92        60.5       32.71        62.3       30.92       2.816      0.2165
506     0.02771       8.605       8.605      0.3965       28.33       28.16       32.98       32.75       1.801         1.4
509      0.1229      0.1508      0.1508       1.252       1.213      0.5885       1.373      0.4667       0.452           0
510       2.925       2.541       2.541       19.71       19.52       1.065       21.88       2.474      0.6798           0
512      0.1132      0.6737      0.6737       6.657       10.48       4.873       10.95       4.681       1.077      0.1298
516       3.985       15.09       15.09       768.5       816.3       188.7       826.7       192.5       3.951        0.45
521           0      0.7514      0.7514       11.12        9.59       1.528       10.34      0.7766       1.037           0
