#     _id          _ra          _de       zp_X         f24        df24         f16        df16        f100       df100        f160       df160        f250       df250        f350       df350        f500       df500       radio      eradio       _fch1      _dfch1       _fch2      _dfch2       _fch3      _dfch3       _fch4      _dfch4       KtotX       MassX       distX       spezX          zq      source       distz         idz    goodArea
#
1160003    189.3058489   62.3596405       -99         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99         -99         -99         -99         -99           0         -99         -99           1
1160004    189.4042126   62.3564192       -99         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99         -99         -99         -99         -99           0         -99         -99           0
1160005    189.3530050   62.3477770       -99         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99         -99         -99         -99         -99           0         -99         -99           1
1160006    189.2156284   62.3410369       -99         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99         -99         -99         -99         -99           0         -99         -99           0
1160007    189.2582445   62.3319425       -99         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99         -99         -99         -99         -99           0         -99         -99           1
1160008    189.1308552   62.3242380       -99         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99         -99         -99         -99         -99           0         -99         -99           0
1160009    189.3810439   62.3176962       -99         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99         -99         -99         -99         -99           0         -99         -99           1
1160010    189.4645760   62.3133731       -99         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99         -99         -99         -99         -99           0         -99         -99           1
1160011    189.1925572   62.3139604       -99         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99         -99         -99         -99         -99           0         -99         -99           1
1160012    189.0739952   62.2965038       -99         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99         -99         -99         -99         -99           0         -99         -99           0
1160013    189.0378552   62.2890939       -99         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99         -99         -99         -99         -99           0         -99         -99           0
1160014    189.4248288   62.2899019       -99         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99         -99         -99         -99         -99           0         -99         -99           1
1160017    189.1816420   62.2748604       -99         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99         -99         -99         -99         -99           0         -99         -99           1
1160018    189.4566462   62.2660399       -99         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99         -99         -99         -99         -99           0         -99         -99           1
1160020    189.2139676   62.2629442       -99         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99         -99         -99         -99         -99           0         -99         -99           1
1160021    189.2499332   62.2579644       -99         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99         -99         -99         -99         -99           0         -99         -99           1
1160022    189.0405747   62.2560635       -99         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99         -99         -99         -99         -99           0         -99         -99           0
1160023    189.0907245   62.2548921       -99         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99         -99         -99         -99         -99           0         -99         -99           1
1160025    189.3967974   62.2460158       -99         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99         -99         -99         -99         -99           0         -99         -99           1
