#     _id          _ra          _de       zp_X         f24        df24         f16        df16        f100       df100        f160       df160        f250       df250        f350       df350       radio      eradio       _fch1      _dfch1       _fch2      _dfch2       _fch3      _dfch3       _fch4      _dfch4       KtotX       MassX       distX       spezX          zq      source       distz         idz    goodArea
#
250028     189.4885733   62.2072250       -99         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99         -99         -99         -99         -99           0         -99         -99           0
350007     189.3768069   62.2523176       -99         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99         -99         -99         -99         -99           0         -99         -99           1
350013     189.5262682   62.2249441       -99         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99         -99         -99         -99         -99           0         -99         -99           0
350020     189.4261509   62.1878653       -99         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99         -99         -99         -99         -99           0         -99         -99           0
350033     189.0487862   62.0978251       -99         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99         -99         -99         -99         -99           0         -99         -99           0
500002     189.2779536   62.3537127       -99         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99         -99         -99         -99         -99           0         -99         -99           1
500005     189.1933186   62.3291280       -99         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99         -99         -99         -99         -99           0         -99         -99           0
500006     189.4223418   62.3167837       -99         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99         -99         -99         -99         -99           0         -99         -99           1
500009     189.2617954   62.2773495       -99         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99         -99         -99         -99         -99           0         -99         -99           1
500010     189.4098491   62.2699669       -99         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99         -99         -99         -99         -99           0         -99         -99           1
500011     189.0797659   62.2613180       -99         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99         -99         -99         -99         -99           0         -99         -99           1
500013     189.3176979   62.2402603       -99         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99         -99         -99         -99         -99           0         -99         -99           1
500015     189.5883468   62.2551371       -99         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99         -99         -99         -99         -99           0         -99         -99           0
500019     189.3808374   62.2152057       -99         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99         -99         -99         -99         -99           0         -99         -99           1
500022     188.9283004   62.1771428       -99         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99         -99         -99         -99         -99           0         -99         -99           0
500027     188.9874006   62.1176837       -99         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99         -99         -99         -99         -99           0         -99         -99           0
500028     189.1032403   62.1189041       -99         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99         -99         -99         -99         -99           0         -99         -99           0
