#         id100           f100           df100
#
              6        1.93478       0.569983
             18     -0.0029413       0.545365
             35       0.636194       0.426546
             36        5.31297       0.613698
             38    1.50602e-05       0.620845
             44       0.719568       0.502749
             48    1.50602e-05       0.595712
             50       0.750732       0.422575
             64       0.160336       0.377816
             65    1.50602e-05       0.384854
             91       0.347109       0.485906
             95       0.101292       0.379241
            106        1.34991       0.434558
            107        1.48938       0.349283
            112       0.842598        0.37187
            123       0.259192        0.50327
            126    1.50602e-05       0.409574
            127        3.87309       0.401586
            130    1.50602e-05       0.740957
            132      0.0113196       0.371589
            135       0.421901       0.414913
            142       0.630225       0.473562
            145        2.07333        0.43762
            152        3.64343       0.511719
            158        3.58788       0.357929
            162        22.0793       0.308098
            169    1.50602e-05       0.542088
            175        1.00143       0.419967
            179        0.78848       0.367721
            180    -0.00403676        0.43272
            185        1.10548       0.359466
            186       0.596897       0.337705
            207       0.194774       0.375959
            208       0.422298       0.341033
            213        19.3275       0.512666
            214        1.28204       0.664091
            216        2.91537       0.528196
            217       0.679904       0.370874
            227    1.50602e-05       0.511732
            239    1.50602e-05       0.350981
            242    1.50602e-05       0.584932
            245       0.131778       0.384932
            247    1.50602e-05       0.310872
            248        0.66176       0.293168
            254    1.50602e-05       0.391262
            255         2.6542       0.304798
            256        2.37483       0.355994
            257        6.28403       0.494485
            262      0.0326461       0.501847
            264        1.04295       0.316627
            270       0.420229       0.385028
            277       0.397416       0.310944
            288         1.6956       0.389317
            289        1.14503        0.49007
            309    1.50602e-05       0.656238
            314    1.50602e-05       0.472517
            316    1.50602e-05       0.433627
            317        1.67369       0.374062
            330      0.0134844       0.300864
            337       0.130521       0.307135
            339     0.00403489       0.305449
            340       0.176663       0.291377
            343       0.589533       0.407105
            356        1.84597       0.314898
            365      0.0839091       0.401409
            368    1.50602e-05       0.475884
            371    1.50602e-05       0.444896
            374        1.98332        0.30079
            375        1.23053       0.349949
            376        1.62219       0.665863
            379    1.50602e-05       0.293227
            381       0.444423       0.319501
            385        1.54764       0.395892
            390    1.50602e-05       0.583466
            391      0.0989436       0.317633
            394       0.515596       0.315651
            398      0.0531839        0.27474
            399       0.952467       0.418797
            401    1.50602e-05       0.360481
            407        7.18263       0.453217
            409       0.591854       0.389528
            413       0.418586       0.363332
            414       0.865444       0.376187
            416       0.276624       0.560101
            418         1.3731       0.530988
            421    1.50602e-05       0.478164
            428    1.50602e-05       0.392903
            429       0.848957       0.351275
            430        0.69076       0.322208
            431       0.709338       0.312621
            432        0.91662       0.376095
            433       0.667778       0.466874
            437       0.718217       0.287969
            438        5.87159       0.294117
            439    1.50602e-05       0.461071
            442        2.08175       0.333473
            449        4.58206       0.422631
            450       0.840049       0.305091
            451     -0.0214552       0.307541
            468       0.275959       0.338335
            481        1.36198       0.424536
            482    1.50602e-05       0.454165
            490    1.50602e-05       0.336817
            498       0.388209       0.427485
            501       0.761699       0.408113
            502    1.50602e-05       0.300973
            503    1.50602e-05       0.325257
            505    1.50602e-05       0.318341
            506       0.638903       0.294888
            509        0.67922       0.521127
            510        6.41581       0.353878
            512       0.964087       0.298673
            516    1.50602e-05       0.373955
            521       0.408309       0.396866
            530        1.09741       0.425839
            532        4.09417         0.3246
            533       0.470413        0.31581
            540       0.912585       0.544444
            541        1.85046       0.296917
            546        1.59741       0.366813
            547        2.51701       0.329619
            548        2.00465       0.350909
            550    1.50602e-05        0.41493
            552        3.23742       0.286221
            554       0.884776       0.323373
            559        2.05293       0.391242
            561       0.147456       0.364661
            562         1.5745        0.46993
            564       0.620669         0.2584
            581    1.50602e-05        0.30677
            593       0.780833       0.425952
            597       0.217672       0.270767
            598        2.01234       0.317954
            604        1.32383         622323
            606    1.50602e-05       0.395352
            620         1.1552       0.305034
            621        2.25008       0.378641
            622       0.529235       0.269819
            628    1.50602e-05       0.319624
            631       0.997593       0.424569
            637        1.86921        0.49213
            638        4.63268         614604
            652    1.50602e-05       0.323173
            658       0.445082       0.267464
            659       0.440968       0.348157
            661       0.125551       0.325981
            664        0.36695       0.403171
            669        2.90763       0.424455
            672        1.10997       0.301237
            689       0.688818       0.682355
            692        5.75706       0.384524
