# id     ra            dec          z        ez        z_sp     z_op    fK         dfK        fch1       dfch1     fch2       dfch2     fch3       dfch3      fch4       dfch4      f24       df24       f16         df16       f100       df100      f160       df160       f250       df250    f350       df350    f500       df500    f850        df850    f1160      df1160   f20cm       df20cm     SNR     Mstar           SFR       eSFR      sSFR      goodArea   Type_AGN   Type_SED   Type_FIR  
  6      189.3485107   62.4028587   1.035    -1.0      1.035    0.91    0.04487    0.004487   -99.0      1.0E10    -99.0      1.0E10    -99.0      1.0E10     0.03532    0.002241   0.31      0.01038    -99.0       1.0E10     2.167      0.6384     2.372      1.767       10.84      1.753    10.94      3.29     7.469      4.065    1.0E-99     1.0E10   -99.0      1.0E10   0.01149     0.003202   8.124   4.3849998E10    32.79     4.036     0.7478    0          0          -1         1         
  36     189.3627319   62.3979454   0.3567   0.11      -1.0     0.37    0.07656    0.007656   0.04108    1.21E-4   0.03927    4.55E-4   0.0386     0.002011   0.07715    0.001858   0.2099    0.01863    -99.0       1.0E10     5.951      0.6873     11.58      1.817       6.919      2.857    -99.0      1.0E10   -99.0      1.0E10   1.0E-99     1.0E10   -99.0      1.0E10   0.01718     0.003181   11.02   3.25100006E9    4.301     2.876     1.323     0          0          0          1         
  106    189.3455963   62.3922691   2.024    0.2575    -1.0     2.01    0.002148   2.148E-4   0.004711   6.8E-5    0.006457   1.23E-4   0.008945   8.76E-4    0.00993    8.8E-4     0.07562   0.006123   1.903E-10   0.01157    1.512      0.4868     8.081E-4   1.409       6.631      2.138    8.841      3.641    -99.0      1.0E10   8.675E-41   1.0E10   0.9982     1.14     0.0461      0.0074     5.092   3.03399997E10   108.3     35.78     3.57      0          1          0          1         
  127    189.3196411   62.3907661   0.582    -1.0      0.582    1.13    0.07379    0.007379   0.08046    9.0E-5    0.05977    1.1E-4    0.05533    0.001002   0.04165    7.59E-4    0.2327    0.008327   0.138       0.006533   4.338      0.4498     8.922      1.115       12.58      1.438    8.863      3.401    -99.0      1.0E10   1.0E-99     1.0E10   -99.0      1.0E10   0.01861     0.003128   15.5    1.62900001E11   10.47     0.6754    0.06427   0          0          -1         1         
  130    189.3960114   62.3908005   4.127    0.195     -1.0     4.42    0.001803   1.803E-4   0.003019   2.61E-4   -99.0      1.0E10    -99.0      1.0E10     -99.0      1.0E10     -99.0     1.0E10     -99.0       1.0E10     1.792E-5   0.8818     1.823      1.865       8.894      2.12     20.79      4.914    22.4       4.224    8.675E-41   1.0E10   2.13E-10   1.37     0.009296    0.003198   8.036   4.6980002E10    910.9     116.1     19.39     0          0          1          1         
  145    189.3486023   62.389698    0.28     -1.0      0.28     0.28    0.1294     0.01294    0.05014    6.8E-5    0.04414    1.16E-4   0.03155    7.44E-4    0.06153    8.16E-4    0.1331    0.00544    0.08793     0.009752   2.322      0.4901     6.044      1.353       3.989      3.262    -99.0      1.0E10   -99.0      1.0E10   1.0E-99     1.0E10   -99.0      1.0E10   0.005104    0.003065   6.625   9.3749996E9     0.8855    0.1337    0.09446   0          0          -1         1         
  152    189.3703461   62.3893394   0.4677   0.13      -1.0     0.47    0.07586    0.007586   0.04793    7.2E-5    0.04117    1.66E-4   0.03336    8.66E-4    0.05225    0.001131   0.1518    0.007089   -99.0       1.0E10     4.08       0.5731     6.705      1.589       4.35       1.349    4.46       3.169    -99.0      1.0E10   1.0E-99     1.0E10   -99.0      1.0E10   0.004315    0.003197   8.993   3.5640001E10    5.049     3.216     0.1417    0          0          0          1         
  158    189.3103485   62.3889732   1.84     0.256     -1.0     1.84    0.005808   5.808E-4   0.01162    9.1E-5    0.01495    1.02E-4   0.0201     0.001146   0.01443    7.33E-4    0.2087    0.008672   0.04337     0.008616   4.019      0.4008     6.909      0.8867      10.73      1.644    9.837      3.453    -99.0      1.0E10   8.675E-41   1.0E10   2.09       1.245    0.0423      0.0112     14.65   3.25099991E10   150.8     76.81     4.639     0          0          0          1         
  162    189.2877197   62.3886566   1.256    -1.0      1.256    1.26    0.02333    0.002333   -99.0      1.0E10    0.04667    1.36E-4   0.05622    0.00316    0.04795    9.47E-4    0.2516    0.008178   -99.0       1.0E10     24.73      0.3451     36.31      1.226       28.64      1.877    18.84      3.983    10.03      4.367    8.675E-41   1.0E10   2.13E-10   1.058    0.1764      0.0139     79.2    4.3849998E10    227.0     7.455     5.177     0          0          1          1         
  213    189.2788696   62.3852005   0.5044   -1.0      0.5044   0.61    0.1019     0.01019    -99.0      1.0E10    0.08455    1.4E-4    -99.0      1.0E10     0.1809     9.46E-4    0.5838    0.01655    -99.0       1.0E10     21.65      0.5742     42.15      2.701       41.35      4.926    27.25      11.62    13.77      4.137    1.0E-99     1.0E10   1.248      1.498    0.1326      0.0075     41.86   3.03399997E10   30.4      0.7262    1.002     0          0          1          1         
