#     _id       snrFIRSMM         zFIRSMM           snr24        snrRadio           snr16          snr100          snr160          snr250          snr350          snr500          snr850          snr1160
#
6                   8.124           1.035          29.865           3.588           0.000           3.395           1.342           6.184           3.325           1.837           0.000           0.000
18                  2.512           1.018           9.712           0.000           0.000           0.000           2.512           0.000           0.000           0.000           0.000           0.000
35                  1.492           0.401           3.045           0.911           0.000           1.492           0.000           0.000           0.000           0.000           0.000           0.000
36                 11.021           0.357          11.267           5.401           0.000           8.657           6.375           2.422           0.000           0.000           0.000           0.000
38                  3.954           3.780           0.000           4.012           0.000           0.000           1.286           2.280           2.107           1.971           0.000           0.676
44                  1.433           3.913           2.977           0.758           0.000           1.431           0.000           0.000           0.000           0.062           0.000           0.000
48                  0.000           2.260           7.133           1.347           0.000           0.000           0.000           0.000           0.000           0.000           0.000           0.000
50                  1.776           1.400           3.720           0.195           0.000           1.776           0.000           0.000           0.000           0.000           0.000           0.000
56                  0.000           2.610           0.355           2.449           1.156           0.000           0.000           0.000           0.000           0.000           0.000           0.000
64                  2.177           1.370           3.854           1.151           2.571           0.424           2.136           0.000           0.000           0.000           0.000           0.000
65                  0.000           2.070           4.581           0.000           0.000           0.000           0.000           0.000           0.000           0.000           0.000           0.000
91                  0.714           0.455           6.434           0.269           0.000           0.714           0.000           0.000           0.000           0.000           0.000           0.000
95                  0.267           2.160           3.298           0.000           1.082           0.267           0.000           0.000           0.000           0.000           0.000           0.000
106                 5.092           2.024          12.350           6.230           0.000           3.106           0.001           3.101           2.428           0.000           0.000           0.876
107                 4.263           0.623           9.395           1.194           0.000           4.263           0.014           0.000           0.000           0.000           0.000           0.000
112                 3.238           1.045           9.629           2.259           0.000           2.266           2.313           0.000           0.000           0.000           0.000           0.000
123                 0.515           2.683           3.054           0.000           0.833           0.515           0.000           0.000           0.000           0.000           0.000           0.000
126                 0.000           1.419          10.459           2.320           0.000           0.000           0.000           0.000           0.000           0.000           0.000           0.000
127                15.503           0.582          27.945           5.949          21.124           9.644           8.000           8.748           2.606           0.000           0.000           0.000
130                 8.036           4.127           0.000           2.907           0.000           0.000           0.978           4.195           4.231           5.303           0.000           0.000
132                 0.030           1.470           4.692           0.000           0.000           0.030           0.000           0.000           0.000           0.000           0.000           0.000
135                 1.017           1.390           6.077           0.488           0.000           1.017           0.000           0.000           0.000           0.000           0.000           0.000
142                 2.858           2.367          29.532           1.819           0.000           1.331           0.000           2.429           0.702           0.000           0.000           0.000
145                 6.625           0.280          24.467           1.665           9.017           4.737           4.467           1.223           0.000           0.000           0.000           0.000
152                 8.993           0.468          21.413           1.350           0.000           7.119           4.219           3.225           1.407           0.000           0.000           0.000
158                14.654           1.840          24.066           3.777           5.034          10.025           7.792           6.527           2.849           0.000           0.000           1.679
162                79.202           1.256          30.765          12.691           0.000          71.665          29.607          15.258           4.730           2.297           0.000           0.000
