#            id      dis_to_MS        name_SB           LTIR           MSIR            SFR    lgSFR_MS_Sargent                Mstar
#
              6      0.0956416             MS      3.279e+11    2.63087e+11          32.79              1.4201              10.642
             18      -0.046851             MS      6.577e+10     7.3262e+10          6.577            0.864879             9.95195
             35            -99        unknown      5.408e+09            -99         0.5408                 -99                 -99
             36       0.587106             MS      4.301e+10    1.11292e+10          4.301           0.0464638             9.51195
             38        1.07856             SB      3.291e+12    2.74644e+11          329.1             1.43877             9.76195
             44       0.756251             SB       2.51e+12     4.3997e+11            251             1.64342              10.012
             48      -0.344355             MS      3.834e+11    8.47241e+11          38.34             1.92801              10.652
             50      -0.166773             MS      1.537e+11    2.25656e+11          15.37             1.35345              10.312
             56       0.251662             MS      7.282e+11    4.07933e+11          72.82             1.61059              10.152
             64      0.0704367             MS      1.334e+11    1.13428e+11          13.34             1.05472             9.95195
             65      -0.377938             MS      1.727e+11    4.12316e+11          17.27             1.61523              10.322
             91      -0.177847             MS      6.163e+09    9.28195e+09         0.6163           -0.032361             9.31195
             95      -0.401762             MS      8.377e+10    2.11276e+11          8.377             1.32485             9.92195
            106       0.306786             MS      1.083e+12    5.34371e+11          108.3             1.72784              10.482
            107       0.101255             MS      2.871e+10    2.27394e+10          2.871            0.356779             9.64195
            112      0.0139244             MS      1.109e+11    1.07401e+11          11.09             1.03101              10.142
            123       0.790311             SB      4.061e+11    6.58146e+10          40.61            0.818322             9.13195
            126      -0.462262             MS      1.675e+11    4.85598e+11          16.75             1.68628              10.722
            127      -0.546481             MS      1.047e+11    3.68491e+11          10.47             1.56643              11.212
            130       0.785634             SB      9.109e+12    1.49223e+12          910.9             2.17384              10.672
            132       0.282548             MS      1.011e+11    5.27476e+10          10.11            0.722203             9.47195
            135      0.0916212             MS       1.11e+11     8.9888e+10           11.1            0.953702             9.81195
            142       0.373565             MS      7.404e+11    3.13258e+11          74.04              1.4959              10.072
            145      -0.398955             MS      8.855e+09    2.21893e+10         0.8855            0.346143             9.97195
            152      -0.254047             MS      5.049e+10    9.06258e+10          5.049            0.957252              10.552
            158       0.486979             MS      1.508e+12    4.91385e+11          150.8             1.69142              10.512
            162       0.813238             SB       2.27e+12     3.4897e+11            227             1.54279              10.642
            169      -0.134974             MS      1.354e+11    1.84754e+11          13.54             1.26659             9.89195
            175        0.16004             MS        4.8e+11    3.32048e+11             48              1.5212              10.332
            179       0.256053             MS      5.013e+11       2.78e+11          50.13             1.44404              10.232
            180       -0.67369             MS      1.044e+11    4.92482e+11          10.44             1.69239              10.862
            185            -99        unknown      2.592e+11            -99          25.92                 -99                 -99
            186     -0.0964656             MS      1.405e+11    1.75445e+11          14.05             1.24414              10.262
            207       0.120581             MS      2.234e+11     1.6924e+11          22.34              1.2285             9.87195
            208     0.00693527             MS      1.692e+11    1.66519e+11          16.92             1.22147             9.92195
            213       0.552275             MS       3.04e+11    8.52312e+10           30.4            0.930599              10.482
            214      -0.246209             MS      7.289e+11    1.28492e+12          72.89             2.10888              10.762
            216       0.373211             MS        2.9e+09    1.22797e+09           0.29           -0.910813             8.51195
            217       -0.64736             MS      9.859e+11    4.37716e+12          98.59             2.64119              11.452
            227       0.116919             MS      3.555e+10    2.71594e+10          3.555            0.433921             9.48195
            239     -0.0997624             MS      9.095e+11    1.14437e+12          90.95             2.05857              10.602
            242      -0.290918             MS      1.043e+11    2.03799e+11          10.43              1.3092              10.292
            245       0.170711             MS      2.868e+10    1.93583e+10          2.868            0.286868             9.45195
            247      -0.493529             MS      4.749e+07    1.47955e+08       0.004749            -1.82987             7.47995
            248      0.0498039             MS      1.309e+11    1.16717e+11          13.09             1.06714             9.97195
            254       0.486921             MS      1.896e+11    6.17898e+10          18.96            0.790917             9.54195
            255      -0.495781             MS      2.915e+11    9.12893e+11          29.15             1.96042              11.132
            256      -0.200828             MS       4.19e+12    6.65338e+12            419             2.82304              11.712
            257       0.724855             SB      2.519e+12    4.74649e+11          251.9             1.67637              10.282
            262       0.618374             SB      6.758e+09    1.62721e+09         0.6758           -0.788556             8.43995
            264      0.0798497             MS      5.693e+11    4.73687e+11          56.93             1.67549              10.302
