#            id              z           maxz            snr         maxzsnr
#
              6          1.035          1.175          8.124        5.07641
             18          1.018            -99          2.512            -99
             35          0.401            -99          1.492            -99
             36         0.3567         0.4767          11.02        5.05347
             38           3.78            -99          3.954            -99
             44          3.913            -99          1.433            -99
             48           2.26            -99              0            -99
             50            1.4            -99          1.776            -99
             56           2.61            -99              0            -99
             64           1.37            -99          2.177            -99
             65           2.07            -99              0            -99
             91          0.455            -99          0.714            -99
             95           2.16            -99          0.267            -99
            106          2.024          2.044          5.092        5.02108
            107         0.6233            -99          4.263            -99
            112          1.045            -99          3.238            -99
            123          2.683            -99          0.515            -99
            126          1.419            -99              0            -99
            127          0.582          0.862           15.5        5.11494
            130          4.127          6.487          8.036        5.01854
            132           1.47            -99           0.03            -99
            135           1.39            -99          1.017            -99
            142          2.367            -99          2.858            -99
            145           0.28            0.3          6.625         5.2172
            152         0.4677         0.5677          8.993        5.28009
            158           1.84           2.58          14.65        5.05045
            162          1.256          2.476           79.2        5.06779
            169           2.04            -99              0            -99
            175          1.762            -99            4.8            -99
            179          1.767            -99          3.155            -99
            180           1.21            -99          0.726            -99
            185          1.501            -99          3.525            -99
            186          1.259            -99          2.577            -99
            207          1.968            -99          1.039            -99
            208          1.829            -99          1.238            -99
            213         0.5044         0.8244          41.86        5.00486
            214          2.699            -99          2.094            -99
            216          0.159          0.159          6.501        6.38486
            217          2.629            -99          3.441            -99
            227          0.921            -99          2.684            -99
            239          3.242            -99          2.318            -99
            242          1.341            -99              0            -99
            245         0.7353            -99          2.966            -99
            247          0.041            -99              0            -99
            248          1.363            -99          3.022            -99
            254            1.5            -99              0            -99
            255          1.316          1.836          10.95        5.02285
            256           2.51           3.55          13.06        5.02054
            257          2.431          3.891           17.1         5.0012
            262         0.3712            -99          1.843            -99
            264          2.358            -99          4.036            -99
            270           1.39            -99          1.091            -99
            277           2.23            -99          2.166            -99
            288         0.4013            -99          4.384            -99
            289          3.056          3.336          5.687        5.00107
            309          5.351            -99           1.23            -99
            314          0.401            -99          1.839            -99
            316           2.17            -99          1.687            -99
            317         0.3886            -99          4.939            -99
            330           2.38            -99          1.514            -99
            337              3            -99          0.425            -99
            339         0.9719            -99          0.656            -99
            340          1.435            -99          2.416            -99
            343         0.8628            -99          2.549            -99
            356          1.248          1.428          7.361        5.06814
            365          1.174            -99          1.135            -99
            368         0.7607            -99              0            -99
            371          5.701            -99          1.735            -99
            374         0.8178         1.0378          10.21         5.0424
            375           1.26           1.28          5.831        5.04052
            376           2.83           3.61          8.481        5.01513
            379           4.38            -99          0.838            -99
            381          3.905            -99          3.071            -99
            385           2.57           3.51          10.62        5.02181
            390           2.03            -99              0            -99
            391           2.32            -99          0.312            -99
            394          1.001            -99          2.754            -99
            398          1.044            -99          0.194            -99
            399          2.901            -99           3.55            -99
            401          1.251            -99          0.849            -99
            407          1.521          2.541          21.02        5.04254
            409         0.7097            -99          2.179            -99
            413         0.6233            -99          3.566            -99
            414           1.16            -99          2.327            -99
            416         0.4158            -99          1.606            -99
            418          1.292            -99          2.769            -99
            421           1.24            -99          0.284            -99
            428           1.29            -99          1.914            -99
            429          1.147            -99          2.417            -99
            430          1.253            -99            2.2            -99
            431          0.676            -99          2.569            -99
            432         0.7425            -99          2.457            -99
            433          1.551            -99           1.57            -99
            437          3.035            -99          3.689            -99
            438           1.27           1.87          22.78        5.05126
            439           1.59            -99          0.913            -99
            442          1.174          1.494           11.7         5.0781
            449         0.1893         0.2893          16.01        5.42809
            450          4.388            -99          3.148            -99
            451          1.019            -99          1.388            -99
            468          4.439            -99          2.145            -99
