#   SAVEDid      xmeAGN       xfAGN       xeAGN      xmeSFR       xfSFR       xeSFR       xfTOT       xeTOT       xf_zz       xe_zz
#
6           0       7.207       7.207       34.13       32.79       1.342       40.07       5.942       1.035           0
18       2.604        2.08        2.08       5.242       6.577       5.122       7.631       5.101       1.018      0.1799
35           0    0.005515    0.005515      0.4579      0.5408      0.1238       0.546      0.1187       0.401           0
36      0.0131       1.667       1.667       2.526       4.301       2.876       5.712       4.229      0.3567        0.11
38           0       27.05       27.05       300.9       329.1       70.37       354.8       91.03        3.78        0.43
44       74.68       77.13       53.05         298         251       53.72       324.7       89.58       3.913      0.3945
48      0.3654       10.91       10.91       38.36       38.34       27.61          43       22.94        2.26       0.293
50       1.742       2.401       2.401       7.574       15.37       7.799       17.43       8.602         1.4       0.216
56           0       1.753       1.753        88.7       72.82       15.87       72.88       15.82        2.61      0.1075
64           0      0.8762      0.8762       9.469       13.34       9.329        13.6       9.066        1.37       0.213
65       6.776       3.908       3.908       9.709       17.27       10.38       18.96       8.689        2.07       0.276
91     0.05798      0.0822      0.0822       0.204      0.6163      0.4286      0.6432      0.4017       0.455        0.09
95       2.339       1.283       1.283       5.667       8.377       4.548       8.936       3.989        2.16       0.284
106       43.25       24.44       21.71       120.2       108.3       35.78       129.1       49.36       2.024      0.2575
107     0.07962      0.3117      0.3117       1.515       2.871       1.783       3.164       1.928      0.6233        0.14
112       0.493       1.726       1.726       16.22       11.09       6.784       11.35       6.527       1.045      0.1798
123       6.554       3.852       3.852       25.27       40.61       15.34       45.62       14.88       2.683       0.078
126       2.015       5.385       5.385       5.689       16.75       13.04        18.6       12.08       1.419       0.208
127           0       1.016       1.016       10.66       10.47      0.1922       11.55      0.8914       0.582           0
130           0       88.23       88.23       860.5       910.9       116.1       972.6       112.1       4.127       0.195
132       1.341       2.266       1.731       5.026       10.11       5.348       11.11       4.875        1.47       0.149
135      0.3302        2.25        2.25       4.811        11.1       8.797       11.75       8.351        1.39       0.215
142       48.16       49.29       35.18       70.51       74.04       33.69       126.4       32.41       2.367       0.175
145           0      0.1297      0.1297      0.9171      0.8855     0.03163       1.011      0.1271        0.28           0
152     0.01195       1.689       1.689       2.075       5.049       3.216       6.306        4.23      0.4677        0.13
158       70.05        38.1        38.1       89.48       150.8       76.81       177.2        51.1        1.84       0.256
