#   SAVEDid        xf70        xe70       xf100       xe100       xf160       xe160       xf250       xe250       xf350       xe350       xf500       xe500       xf850       xe850      xf1160      xe1160      xf1200      xe1200      xf1250      xe1250      xf2000      xe2000      xf2050      xe2050       xfRad       xeRad
#
6       1.613      0.3085       3.245       0.171       7.324      0.1345       8.681        0.28       6.227      0.2175       3.071      0.1115      0.6906      0.0254      0.2637     0.00965      0.2371    -0.00415      0.2086    -0.01895     0.04684    0.001745     0.04308    0.001785     0.02057     0.00084
18      0.3252      0.1485      0.6418      0.3633       1.259      0.7386       1.367      0.8735       1.043      0.7424      0.5284      0.3964      0.1224     0.09622     0.04686     0.03723     0.04214       0.033     0.03706     0.02846    0.008331    0.006699    0.007693    0.006187    0.003658    0.002338
35      0.4739      0.2236      0.7892      0.2449      0.9681      0.2379      0.6851      0.2511      0.3489      0.1609      0.1328     0.06965     0.02647     0.01524    0.009956    0.005884    0.008939    0.005079    0.007852    0.004219    0.001755    0.001021    0.001625    0.000941    0.002773   0.0008515
36       2.752      0.4435       6.234      0.2945       9.925      0.9355        7.43       1.741       3.991       1.182       1.584        0.53      0.3263      0.1148      0.1239     0.04425      0.1113     0.03575     0.09769     0.02665     0.02172    0.007815     0.02008    0.007215     0.02063    0.003095
38      0.1653     0.06005       0.367       0.105       1.887      0.5785       5.101       0.571       7.032      0.1125       6.642      0.6145       3.185       0.727       1.493      0.4065       1.361       0.326       1.214       0.236      0.2828     0.08845      0.2611     0.08185     0.01737     0.00023
44        0.23      0.0748       0.447      0.1262       1.437      0.4005       3.743       0.396       5.175       0.131        4.97      0.4765       2.462      0.5405       1.169      0.3015       1.067      0.2405      0.9535      0.1715      0.2241     0.06675       0.207     0.06175     0.01236     0.00044
48      0.1561     0.06851      0.3517      0.1134      0.9309      0.4931       1.537       1.038       1.611       1.183       1.199      0.9269      0.3823      0.3089      0.1531      0.1252      0.1378      0.1113      0.1212     0.09626     0.02671     0.02193     0.02465     0.02024    0.004242    0.002906
50       0.302       0.078      0.7127      0.2276       1.499      0.3065       1.975       0.498        1.66       0.617      0.8989      0.4302      0.2238      0.1271     0.08572     0.05018     0.07702     0.04333     0.06769     0.03598     0.01512    0.009027     0.01397    0.008346    0.004765    0.001173
56      0.1086     0.01234      0.3227      0.0128       1.536      0.1405       2.786       0.366       2.853      0.4675       2.075      0.3965      0.6574       0.149       0.263       0.063      0.2364     0.04655      0.2077     0.02885     0.04524     0.01101     0.04173     0.01015    0.007704    0.001089
64      0.1804      0.0554      0.5338      0.2659       1.294      0.6316       1.683      0.9061        1.39      0.8394      0.7402      0.4829      0.1802      0.1269     0.06837     0.04883      0.0614     0.04288     0.05391     0.03647     0.01195      0.0086     0.01104    0.007943    0.004277    0.002284
