#       id       zspec       zbest       ubest       chi2_min     S_chi2_min     R_chi2_min
#
         6     1.03500     1.03500       6.100       14.42909   1.214463e-19       14.42909
        18    -1.00000     1.15820       6.100       6.163805      0.8339104       5.329895
        35    -1.00000     0.40100       6.100       4.458902        3.22876       1.230142
        36    -1.00000     0.30670       2.200      0.5847275    0.001663242      0.5830643
        38    -1.00000     3.60792     101.000        3.20651    0.003100165       3.203409
        44    -1.00000     4.30830     101.000       22.71169       4.629219       18.08247
        48    -1.00000     2.43604      25.000       1.337569      0.8362493        0.50132
        50    -1.00000     1.18400       6.100       4.714727   5.587471e-18       4.714727
        56    -1.00000     2.71690     101.000       6.634845      0.6435221       5.991323
        64    -1.00000     1.34867       9.700       3.329353      0.6090122       2.720341
        65    -1.00000     2.34630      40.000       1.055323      0.3530124      0.7023107
        91    -1.00000     0.36500       9.700      0.6939711    0.006715751      0.6872553
        95    -1.00000     2.44440      45.000       4.061069        3.81449      0.2465786
       106    -1.00000     2.19963      14.500       8.327976      0.1380623       8.189913
       107    -1.00000     0.48330     101.000       3.409417     0.01962939       3.389788
       112    -1.00000     1.22550      12.100      0.3654715   1.990129e-20      0.3654715
       123    -1.00000     2.60525      45.000       6.400369       5.009305       1.391065
       126    -1.00000     1.21130       9.700        11.6073       7.718545        3.88875
       127     0.58200     0.58200       4.900       12.18259      0.1148219       12.06777
       130    -1.00000     3.93220     101.000       14.48264              0       14.48264
       132    -1.00000     1.32050       9.700       9.491439       2.761871       6.729569
       135    -1.00000     1.17490       6.100       1.024037     0.06268844      0.9613489
       142    -1.00000     2.39625      25.000       6.482513       1.021629       5.460884
       145     0.28000     0.28000       2.200       5.939874       3.728792       2.211082
       152    -1.00000     0.33770       3.300      0.5064445    9.64776e-05       0.506348
       158    -1.00000     1.60996       9.700       5.093026       2.799559       2.293466
       162     1.25600     1.25600     101.000        4.72042      0.1644685       4.555952
       169    -1.00000     2.23152      40.000       6.364211       5.851739      0.5124717
       175    -1.00000     1.73790      12.100       9.642827      0.4298112       9.213016
       179    -1.00000     1.79040      25.000       8.766285      0.6188421       8.147443
       180    -1.00000     1.18020       6.100        1.92503     0.07137037       1.853659
       185    -1.00000     0.40100       6.100       2.675008              0       2.675008
       186     1.25900     1.25900       9.700       3.256807      0.8922465        2.36456
       207    -1.00000     2.09560      25.000       23.34782       22.51174      0.8360893
       208    -1.00000     1.97570      35.000       2.114801       1.256563      0.8582383
       213     0.50440     0.50440     101.000       59.27159     0.07372769       59.19786
       214    -1.00000     2.60528      45.000        4.73102       1.498556       3.232464
       216     0.15900     0.15900       4.900      0.7375525   2.451885e-19      0.7375525
       217    -1.00000     2.55810      45.000        8.09466       3.044177       5.050483
       227    -1.00000     0.91100      12.100       4.614491     0.01928437       4.595206
