#         id              ra             dec            z        z_opt       z_spec         f500        df500
#                                                                                          [mJy]        [mJy]
         130     189.3960114      62.3908005        4.127         4.42           -1         22.4        4.224
         213     189.2788696      62.3852005       0.5044         0.61       0.5044        13.77        4.137
         256     189.3261261      62.3830528         2.51         2.51           -1        14.26        3.088
         564     189.2994995      62.3700371        4.055         4.21        4.055        47.47          7.5
         638     189.4360352      62.3677368        0.711         0.72        0.711        14.32        4.259
         827     189.2061768      62.3618965        1.371         1.21           -1        18.61        3.586
        1084     189.3170776      62.3541145        1.144         1.15        1.144        8.227         2.57
        1284     189.2981720      62.3483315        3.591         3.57           -1        6.909        2.214
        1445     189.3995972      62.3452644        2.404          2.3           -1        10.92         3.53
        1618     189.1705475      62.3409958        1.014         0.97        1.014        10.37        2.834
        1651     189.2563782      62.3402290        2.882         2.99           -1        7.328        1.895
        1735     189.1885529      62.3387527        4.007         4.37           -1        9.722        2.509
        2592     189.3670044      62.3222733        4.744         5.25           -1        14.81        2.496
        2925     189.0864563      62.3167152        2.982         3.17           -1        30.16        6.299
        3087     189.3562317      62.3138924       0.8409         0.83       0.8409        8.439        2.767
        3532     189.3077393      62.3073006        3.988         4.15           -1        9.501        1.972
        3718     189.5203400      62.3041801        1.139         1.01           -1        9.811        2.861
        3827     189.5537872      62.3028259        3.651          -99           -1        27.71        7.591
        4449     189.4443359      62.2940598        2.198          2.1        2.198        14.66        1.727
        4500     189.4094086      62.2934532         3.19         3.19         3.19        14.53        2.789
        4799     189.3938141      62.2898026       0.6407         0.87       0.6407         7.07        1.687
        4865     189.4732513      62.2888260        0.851         0.78        0.851        6.619        1.977
        4990     189.1330261      62.2873993        4.229         4.07           -1        12.51        2.576
        5023     189.5151215      62.2865105        0.278         0.43        0.278        12.09        3.569
        5211     189.4091034      62.2842216         2.56         2.56           -1        8.024        1.882
        5215     189.5788574      62.2843933         2.34         2.09           -1        35.64        6.515
        5325     189.1354523      62.2831459       0.4372         0.39       0.4372        15.59         4.28
        5348     189.3841248      62.2829399        0.975            1        0.975        5.815        1.742
        5730     189.3191071      62.2787170        2.212          2.1           -1        14.91        1.538
        6061     189.0943909      62.2748985        2.079         2.15           -1        15.86        4.117
        6251     189.5308685      62.2726440        1.155         1.16        1.155        9.761        2.178
        6287     189.0175171      62.2722206         2.11         1.95           -1        10.53        2.799
        6308     189.0480804      62.2720680        2.897          3.2           -1        9.624        1.896
        6406     189.0919495      62.2710724         5.47         5.47           -1         14.7        3.929
        6714     189.3066406      62.2676926        1.128         1.13           -1        6.629        1.495
        6891     189.4282379      62.2659073        2.701          -99           -1        11.39        1.565
        7054     189.0763855      62.2640228            2         2.19            2        15.32        4.376
        7588     189.4095306      62.2582588        1.453         1.27           -1        7.182        1.986
        8053     189.1226654      62.2535820        3.663         0.17        3.663        8.083        2.035
        8493     189.5521851      62.2484970       0.4839          0.6       0.4839           19        1.969
        8612     189.1919403      62.2468948        2.838            3           -1        9.464        2.624
        8662     189.3057861      62.2473297       0.9354         1.01       0.9354        4.305        1.434
        8668     189.2496948      62.2471962        0.761         0.78        0.761        7.364        2.217
        8908     188.9164276      62.2446747        2.694         2.46           -1        28.49        4.579
        9053     189.0358124      62.2431564        3.446         3.31           -1        14.55        1.701
        9319     189.5815125      62.2399826        1.101         0.99           -1        37.35        7.658
        9370     189.1483307      62.2399864        2.011         1.91        2.011        23.84        1.811
        9710     189.1391907      62.2356987        5.551          -99           -1        11.09        2.387
        9786     189.0740814      62.2355003         1.67         1.67         1.67        9.809        1.728
        9790     189.2390900      62.2355347         1.46         1.45         1.46        7.425        1.739
