#            id             ra             de           z       z_opt      z_spec       snrIR     Type_SED
#
           4924    189.5123138     62.2880669       1.535        1.68          -1       5.523           1
           5089    189.0874176     62.2860031       1.988        2.14       1.988       7.825           1
           5215    189.5788574     62.2843933        2.34        2.09          -1       14.92           1
           5730    189.3191071     62.2787170       2.212         2.1          -1       40.19           1
           6287    189.0175171     62.2722206        2.11        1.95          -1       13.32           1
           6509    189.4950104     62.2698174       2.387        2.58          -1        13.1           1
           6934    189.2009735     62.2656593        2.44        2.42        2.44       5.479           1
           7053    189.0279388     62.2640305       2.414         2.2       2.414       13.25           1
           7054    189.0763855     62.2640228           2        2.19           2       41.09           1
           9520    189.2012177     62.2379990       2.002        2.21       2.002       13.57           1
           9786    189.0740814     62.2355003        1.67        1.67        1.67       15.36           1
           9981    189.2087555     62.2336006       2.231        2.19       2.231       12.13           1
          11976    188.9405823     62.2117996       2.325        2.28          -1       16.02           1
          12694    189.2026672     62.2043991       1.971        1.76          -1       15.42           1
          14630    189.2290192     62.1823196       2.206        2.25          -1       12.97           1
          15820    189.1302948     62.1660690       2.302        2.32       2.302        42.6           1
          15826    188.9298096     62.1653404       1.823        1.59          -1       27.78           1
          15847    188.9712219     62.1651230       1.605        1.42          -1       11.85           1
          15997    189.1652527     62.1634674       2.079        2.32       2.079       5.446           1
          17566    188.9668579     62.1359024       1.981        1.89          -1       9.664           1
          19304    189.1601105     62.0833015        2.43         2.2          -1       12.49           1
