#            id             ra             de           z       z_opt      z_spec       snrIR     Type_SED
#
            162    189.2877197     62.3886566       1.256        1.26       1.256        79.2           1
            438    189.3011932     62.3750534        1.27        1.27          -1       22.78           1
            884    189.2482452     62.3602180        3.53        3.93          -1       7.733           1
           1103    189.2759247     62.3532333       1.363        1.32       1.363       13.02           1
           1284    189.2981720     62.3483315       3.591        3.57          -1       6.164           1
           1945    189.3174133     62.3344574       3.696        4.06          -1       6.601           1
           2489    189.1454010     62.3231239       2.608        2.31          -1       10.94           1
           4500    189.4094086     62.2934532        3.19        3.19        3.19       14.99           1
           4924    189.5123138     62.2880669       1.535        1.68          -1       5.523           1
           5089    189.0874176     62.2860031       1.988        2.14       1.988       7.825           1
           5215    189.5788574     62.2843933        2.34        2.09          -1       14.92           1
           5730    189.3191071     62.2787170       2.212         2.1          -1       40.19           1
           6287    189.0175171     62.2722206        2.11        1.95          -1       13.32           1
           6509    189.4950104     62.2698174       2.387        2.58          -1        13.1           1
           6934    189.2009735     62.2656593        2.44        2.42        2.44       5.479           1
           7053    189.0279388     62.2640305       2.414         2.2       2.414       13.25           1
           7054    189.0763855     62.2640228           2        2.19           2       41.09           1
           8612    189.1919403     62.2468948       2.838           3          -1       7.276           1
           8908    188.9164276     62.2446747       2.694        2.46          -1       9.637           1
           8973    189.0518494     62.2439880       1.433        1.11       1.433       22.64           1
           9022    189.1378479     62.2436638       1.225        1.17       1.225       14.64           1
           9319    189.5815125     62.2399826       1.101        0.99          -1       7.763           1
           9520    189.2012177     62.2379990       2.002        2.21       2.002       13.57           1
           9786    189.0740814     62.2355003        1.67        1.67        1.67       15.36           1
           9981    189.2087555     62.2336006       2.231        2.19       2.231       12.13           1
          10059    189.4076691     62.2327576       2.954         3.2          -1        5.77           1
          10131    189.2198029     62.2318420       1.359        1.34       1.359       14.37           1
          11303    189.1837769     62.2196693       2.929        3.09       2.929       7.128           1
          11520    189.5075989     62.2169685       1.325        1.17          -1        11.6           1
          11563    189.3967896     62.2163696       1.004        1.04       1.004       24.16           1
          11580    189.3781281     62.2162323       2.758        3.03          -1       33.58           1
          11976    188.9405823     62.2117996       2.325        2.28          -1       16.02           1
          12000    189.1437988     62.2113876       1.219        1.21       1.219         113           1
          12694    189.2026672     62.2043991       1.971        1.76          -1       15.42           1
          13584    189.2223969     62.1943436       1.268        1.17       1.268       49.71           1
          13786    188.9904480     62.1916008       3.034        3.39          -1       5.068           1
          13835    189.4448853     62.1918449       1.085        0.95          -1       10.24           1
          14095    189.3831329     62.1876259       1.152        1.15       1.152       11.05           1
          14191    189.2033386     62.1876640       3.796        3.67          -1       6.701           1
          14211    189.1311035     62.1871643       1.013        0.87       1.013        35.3           1
          14267    189.2480469     62.1866875       2.983        3.12       2.983        5.77           1
          14417    189.3346100     62.1842422       2.705         2.5          -1       5.525           1
          14630    189.2290192     62.1823196       2.206        2.25          -1       12.97           1
          15289    188.9900818     62.1734276       3.075        0.17       3.075       15.29           1
          15820    189.1302948     62.1660690       2.302        2.32       2.302        42.6           1
          15826    188.9298096     62.1653404       1.823        1.59          -1       27.78           1
          15847    188.9712219     62.1651230       1.605        1.42          -1       11.85           1
          15997    189.1652527     62.1634674       2.079        2.32       2.079       5.446           1
          16297    188.9710388     62.1582680       2.869        2.64          -1       8.537           1
          17120    189.0236664     62.1440239       2.561        2.28          -1       9.624           1
          17566    188.9668579     62.1359024       1.981        1.89          -1       9.664           1
          17770    189.1909637     62.1317253       1.434         1.2       1.434       61.56           1
          18194    189.2781830     62.1229248       1.218        1.14       1.218       55.43           1
          18253    189.0872498     62.1206131       1.148        1.16       1.148       17.12           1
          19304    189.1601105     62.0833015        2.43         2.2          -1       12.49           1
          19345    189.1686096     62.0811043       1.426        1.35       1.426       12.03           1
