# z_phot   ref_z_phot  
  0.91     2           
  1.02     2           
  -99.0    -99         
  0.37     2           
  3.78     2           
  3.87     2           
  2.26     2           
  1.4      2           
  2.41     2           
  1.37     2           
  2.07     2           
  0.5      2           
  2.16     2           
  2.01     2           
  0.63     2           
  1.05     2           
  2.45     2           
  1.43     2           
  1.13     2           
  4.42     2           
  1.55     2           
  1.39     2           
  2.25     2           
  0.28     2           
  0.47     2           
  1.84     2           
  1.26     2           
  2.04     2           
  1.62     2           
  1.56     2           
  1.22     2           
  -99.0    -99         
  1.21     1           
  1.84     1           
  1.73     2           
  0.61     2           
  2.48     2           
  0.15     2           
  2.91     1           
  1.1      2           
  3.34     1           
  1.31     2           
  0.83     2           
  0.02     1           
  1.32     2           
  1.5      2           
  1.52     1           
  2.51     1           
  1.12     2           
  0.32     1           
  2.5      1           
  1.39     2           
  2.23     2           
  0.43     1           
  3.15     1           
  -99.0    -99         
  -99.0    -99         
  2.17     1           
  0.46     1           
  2.38     2           
  3.0      1           
  0.98     2           
  1.48     1           
  0.86     1           
  1.3      1           
  1.18     1           
  0.77     2           
  -99.0    -99         
  0.82     2           
  1.26     1           
  2.83     2           
  4.38     1           
  4.21     1           
  2.57     1           
  2.03     1           
  2.32     1           
  -99.0    -99         
  1.07     2           
  2.67     2           
  1.27     1           
  1.46     1           
  0.67     1           
  0.63     2           
  1.22     1           
  0.38     2           
  1.4      1           
  1.24     1           
  1.29     2           
  1.15     2           
  1.2      1           
  0.68     1           
  0.75     1           
  -99.0    -99         
  3.09     1           
  1.27     1           
  1.59     2           
  1.18     2           
  0.23     2           
  4.27     1           
  0.95     1           
  4.39     2           
  0.08     2           
  2.27     2           
  1.12     2           
  4.36     1           
  2.41     2           
  2.36     2           
  2.26     1           
  2.7      2           
  -99.0    -99         
  0.48     2           
  0.77     2           
  1.14     1           
  -99.0    -99         
  1.04     1           
  0.65     1           
  1.02     1           
  0.97     1           
  2.18     2           
  0.97     2           
  3.03     2           
  2.58     2           
  1.78     1           
  1.12     2           
  0.47     1           
  0.65     2           
  1.26     2           
  1.39     2           
  3.02     2           
  4.21     1           
  1.31     2           
  1.45     2           
  2.28     2           
  1.37     1           
  0.58     2           
  0.98     2           
  0.87     2           
  2.48     2           
  1.33     1           
  1.29     1           
  1.39     2           
  0.5      2           
  0.72     2           
  1.59     2           
  3.9      1           
  4.33     1           
  1.36     2           
  2.37     2           
  1.16     2           
  0.96     1           
  0.63     2           
  0.34     1           
  1.91     2           
  2.22     2           
  0.94     2           
  0.8      1           
  4.41     1           
  0.98     2           
  2.04     2           
  0.62     1           
  0.88     1           
  0.61     2           
  0.38     1           
  1.42     2           
  0.72     2           
  0.32     1           
  0.82     1           
  0.93     2           
  2.53     2           
  0.57     2           
  1.53     1           
  2.61     2           
  2.47     1           
  1.1      2           
  1.46     2           
  2.65     2           
  0.63     2           
  0.6      2           
  1.06     2           
  0.63     2           
  1.21     2           
  -99.0    -99         
  -99.0    -99         
  1.5      2           
  3.23     1           
  1.27     1           
  1.37     1           
  0.87     2           
  1.99     1           
  1.45     2           
  0.22     1           
  2.15     2           
  3.93     2           
  0.14     1           
  0.43     1           
  1.34     2           
  0.99     1           
  0.59     2           
  1.01     1           
  2.51     2           
  1.5      2           
  1.81     2           
  1.92     2           
  0.51     2           
  1.6      1           
  0.91     2           
  0.75     2           
  0.73     2           
  0.94     2           
  0.95     1           
  2.87     1           
  0.27     1           
  0.38     2           
  1.39     1           
  1.22     1           
  0.26     1           
  5.73     1           
  1.12     2           
  1.32     1           
  0.97     2           
  2.85     1           
  0.96     1           
  0.97     1           
  2.24     2           
  1.69     1           
  0.72     1           
  4.18     2           
  0.77     2           
  1.06     1           
  2.43     1           
  2.34     1           
  0.59     2           
  1.06     1           
  1.71     1           
  0.99     1           
  0.23     2           
  1.15     1           
  0.98     2           
  2.62     1           
  0.04     1           
  1.09     2           
  0.47     1           
  1.32     1           
  0.59     1           
  0.89     1           
  -99.0    -99         
  1.46     2           
  0.37     2           
  0.81     1           
  3.29     1           
  1.05     2           
  2.62     1           
  0.19     2           
  0.06     1           
  0.48     2           
  1.18     2           
  0.31     1           
  1.33     2           
  -99.0    -99         
  1.26     2           
  3.18     1           
  1.35     1           
  2.9      2           
  2.27     1           
  0.64     1           
  -99.0    -99         
  1.33     2           
  1.63     1           
  1.46     2           
  1.88     1           
