# z_spec   ref_z_spec  
  1.035    81          
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  0.582    72          
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  0.28     81          
  -99.0    -99         
  -99.0    -99         
  1.256    72          
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  1.259    21          
  -99.0    -99         
  -99.0    -99         
  0.5044   23          
  -99.0    -99         
  0.159    81          
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  -99.0    72          
  1.363    23          
  -99.0    -99         
  -99.0    72          
  -99.0    45          
  2.431    72          
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  0.8178   23          
  -99.0    -99         
  -99.0    -99         
  -99.0    72          
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  1.251    72          
  1.521    47          
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  1.253    21          
  0.676    72          
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  1.019    81          
  -99.0    -99         
  0.179    72          
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  0.452    72          
  0.6798   23          
  -99.0    -99         
  -99.0    -99         
  1.037    72          
  0.64     72          
  0.9746   21          
  1.03     21          
  -99.0    -99         
  0.801    72          
  -99.0    -99         
  -99.0    81          
  -99.0    72          
  -99.0    -99         
  0.5045   21          
  0.68     72          
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  4.055    1001        
  -99.0    -99         
  -99.0    72          
  -99.0    -99         
  1.364    81          
  -99.0    72          
  1.008    21          
  0.8      72          
  -99.0    -99         
  -99.0    -99         
  1.255    21          
  -99.0    -99         
  0.503    72          
  0.711    72          
  -99.0    -99         
  4.051    1001        
  4.056    1001        
  -99.0    -99         
  -99.0    -99         
  1.142    72          
  0.9452   21          
  0.713    72          
  0.281    21          
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  0.7762   21          
  4.058    72          
  -99.0    -99         
  -99.0    -99         
  0.5953   21          
  0.905    72          
  0.585    23          
  -99.0    -99         
  -99.0    -99         
  0.708    72          
  0.3308   21          
  0.8615   21          
  0.707    72          
  -99.0    -99         
  -99.0    -99         
  1.45     21          
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  0.473    72          
  -99.0    72          
  1.022    72          
  -99.0    -99         
  -99.0    81          
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  -99.0    81          
  -99.0    -99         
  0.84     72          
  -99.0    -99         
  -99.0    -99         
  0.2755   21          
  -99.0    -99         
  -99.0    -99         
  0.9032   21          
  0.475    72          
  1.45     72          
  0.94     81          
  -99.0    -99         
  0.962    72          
  2.635    34          
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  0.7078   21          
  1.032    72          
  0.947    72          
  -99.0    -99         
  -99.0    21          
  -99.0    -99         
  -99.0    72          
  1.303    81          
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  1.306    21          
  0.948    72          
  -99.0    -99         
  0.946    72          
  1.029    21          
  -99.0    -99         
  -99.0    -99         
  0.7778   81          
  -99.0    -99         
  0.7703   81          
  1.06     21          
  -99.0    21          
  1.038    21          
  -99.0    -99         
  -99.0    72          
  -99.0    -99         
  0.938    81          
  -99.0    -99         
  1.144    81          
  -99.0    -99         
  -99.0    -99         
  3.53     21          
  -99.0    -99         
  0.4724   21          
  1.363    81          
  0.5948   81          
  0.9441   21          
  -99.0    -99         
  1.457    72          
  0.3866   81          
  0.7997   21          
  -99.0    -99         
  1.023    72          
  -99.0    -99         
  0.2538   21          
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  0.2804   21          
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  1.364    21          
  -99.0    -99         
  -99.0    -99         
  2.92     72          
  -99.0    72          
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  0.8919   23          
  0.836    72          
  -99.0    -99         
  -99.0    72          
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  1.083    21          
  0.7441   21          
  -99.0    -99         
  -99.0    -99         
