#           _id            _ra            _de           zp_X            f24           df24            f16           df16           f100          df100           f160          df160           f250          df250           f350          df350           f500          df500           f850          df850          f1160         df1160          radio         eradio          _fch1         _dfch1          _fch2         _dfch2          _fch3         _dfch3          _fch4         _dfch4          KtotX          MassX          distX          spezX             zq         source   source_radio          distz            idz       goodArea
# 
              6    189.3485107     62.4028587           0.91            310          10.38            -99          1e+10        2.02093       0.604554         2.1018        1.91597         12.698        2.23375        10.6672        3.51638        7.01469        3.61549            -99          1e+10            -99          1e+10          11.49          3.202            -99            -99            -99            -99            -99            -99          35.32          2.241          19.77          10.88         0.1098          1.035             -1             81              1          0.131             -1              0
             18    189.3498535     62.4003220           1.02          56.35          5.802            -99          1e+10      0.0477614       0.560333        3.31115        1.61038            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10        -0.4365          3.186          8.307           0.15          6.171          0.421            -99            -99          5.109          1.872           21.4          10.19         0.9166             -1            -99            -99              1          9.459            -99              0
             35    189.3342133     62.3983154            -99          20.37          6.689            -99          1e+10       0.722862       0.438136            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10          2.793          3.066          -0.23          0.128           0.79          0.167          9.472          1.737         -1.911          1.154            -99            -99          2.835             -1           -999            -99              1          29.05            -99              0
             36    189.3627319     62.3979454           0.37          209.9          18.63            -99          1e+10        5.39567       0.631054        10.2857        1.90853        7.61567        2.67015            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10          17.18          3.181          41.08          0.121          39.27          0.455           38.6          2.011          77.15          1.858          19.19           9.75         0.2252             -1            -99            -99              1          29.55            -99              0
             38    189.3673859     62.3982124           3.78      8.071e-08          13.69            -99          1e+10    1.50602e-05       0.644511        2.21393        2.08903         7.2631        2.66198        5.68399        3.34351        7.12573        3.72724     5.1941e-42          1e+10        1.11066         1.6288          12.92           3.22          1.808          0.152            -99            -99          7.493          2.003          8.538          2.339          23.68             10         0.4338             -1            -99            -99              1           35.6            -99              0
             44    189.3435364     62.3971863           3.87          24.16          8.115            -99          1e+10       0.809669       0.575339    1.46628e-05        1.76498    3.20924e-07        1.95641    2.90529e-07        4.50512       0.325215        5.00015     5.1941e-42          1e+10    2.12993e-10        1.30358          2.416          3.187          0.836          0.096          0.856          0.192          4.302          1.261          0.661          1.209          23.77          10.25         0.4377             -1            -99            -99              1          22.16            -99              0
             48    189.3411560     62.3968201           2.26          48.59          6.812      1.903e-07          15.91    1.50602e-05       0.682043    1.46628e-05        2.50322            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10          4.285           3.18          4.476          0.096          5.069          0.172          7.437          1.227          5.357          1.146          22.92          10.89         0.1337             -1            -99            -99              1          25.08            -99              0
             50    189.3090210     62.3967781            1.4          42.82          11.51            -99          1e+10       0.806348       0.445007    1.46628e-05        1.08017            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10         0.6058            3.1            -99            -99          9.219          0.152            -99            -99          7.086          1.071          22.03          10.55        0.05784             -1            -99            -99              1          21.41            -99              0
             56    189.3330841     62.3961372           2.41          1.633          4.602          12.07          10.44            -99          1e+10    1.46628e-05        1.09718            -99          1e+10            -99          1e+10            -99          1e+10     5.1941e-42          1e+10            -99          1e+10          7.701          3.145           0.47          0.103          0.471          0.142         -0.063          1.322         -0.294          1.008          22.99          10.39         0.6433             -1            -99            -99              1          29.56            -99              0
             64    189.3278351     62.3952751           1.37          24.58          6.377          29.16          11.34       0.262068       0.382749        2.05316        1.21819            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10          3.532          3.068          6.981          0.105          7.582          0.133          4.441          1.372           6.21          0.939          21.91          10.19        0.06866             -1            -99            -99              1          21.21            -99              0
             65    189.3402557     62.3952560           2.07          27.92          6.095      1.903e-07          16.87    1.50602e-05       0.410543    1.46628e-05        1.33088            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10        -0.4437          3.058          3.663          0.089          3.892          0.147          4.934          1.103          3.617          1.015          22.62          10.56        0.02892             -1            -99            -99              1          24.53            -99              0
             91    189.3629761     62.3935661            0.5          30.47          4.736            -99          1e+10       0.429005        0.50079    1.46628e-05        1.55496            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10         0.8586          3.189          4.642          0.079          4.709          0.184          3.126          1.086          3.279          1.239          21.74           9.55         0.2541             -1            -99            -99              1           27.7            -99              0
             95    189.3264465     62.3934822           2.16          11.67          3.539          10.48           9.69       0.191935       0.385558    1.46628e-05        1.19198            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10        -0.4384          3.032          0.729          0.089          0.882          0.118          3.304          1.168          1.723           0.85          22.45          10.16         0.9342             -1            -99            -99              1          14.93            -99              0
            106    189.3455963     62.3922691           2.01          75.62          6.123      1.903e-07          11.57        1.44845       0.481704    0.000721466        1.43979        6.82247        1.93628        8.39506        3.75972            -99          1e+10     5.1941e-42          1e+10        1.03773        1.27653           46.1            7.4          4.711          0.068          6.457          0.123          8.945          0.876           9.93           0.88          23.07          10.72        0.09944             -1            -99            -99              3          10.67            -99              0
            107    189.3130188     62.3921814           0.63           46.3          4.928            -99          1e+10        1.60046       0.387288       0.080142        1.02044            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10          3.706          3.103          9.735          0.118          7.961           0.11           9.13          1.574          11.98          0.814          21.35           9.88         0.1027             -1            -99            -99              1          12.42            -99              0
            112    189.2936859     62.3917084           1.05          65.21          6.772            -99          1e+10       0.948379       0.421948        2.36598        1.36657            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10          7.197          3.186            -99            -99          12.53          0.139            -99            -99          11.41          0.975          21.75          10.38        0.06054             -1            -99            -99              1          10.09            -99              0
            123    189.3483124     62.3914108           2.45          27.85          9.119          11.67          14.01       0.329057        0.58462    1.46628e-05        2.31631            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10        -0.4518          2.997          1.229          0.063          0.907           0.12           1.74          0.794         -0.995          0.864          24.24           9.37         0.1648             -1            -99            -99              1          6.303            -99              0
            126    189.2962036     62.3910942           1.43          62.39          5.965            -99          1e+10    1.50602e-05       0.472277    1.46628e-05        1.39987            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10          7.244          3.123          23.48          0.227          25.12          0.129          38.79          2.777          20.78          0.914          20.99          10.96         0.1498             -1            -99            -99              1          8.541            -99              0
            127    189.3196411     62.3907661           1.13          232.7          8.327            138          6.533        3.96072       0.413271        7.98685        1.24378        12.9376        1.60024        8.37597        3.57376            -99          1e+10            -99          1e+10            -99          1e+10          18.61          3.128          80.46           0.09          59.77           0.11          55.33          1.002          41.65          0.759          19.23          11.45         0.1937          0.582              1             72              1         0.2536             -1              0
            130    189.3960114     62.3908005           4.42            -99          1e+10            -99          1e+10    1.50602e-05        0.76287        1.64313         2.0246        10.2749        3.15837        18.3205         4.0788        23.6596         2.4938     5.1941e-42          1e+10    2.12993e-10        1.35776          9.296          3.198          3.019          0.261            -99            -99            -99            -99            -99            -99          23.26          10.91         0.2472             -1            -99            -99              1          32.25            -99              0
            132    189.3355255     62.3906975           1.55          28.25          6.021      1.903e-07          12.44      0.0113196       0.383428    1.46628e-05          1.146            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10         -0.398          3.031          1.881          0.069          2.136          0.107          3.959          0.854         -0.486          0.787          24.15           9.71         0.1963             -1            -99            -99              1          22.23            -99              0
            135    189.3549194     62.3903694           1.39          26.97          4.438            -99          1e+10       0.500728       0.446425    1.46628e-05        1.22603            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10          1.483          3.041          3.247          0.062          3.743          0.125           3.17          0.811          2.803          0.886          22.97          10.05         0.3008             -1            -99            -99              1          10.74            -99              0
            142    189.3594208     62.3898582           2.25          177.4          6.007            -99          1e+10       0.730671       0.483572    1.46628e-05         1.5011         4.3814        1.93073        2.15711        4.15499            -99          1e+10     5.1941e-42          1e+10    2.12993e-10       0.985005          5.694          3.131          7.134          0.062          9.875          0.134          10.65          0.778          9.045          0.941          22.81          10.31         0.1453             -1            -99            -99              1          17.96            -99              0
            145    189.3486023     62.3896980           0.28          133.1           5.44          87.93          9.752        2.17946       0.498071        5.19765        1.38442        4.94274        2.92749            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10          5.104          3.065          50.14          0.068          44.14          0.116          31.55          0.744          61.53          0.816          18.62          10.21         0.1594           0.28             -1             81              1         0.1498             -1              0
            152    189.3703461     62.3893394           0.47          151.8          7.089            -99          1e+10        3.72752       0.533107        6.11799         1.8097        4.77025        1.59428        3.96784         3.3638            -99          1e+10            -99          1e+10            -99          1e+10          4.315          3.197          47.93          0.072          41.17          0.166          33.36          0.866          52.25          1.131           19.2          10.79         0.1128             -1            -99            -99              1          23.21            -99              0
            158    189.3103485     62.3889732           1.84          208.7          8.672          43.37          8.616        3.65554       0.373248        6.30029        1.00012        11.3731        1.91418        9.28356        3.61545            -99          1e+10     5.1941e-42          1e+10        2.03421         1.2271           42.3           11.2          11.62          0.091          14.95          0.102           20.1          1.146          14.43          0.733          21.99          10.75        0.03745             -1            -99            -99              3          16.92            -99              0
            162    189.2877197     62.3886566           1.26          251.6          8.178            -99          1e+10        22.2176       0.307344        32.2925        1.31445        29.2102        2.37223        18.3487        3.87688        9.23633        4.01366     5.1941e-42          1e+10    2.12993e-10        1.05449          176.4           13.9            -99            -99          46.67          0.136          56.22           3.16          47.95          0.947          20.48          10.88         0.3651          1.256              1             72              3         0.2456             -1              0
            169    189.3772278     62.3882370           2.04          18.95          6.986            -99          1e+10    1.50602e-05       0.553634            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10        -0.4582          2.994          0.966          0.068          0.675          0.231           2.85          1.007         -0.575          1.378          22.96          10.13         0.3321             -1            -99            -99              1          13.48            -99              0
            175    189.3435822     62.3875694           1.62          117.1          4.789          41.91          12.41        1.08839       0.433176       0.901968        1.29936        7.14908        1.90098        4.60663        3.72003            -99          1e+10            -99          1e+10            -99          1e+10           6.08           3.04          10.97          0.057          15.24          0.101          14.07          0.683          14.84          0.731           21.8          10.57         0.1498             -1            -99            -99              1          11.35            -99              0
            179    189.3303680     62.3872147           1.56          140.8          4.737          10.07          10.31       0.862293       0.387284        1.80984       0.955071            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10          2.385          3.008          8.625          0.059           10.2          0.092          10.01          0.733           7.14           0.66           21.8          10.47         0.2983             -1            -99            -99              1          16.58            -99              0
            180    189.3639526     62.3872528           1.22          41.58          6.118            -99          1e+10      0.0365173       0.443281       0.617045        1.15733            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10          5.091          3.138          34.48          0.062          34.08          0.131          24.05          0.717          16.97          0.918           20.6           11.1         0.1157             -1            -99            -99              1          21.61            -99              0
            185    189.2730255     62.3870239            -99          93.67           8.46            -99          1e+10         1.2002         0.3688        1.56618         1.1165            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10        -0.3867          3.062            -99            -99          11.76          0.167            -99            -99          8.448          1.165            -99            -99            1.1             -1           -999            -99              1          11.91            -99              0
            186    189.2921295     62.3869972           1.21          77.94          5.373            -99          1e+10       0.688978       0.346729        1.78535        1.26738            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10          5.541          3.357          16.97          0.137          15.45          0.117          15.41          1.647          11.35          0.854          21.11           10.5        0.04843          1.259              2             21              1         0.1088             -1              0
            207    189.3199310     62.3851814           1.84          33.06          7.474          8.847           8.47       0.302792       0.413102       0.714912        1.20073            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10          2.747          3.057          3.389           0.06          3.351          0.089          6.999          0.741          1.382          0.632          23.77          10.11         0.7177             -1            -99            -99              1          12.85            -99              0
            208    189.3342133     62.3858261           1.73             33          3.747      1.903e-07          11.67       0.495374       0.352804    1.46628e-05        1.13097            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10          2.946           2.99          3.803          0.054          4.167           0.09          4.701          0.658          2.218          0.633          22.26          10.16         0.1028             -1            -99            -99              1          16.81            -99              0
            213    189.2788696     62.3852005           0.61          583.8          16.55            -99          1e+10        19.3775       0.600252        36.8102        2.85082        42.2232        5.21072        26.8989        9.61522        13.7733        3.48378            -99          1e+10        1.58637        1.93451          132.6            7.5            -99            -99          84.55           0.14            -99            -99          180.9          0.946          18.88          10.72         0.1989         0.5044              1             23              3         0.1602             -1              0
            214    189.2790375     62.3842049           2.48          83.08           9.51            -99          1e+10        1.37224       0.804791       0.189765        3.36124    0.000177993        5.30997    2.90529e-07        9.59721            -99          1e+10     5.1941e-42          1e+10        1.60084        1.97952          4.735           3.05          14.79          0.176          16.76          0.128          31.35          2.238             31          0.904          21.79             11         0.2456             -1            -99            -99              1          3.465            -99              0
            216    189.3811798     62.3850174           0.15          136.9          5.624            -99          1e+10        3.00129       0.542516        3.75534        1.41079        1.16807        2.14619            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10          4.557          3.145           20.8          0.068          17.59          0.179          13.61          0.897          36.28          1.242          19.74           8.75        0.08679          0.159             -1             81              1          0.191             -1              0
            217    189.3233337     62.3851357           2.91          126.7          5.715          10.65          6.439       0.771421       0.413202         1.8665        1.16914        4.00034         4.1491        6.52989        5.87013            -99          1e+10     5.1941e-42          1e+10        1.21402       0.897835          5.672          3.078          7.551          0.059          9.524          0.087          12.49          0.702          8.393          0.619          22.18          11.69         0.1829             -1            -99            -99              1          8.815            -99              0
            227    189.3872528     62.3847237            1.1          32.54          4.543            -99          1e+10    1.50602e-05       0.533312        2.93449        1.36887            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10            -99          1e+10          3.287          3.074          6.687          0.077          4.959          0.283          7.548          1.059          3.745          1.549          21.92           9.72         0.8287             -1            -99            -99              1             10            -99              0
