# Origin_20cm     z_phot   ref_z_phot     z_spec   ref_z_spec                id__     chisq_tot        nfit_tot      chisq_star       nfit_star      chisq_dust        nfit_dust
  1               0.91     2              1.035    81                         6         13.6092               7     1.21446e-19               1         13.6092               5
  1               1.02     2              -99.0    -99                       18         5.06261               8         1.20914               3         3.85348               4
  1               -99.0    -99            -99.0    -99                       35         4.64755               5         3.22876               1         1.41879               3
  1               0.37     2              -99.0    -99                       36        0.295879               7        0.001082               2        0.294797               3
  1               3.78     2              -99.0    -99                       38          17.172              14         11.5177               4          5.6542               8
  1               3.87     2              -99.0    -99                       44         33.4434              15         14.8483               5         18.5951               8
  1               2.26     2              -99.0    -99                       48         1.74192              12         1.30372               5        0.438203               5
  1               1.4      2              -99.0    -99                       50         4.34605               7        0.128898               2         4.21715               4
  1               2.41     2              -99.0    -99                       56         73.6821              10         63.5699               5         10.1122               4
  1               1.37     2              -99.0    -99                       64         3.07316              11        0.924913               4         2.14825               5
  1               2.07     2              -99.0    -99                       65         1.70904              12         1.06421               5        0.644833               5
  1               0.5      2              -99.0    -99                       91        0.655304               7      0.00176719               2        0.653536               4
  1               2.16     2              -99.0    -99                       95         72.6427              12         72.2786               5        0.364171               5
  3               2.01     2              -99.0    -99                      106         9.10107              12         2.09706               5         7.00401               5
  1               0.63     2              -99.0    -99                      107         2.75832               7       0.0196294               2         2.73869               4
  1               1.05     2              -99.0    -99                      112        0.134009               7      0.00612359               2        0.127885               4
  1               2.45     2              -99.0    -99                      123         11.0216              12          10.081               5        0.940574               5
  1               1.43     2              -99.0    -99                      126          17.315              10         14.5086               5         2.80644               4
  1               1.13     2              0.582    72                       127         10.6192               9        0.114822               3         10.5044               4
  1               4.42     2              -99.0    -99                      130         18.4455              10         0.31206               2         18.1334               6
  1               1.55     2              -99.0    -99                      132         9.45022              11         3.03302               4         6.41721               5
  1               1.39     2              -99.0    -99                      135         1.38267               9        0.162542               4         1.22013               4
  1               2.25     2              -99.0    -99                      142         6.33876              14         1.14327               5         5.19549               7
  1               0.28     2              0.28     81                       145         5.26767               8         3.72879               2         1.53887               3
  1               0.47     2              -99.0    -99                      152          0.2125               7     2.73663e-06               2        0.212498               4
  3               1.84     2              -99.0    -99                      158         10.5827              11         4.62745               5         5.95529               5
  3               1.26     2              1.256    72                       162         5.01202              10        0.120279               3         4.89175               6
  1               2.04     2              -99.0    -99                      169         46.3846               9         45.3981               5        0.986505               3
  1               1.62     2              -99.0    -99                      175          10.105              13         2.47471               5          7.6303               7
  1               1.56     2              -99.0    -99                      179         10.0791              11          2.3471               5         7.73203               5
  1               1.22     2              -99.0    -99                      180          1.7237               9        0.117297               4         1.60641               4
  1               -99.0    -99            -99.0    -99                      185         2.72818               5               0               0         2.72818               4
  1               1.21     1              1.259    21                       186         3.02907               9        0.923245               4         2.10583               4
  1               1.84     1              -99.0    -99                      207         25.9694              12         25.2787               5          0.6907               5
  1               1.73     2              -99.0    -99                      208         7.50303              12         6.48601               5         1.01702               5
  3               0.61     2              0.5044   23                       213         61.2288               9       0.0737277               2         61.1551               6
  1               2.48     2              -99.0    -99                      214         14.8717              14         11.2314               5         3.64032               7
  1               0.15     2              0.159    81                       216        0.322668               6     2.45188e-19               1        0.322668               3
  1               2.91     1              -99.0    -99                      217         8.09553              15         3.45104               5         4.64449               8
  1               1.1      2              -99.0    -99                      227          3.1803               8       0.0192844               3         3.16102               4
  1               3.34     1              -99.0    -99                      239         12.5484              12         2.79165               5         9.75671               6
  1               1.31     2              -99.0    -99                      242         4.87497               8         2.48246               3         2.39251               4
  1               0.83     2              -99.0    -99                      245         6.42961              10         0.19033               3         6.23928               5
  1               0.02     1              -99.0    72                       247         7.53013               9     7.05612e-19               1         7.53013               5
  1               1.32     2              1.363    23                       248         24.6233               8         22.8053               3         1.81794               4
  1               1.5      2              -99.0    -99                      254         12.6247              11         4.33788               5         8.28678               5
  3               1.52     1              -99.0    72                       255         7.60526               9         2.35384               4         5.25143               3
  1               2.51     1              -99.0    45                       256         3.38931              13         1.64791               5          1.7414               6
  1               1.12     2              2.431    72                       257         34.5889              12         25.1408               5         9.44803               5
  1               0.32     1              -99.0    -99                      262         4.53272               9       0.0224737               2         4.51025               5
  1               2.5      1              -99.0    -99                      264         31.0668              13         23.8186               5         7.24827               6
  1               1.39     2              -99.0    -99                      270         9.77701               9         8.01958               4         1.75743               4
  1               2.23     2              -99.0    -99                      277         9.60173              11         4.19968               3         5.40205               6
  1               0.43     1              -99.0    -99                      288         1.96399               9       0.0314665               2         1.93253               5
  1               3.15     1              -99.0    -99                      289         8.82733              12        0.661055               5         8.16628               6
  1               -99.0    -99            -99.0    -99                      309          5.9375              11     1.18799e-20               1          5.9375               8
  1               -99.0    -99            -99.0    -99                      314         3.24482               6     2.17253e-19               1         3.24482               4
  1               2.17     1              -99.0    -99                      316         3.59196              12         1.38579               5         2.20618               5
  1               0.46     1              -99.0    -99                      317         1.41266               9       0.0495788               2         1.36308               5
  1               2.38     2              -99.0    -99                      330         6.12876              10         3.62945               3          2.4993               5
  1               3.0      1              -99.0    -99                      337         29.2114              12         28.7702               5        0.441272               5
  1               0.98     2              -99.0    -99                      339        0.682525               7      0.00116622               2        0.681358               4
  1               1.48     1              -99.0    -99                      340         13.7721              11         11.6616               4         2.11055               5
  1               0.86     1              -99.0    -99                      343         1.48764              10        0.130503               3         1.35714               5
  1               1.3      1              -99.0    -99                      356         7.72336              10         6.45173               4         1.27162               4
  1               1.18     1              -99.0    -99                      365         1.11803              11        0.374547               4        0.743483               5
  1               0.77     2              -99.0    -99                      368         1.14756              10      0.00473202               3         1.14283               5
  1               -99.0    -99            -99.0    -99                      371         21.1849              10     6.34432e-20               1         21.1849               8
  1               0.82     2              0.8178   23                       374         4.37951               8        0.103849               3         4.27566               4
  1               1.26     1              -99.0    -99                      375         1.05004               9        0.713191               4        0.336848               3
  3               2.83     2              -99.0    -99                      376          0.6292              10      0.00931748               2        0.619883               6
  1               4.38     1              -99.0    72                       379         32.3204              16         14.3516               5         17.9687               9
  1               4.21     1              -99.0    -99                      381         36.2657              15         13.4179               4         22.8478               9
  2               2.57     1              -99.0    -99                      385         1.96883              13        0.403984               5         1.56485               6
  1               2.03     1              -99.0    -99                      390         5.65479              12        0.348391               5          5.3064               5
  1               2.32     1              -99.0    -99                      391         1.90456              11         1.45238               5        0.452178               4
  1               -99.0    -99            -99.0    -99                      394          1.3244               6     1.22102e-18               1          1.3244               4
  1               1.07     2              -99.0    -99                      398         1.68377               8         1.24695               3        0.436813               4
  1               2.67     2              -99.0    -99                      399         5.93349              15         2.50586               5         3.42762               9
  1               1.27     1              1.251    72                       401         10.6869              11         6.72139               4         3.96547               5
  2               1.46     1              1.521    47                       407         3.17046              12         0.65436               4          2.5161               6
  2               0.67     1              -99.0    -99                      409         14.3804              10      0.00947839               3         14.3709               5
  1               0.63     2              -99.0    -99                      413         2.46156              11       0.0392704               3         2.42229               6
  1               1.22     1              -99.0    -99                      414         5.83117              11        0.344397               4         5.48677               5
  1               0.38     2              -99.0    -99                      416         1.72154               7       0.0293433               2          1.6922               4
  1               1.4      1              -99.0    -99                      418         6.93132              11         1.40914               4         5.52218               5
  1               1.24     1              -99.0    -99                      421         4.57333              11        0.605129               4          3.9682               5
  1               1.29     2              -99.0    -99                      428         1.71248               9        0.348002               4         1.36448               4
  1               1.15     2              -99.0    -99                      429          4.4367               9         1.43908               4         2.99762               4
  1               1.2      1              1.253    21                       430         10.0594              11         7.08868               4         2.97075               5
  1               0.68     1              0.676    72                       431         14.7586              10        0.116878               3         14.6417               5
  1               0.75     1              -99.0    -99                      432         3.95722              10        0.523136               3         3.43409               5
  1               -99.0    -99            -99.0    -99                      433         1.79283               7     1.03506e-20               1         1.79283               5
  1               3.09     1              -99.0    -99                      437         12.2619              13         3.12266               5         9.13925               6
  1               1.27     1              -99.0    -99                      438         3.69916              10        0.228442               4         3.47072               4
  1               1.59     2              -99.0    -99                      439          19.354               9         8.83719               4         10.5168               4
  1               1.18     2              -99.0    -99                      442        0.916391               7     0.000142926               2        0.916248               4
  1               0.23     2              -99.0    -99                      449         13.8452               8     2.77867e-20               1         13.8452               4
  1               4.27     1              -99.0    -99                      450         33.2603              16         9.93953               5         23.3208               9
  1               0.95     1              1.019    81                       451         1.51685              11         0.43072               4         1.08613               5
  1               4.39     2              -99.0    -99                      468         39.3028              17         20.2347               6         19.0681               9
  1               0.08     2              0.179    72                       481         8.54009               8     3.30622e-18               1         8.54009               5
  1               2.27     2              -99.0    -99                      482          1.1645              11        0.300331               5        0.864164               4
  1               1.12     2              -99.0    -99                      490         5.91155              11        0.797588               4         5.11396               5
  1               4.36     1              -99.0    -99                      498          10.205              16         4.84593               5         5.35912               9
  1               2.41     2              -99.0    -99                      501         16.4558              13         9.89791               5         6.55789               6
  1               2.36     2              -99.0    -99                      502         25.3156              12         23.3524               5          1.9632               5
  1               2.26     1              -99.0    -99                      503         7.16053              12         6.50711               5        0.653422               5
  1               2.7      2              -99.0    -99                      505         10.1727              11         9.47302               5        0.699715               5
  1               -99.0    -99            -99.0    -99                      506          2.3428               8      1.4368e-20               1          2.3428               5
  1               0.48     2              0.452    72                       509         2.09368               7        0.554699               2         1.53898               4
  2               0.77     2              0.6798   23                       510         4.99918               7       0.0147568               2         4.98442               4
  1               1.14     1              -99.0    -99                      512         4.29216              11          1.9095               4         2.38266               5
  2               -99.0    -99            -99.0    -99                      516         26.7731              13               0               0         26.7731              10
  1               1.04     1              1.037    72                       521          3.7956              11         1.00781               4         2.78779               5
  1               0.65     1              0.64     72                       530         2.16835              10        0.235369               3         1.93298               5
  2               1.02     1              0.9746   21                       532          1.3722              10        0.154752               4         1.21745               4
  1               0.97     1              1.03     21                       533         8.51728              11         1.01726               4         7.50002               5
  1               2.18     2              -99.0    -99                      540         2.98922              12          0.4558               5         2.53342               5
  1               0.97     2              0.801    72                       541        0.827082               8        0.615499               3        0.211583               3
  2               3.03     2              -99.0    -99                      546         11.5119              11         8.90575               4         2.60613               6
  2               2.58     2              -99.0    81                       547         2.78865              13         1.31407               5         1.47458               6
  2               1.78     1              -99.0    72                       548         2.06086              13       0.0856644               5         1.97519               6
  1               1.12     2              -99.0    -99                      550         14.2309               8          12.419               3         1.81183               4
  2               0.47     1              0.5045   21                       552       0.0207482               9      0.00540267               3       0.0153455               4
  1               0.65     2              0.68     72                       554         2.26899               6      0.00464979               2         2.26434               3
  2               1.26     2              -99.0    -99                      559         0.41392               7      0.00123246               2        0.412687               4
  1               1.39     2              -99.0    -99                      561          5.7565              11        0.988635               4         4.76786               5
  1               3.02     2              -99.0    -99                      562         12.0223              12          3.9215               5         8.10079               5
  2               4.21     1              4.055    1001                     564         28.1832              13         17.7194               5         10.4638               6
  1               1.31     2              -99.0    -99                      581         2.43705              11       0.0817127               4         2.35533               5
  1               1.45     2              -99.0    72                       593         9.79464              11         1.41845               4         8.37619               5
  1               2.28     2              -99.0    -99                      597         36.3872              12         30.8717               5         5.51553               5
  1               1.37     1              1.364    81                       598         2.04617              10         0.64843               4         1.39774               4
  1               0.58     2              -99.0    72                       604         1.34963               5     3.74632e-18               1         1.34963               3
  1               0.98     2              1.008    21                       606         3.26495              11         0.36978               4         2.89517               5
  1               0.87     2              0.8      72                       620        0.222673               8       0.0635339               3        0.159139               3
