#      id           ra           de         z        ez      z_sp        z_op          fK         dfK        fch1       dfch1        fch2       dfch2        fch3       dfch3        fch4       dfch4         f24        df24         f16        df16        f100       df100        f160       df160        f250       df250        f350       df350        f500       df500        f850       df850       f1160      df1160       f20cm      df20cm         SNR       Mstar         SFR        eSFR        sSFR    goodArea    Type_AGN    Type_SED    Type_FIR
#
6          189.3485107   62.4028587     1.035        -1     1.035      0.91      0.04487    0.004487         -99       1e+10         -99       1e+10         -99       1e+10     0.03532    0.002241        0.31     0.01038         -99       1e+10       2.263      0.6771       2.354       2.146        12.7       2.234       10.67       3.516       7.015       3.615         -99       1e+10         -99       1e+10     0.01149    0.003202       7.593   4.385e+10       35.63       4.692      0.8126           0           0          -1           1
18         189.3498535   62.4003220    0.9281    0.0899        -1      1.02         0.01       0.001    0.008307     0.00015    0.006171    0.000421         -99       1e+10    0.005109    0.001872     0.05635    0.005802         -99       1e+10     0.05684      0.6668        3.94       1.916         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10  -0.0004365    0.003186       2.058   8.953e+09       3.592       2.167      0.4012           0           0           0           0
35         189.3342133   62.3983154     0.401         0        -1       -99          -99       1e+10    -0.00023    0.000128     0.00079    0.000167    0.009472    0.001737   -0.001911    0.001154     0.02037    0.006689         -99       1e+10      0.8602      0.5214         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10    0.002793    0.003066        1.65       1e-99      0.5473      0.3317         -99           0           0           0           0
36         189.3627319   62.3979454    0.3567      0.11        -1      0.37      0.07656    0.007656     0.04108    0.000121     0.03927    0.000455      0.0386    0.002011     0.07715    0.001858      0.2099     0.01863         -99       1e+10       6.043      0.7068       11.52       2.138       7.616        2.67         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10     0.01718    0.003181        10.5   3.251e+09       4.322       2.898        1.33           0           0           0           1
38         189.3673859   62.3982124      3.78      0.43        -1      3.78     0.001225   0.0001225    0.001808    0.000152         -99       1e+10    0.007493    0.002003    0.008538    0.002339   8.071e-11     0.01369         -99       1e+10   1.792e-05       0.767       2.635       2.486       7.263       2.662       5.684       3.344       7.126       3.727   5.194e-42       1e+10       1.111       1.629     0.01292     0.00322       3.947    5.78e+09       350.3       88.75        60.6           0           0           1           0
44         189.3435364   62.3971863     3.783    0.3505        -1      3.87     0.001127   0.0001127    0.000836     9.6e-05    0.000856    0.000192    0.004302    0.001261    0.000661    0.001209     0.02416    0.008115         -99       1e+10      0.9635      0.6847   1.745e-05         2.1   3.209e-07       1.956   2.905e-07       4.505      0.3252           5   5.194e-42       1e+10    2.13e-10       1.304    0.002416    0.003187       1.409   1.028e+10       226.9         161       22.07           0           0           1           0
48         189.3411560   62.3968201      2.26     0.293        -1      2.26     0.002466   0.0002466    0.004476     9.6e-05    0.005069    0.000172    0.007437    0.001227    0.005357    0.001146     0.04859    0.006812   1.903e-10     0.01591   1.792e-05      0.8116   1.745e-05       2.979         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10    0.004285     0.00318           0   4.487e+10       37.65       37.65      0.8391           0           0           0           0
50         189.3090210   62.3967781       1.4     0.216        -1       1.4     0.005598   0.0005598         -99       1e+10    0.009219    0.000152         -99       1e+10    0.007086    0.001071     0.04282     0.01151         -99       1e+10      0.9596      0.5296   1.745e-05       1.285         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10   0.0006058      0.0031       1.812   2.051e+10       15.99       8.825      0.7796           0           0           0           0
56         189.3330841   62.3961372      2.41     0.307        -1      2.41     0.002312   0.0002312     0.00047    0.000103    0.000471    0.000142    -6.3e-05    0.001322   -0.000294    0.001008    0.001633    0.004602     0.01207     0.01044         -99       1e+10   1.745e-05       1.306         -99       1e+10         -99       1e+10         -99       1e+10   5.194e-42       1e+10         -99       1e+10    0.007701    0.003145           0   1.419e+10       15.43       15.43       1.087           0           0          -1           0
64         189.3278351   62.3952751      1.37     0.213        -1      1.37     0.006252   0.0006252    0.006981    0.000105    0.007582    0.000133    0.004441    0.001372     0.00621    0.000939     0.02458    0.006377     0.02916     0.01134      0.3119      0.4555       2.443        1.45         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10    0.003532    0.003068       1.819   8.953e+09       14.34       9.797       1.602           0           0           0           0
65         189.3402557   62.3952560      2.07     0.276        -1      2.07     0.003251   0.0003251    0.003663     8.9e-05    0.003892    0.000147    0.004934    0.001103    0.003617    0.001015     0.02792    0.006095   1.903e-10     0.01687   1.792e-05      0.4885   1.745e-05       1.584         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10  -0.0004437    0.003058           0   2.099e+10       17.29       17.29      0.8238           0           0           0           0
91         189.3629761   62.3935661     0.455      0.09        -1       0.5     0.007311   0.0007311    0.004642     7.9e-05    0.004709    0.000184    0.003126    0.001086    0.003279    0.001239     0.03047    0.004736         -99       1e+10      0.5105      0.5959   1.745e-05        1.85         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10   0.0008586    0.003189       0.857   2.051e+09      0.6355      0.7415      0.3099           0           0           0           0
95         189.3264465   62.3934822      2.16     0.284        -1      2.16     0.003802   0.0003802    0.000729     8.9e-05    0.000882    0.000118    0.003304    0.001168    0.001723     0.00085     0.01167    0.003539     0.01048     0.00969      0.2284      0.4588   1.745e-05       1.418         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10  -0.0004384    0.003032       0.498   8.355e+09       8.467          17       1.013           0           0           0           0
106        189.3455963   62.3922691     2.051     0.149        -1      2.01     0.002148   0.0002148    0.004711     6.8e-05    0.006457    0.000123    0.008945    0.000876     0.00993     0.00088     0.07562    0.006123   1.903e-10     0.01157       1.622      0.5395    0.000808       1.613       6.822       1.936       8.395        3.76         -99       1e+10   5.194e-42       1e+10       1.038       1.277      0.0461      0.0074       5.206   3.034e+10       115.5       25.83       3.807           0           1          -1           1
107        189.3130188   62.3921814    0.6233      0.14        -1      0.63      0.01047    0.001047    0.009735    0.000118    0.007961     0.00011     0.00913    0.001574     0.01198    0.000814      0.0463    0.004928         -99       1e+10       1.905      0.4609     0.09537       1.214         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10         -99       1e+10    0.003706    0.003103       4.133   4.385e+09       3.232       2.089      0.7371           0           0           0           0
