# id    id_3DHST   SNR_IR   goodArea   z_IR     dL        Mstar           SFR_IR     eSFR_IR    SFR_UV      SFR_UV1400   SFR_UV1700   SFR_total            eSFR_total           
  ""    ""         ""       ""         ""       ""        ""              ""         ""         ""          ""           ""           ""                   ""                   
  ""    ""         ""       ""         ""       ""        ""              ""         ""         ""          ""           ""           ""                   ""                   
  ""    ""         ""       ""         ""       ""        ""              ""         ""         ""          ""           ""           ""                   ""                   
  ""    ""         ""       ""         ""       ""        ""              ""         ""         ""          ""           ""           ""                   ""                   
  ""    ""         ""       ""         ""       ""        ""              ""         ""         ""          ""           ""           ""                   ""                   
  ""    ""         ""       ""         ""       ""        ""              ""         ""         ""          ""           ""           ""                   ""                   
  ""    ""         ""       ""         ""       ""        ""              ""         ""         ""          ""           ""           ""                   ""                   
  ""    ""         ""       ""         ""       ""        ""              ""         ""         ""          ""           ""           ""                   ""                   
  ""    ""         ""       ""         ""       ""        ""              ""         ""         ""          ""           ""           ""                   ""                   
  ""    ""         ""       ""         ""       ""        ""              ""         ""         ""          ""           ""           ""                   ""                   
  ""    ""         ""       ""         ""       ""        ""              ""         ""         ""          ""           ""           ""                   ""                   
  ""    ""         ""       ""         ""       ""        ""              ""         ""         ""          ""           ""           ""                   ""                   
  ""    ""         ""       ""         ""       ""        ""              ""         ""         ""          ""           ""           ""                   ""                   
  ""    ""         ""       ""         ""       ""        ""              ""         ""         ""          ""           ""           ""                   ""                   
  ""    ""         ""       ""         ""       ""        ""              ""         ""         ""          ""           ""           ""                   ""                   
  ""    ""         ""       ""         ""       ""        ""              ""         ""         ""          ""           ""           ""                   ""                   
  ""    ""         ""       ""         ""       ""        ""              ""         ""         ""          ""           ""           ""                   ""                   
  ""    ""         ""       ""         ""       ""        ""              ""         ""         ""          ""           ""           ""                   ""                   
  ""    ""         ""       ""         ""       ""        ""              ""         ""         ""          ""           ""           ""                   ""                   
  ""    ""         ""       ""         ""       ""        ""              ""         ""         ""          ""           ""           ""                   ""                   
  ""    ""         ""       ""         ""       ""        ""              ""         ""         ""          ""           ""           ""                   ""                   
  ""    ""         ""       ""         ""       ""        ""              ""         ""         ""          ""           ""           ""                   ""                   
  ""    ""         ""       ""         ""       ""        ""              ""         ""         ""          ""           ""           ""                   ""                   
  ""    ""         ""       ""         ""       ""        ""              ""         ""         ""          ""           ""           ""                   ""                   
  ""    ""         ""       ""         ""       ""        ""              ""         ""         ""          ""           ""           ""                   ""                   
  ""    ""         ""       ""         ""       ""        ""              ""         ""         ""          ""           ""           ""                   ""                   
  ""    ""         ""       ""         ""       ""        ""              ""         ""         ""          ""           ""           ""                   ""                   
  ""    ""         ""       ""         ""       ""        ""              ""         ""         ""          ""           ""           ""                   ""                   
  ""    ""         ""       ""         ""       ""        ""              ""         ""         ""          ""           ""           ""                   ""                   
  ""    ""         ""       ""         ""       ""        ""              ""         ""         ""          ""           ""           ""                   ""                   
  ""    ""         ""       ""         ""       ""        ""              ""         ""         ""          ""           ""           ""                   ""                   
  ""    ""         ""       ""         ""       ""        ""              ""         ""         ""          ""           ""           ""                   ""                   
