# id    ra            dec          id_3DHST   ra_3DHST     dec_3DHST   z_IR     ez_IR    Mstar           xfAGN      xeAGN      SFR        eSFR       sSFR       SNR_IR   goodArea   m1400                m1700                S1400                   S1700                  
  6     189.3485107   62.4028587   -99        -99          -99         1.035    -1.0     4.3849998E10    7.207      7.207      35.63      4.692      0.8126     7.593    0          -99                  -99                  -99                     -99                    
  18    189.3498535   62.400322    -99        -99          -99         0.9281   0.0899   8.9529999E9     1.088      1.088      3.592      2.167      0.4012     2.058    0          -99                  -99                  -99                     -99                    
  35    189.3342133   62.3983154   -99        -99          -99         0.401    0.0      0.0             0.005515   0.005515   0.5473     0.3317     -99.0      1.65     0          -99                  -99                  -99                     -99                    
  36    189.3627319   62.3979454   -99        -99          -99         0.3567   0.11     3.25100006E9    1.86       1.86       4.322      2.898      1.33       10.5     0          -99                  -99                  -99                     -99                    
  38    189.3673859   62.3982124   -99        -99          -99         3.78     0.43     5.7799997E9     22.41      22.41      350.3      88.75      60.6       3.947    0          -99                  -99                  -99                     -99                    
  44    189.3435364   62.3971863   -99        -99          -99         3.783    0.3505   1.02799995E10   54.86      36.29      226.9      161.0      22.07      1.409    0          -99                  -99                  -99                     -99                    
  48    189.341156    62.3968201   -99        -99          -99         2.26     0.293    4.4870001E10    10.9       10.9       37.65      37.65      0.8391     0.0      0          -99                  -99                  -99                     -99                    
  50    189.309021    62.3967781   -99        -99          -99         1.4      0.216    2.05099991E10   2.401      2.401      15.99      8.825      0.7796     1.812    0          -99                  -99                  -99                     -99                    
  56    189.3330841   62.3961372   -99        -99          -99         2.61     0.1075   1.41900001E10   1.753      1.753      71.48      71.48      5.038      0.0      0          -99                  -99                  -99                     -99                    
  64    189.3278351   62.3952751   -99        -99          -99         1.37     0.213    8.9529999E9     0.8762     0.8762     14.34      9.797      1.602      1.819    0          -99                  -99                  -99                     -99                    
  65    189.3402557   62.395256    -99        -99          -99         2.07     0.276    2.09899991E10   4.181      4.181      17.29      17.29      0.8238     0.0      0          -99                  -99                  -99                     -99                    
  91    189.3629761   62.3935661   -99        -99          -99         0.455    0.09     2.05100006E9    0.0822     0.0822     0.6355     0.7415     0.3099     0.857    0          -99                  -99                  -99                     -99                    
  95    189.3264465   62.3934822   -99        -99          -99         2.16     0.284    8.3549998E9     1.287      1.287      8.467      17.0       1.013      0.498    0          -99                  -99                  -99                     -99                    
  106   189.3455963   62.3922691   -99        -99          -99         2.051    0.149    3.03399997E10   42.08      32.94      115.5      25.83      3.807      5.206    0          -99                  -99                  -99                     -99                    
  107   189.3130188   62.3921814   -99        -99          -99         0.6233   0.14     4.3849999E9     0.2908     0.2908     3.232      2.089      0.7371     4.133    0          -99                  -99                  -99                     -99                    
  112   189.2936859   62.3917084   -99        -99          -99         1.045    0.1798   1.38700001E10   1.726      1.726      11.2       7.219      0.8077     2.837    0          -99                  -99                  -99                     -99                    
  123   189.3483124   62.3914108   -99        -99          -99         2.418    0.2795   1.35500006E9    3.587      3.587      27.69      49.18      20.43      0.563    0          -99                  -99                  -99                     -99                    
  126   189.2962036   62.3910942   -99        -99          -99         1.616    0.033    5.2720001E10    5.77       5.77       21.71      21.71      0.4118     0.0      0          -99                  -99                  -99                     -99                    
  127   189.3196411   62.3907661   -99        -99          -99         0.582    -1.0     1.62900001E11   1.089      1.089      10.52      0.7366     0.06457    14.28    0          -99                  -99                  -99                     -99                    
  130   189.3960114   62.3908005   -99        -99          -99         4.127    0.195    4.6980002E10    75.97      75.97      1085.0     98.47      23.09      11.02    0          -99                  -99                  -99                     -99                    
  132   189.3355255   62.3906975   -99        -99          -99         1.47     0.149    2.96499994E9    2.07       1.926      10.68      356.0      3.603      0.03     0          -99                  -99                  -99                     -99                    
