# id    id_3DHST   SNR_IR   goodArea   z_IR     dL        Mstar           xfAGN      xeAGN      SFR_IR     eSFR_IR    SFR_UV       S1400        S1700        SFR_UV1400   SFR_UV1700   SFR_UV_from_Mstar   SFR_UV_for_noUV_noMstar   SFR_UV_for_AGN   SFR_total   SFR_UV_method   SFR_IR/SFR_total     
  6     -99        7.593    0          1.035    6735.63   4.3849998E10    7.207      7.207      35.63      4.692      0.89755      -99.0        -99.0        -99.0        -99.0        0.89755             -99.0                     -99.0            36.5275     2.0             0.9754294709465471   
  18    -99        2.058    0          0.9281   5878.41   8.9529999E9     1.088      1.088      3.592      2.167      0.83672      -99.0        -99.0        -99.0        -99.0        0.83672             -99.0                     -99.0            4.42872     2.0             0.8110695641178489   
  35    -99        1.65     0          0.401    2102.79   0.0             0.005515   0.005515   0.5473     0.3317     0.0597953    -99.0        -99.0        -99.0        -99.0        -99.0               0.0597953                 -99.0            0.607095    3.0             0.9015063540302588   
  36    -99        10.5     0          0.3567   1829.24   3.25100006E9    1.86       1.86       4.322      2.898      0.964939     -99.0        -99.0        -99.0        -99.0        0.964939            -99.0                     -99.0            5.28694     2.5             0.8174861072756642   
  38    -99        3.947    0          3.78     33200.6   5.7799997E9     22.41      22.41      350.3      88.75      150.571      -99.0        -99.0        -99.0        -99.0        150.571             -99.0                     -99.0            500.871     2.0             0.6993816771184597   
  44    -99        1.409    0          3.783    33232.1   1.02799995E10   54.86      36.29      226.9      161.0      43.5556      -99.0        -99.0        -99.0        -99.0        43.5556             -99.0                     -99.0            270.456     2.0             0.8389534711746087   
  48    -99        0.0      0          2.26     17788.2   4.4870001E10    10.9       10.9       37.65      37.65      0.918389     -99.0        -99.0        -99.0        -99.0        0.918389            -99.0                     -99.0            38.5684     2.0             0.9761877599278166   
  50    -99        1.812    0          1.4      9824.04   2.05099991E10   2.401      2.401      15.99      8.825      1.16707      -99.0        -99.0        -99.0        -99.0        1.16707             -99.0                     -99.0            17.1571     2.0             0.931975683536262    
  56    -99        0.0      0          2.61     21218.0   1.41900001E10   1.753      1.753      71.48      71.48      8.73794      -99.0        -99.0        -99.0        -99.0        8.73794             -99.0                     -99.0            80.2179     2.0             0.8910729400794586   
  64    -99        1.819    0          1.37     9561.97   8.9529999E9     0.8762     0.8762     14.34      9.797      3.34036      -99.0        -99.0        -99.0        -99.0        3.34036             -99.0                     -99.0            17.6804     2.0             0.8110676229044592   
  65    -99        0.0      0          2.07     15965.5   2.09899991E10   4.181      4.181      17.29      17.29      1.22174      -99.0        -99.0        -99.0        -99.0        1.22174             -99.0                     -99.0            18.5117     2.0             0.9340039002360668   
  91    -99        0.857    0          0.455    2448.42   2.05100006E9    0.0822     0.0822     0.6355     0.7415     0.141883     -99.0        -99.0        -99.0        -99.0        0.141883            -99.0                     -99.0            0.777383    2.5             0.817486361291667    
  95    -99        0.498    0          2.16     16825.1   8.3549998E9     1.287      1.287      8.467      17.0       2.17272      -99.0        -99.0        -99.0        -99.0        2.17272             -99.0                     -99.0            10.6397     2.0             0.7957931144675132   
  106   -99        5.206    0          2.051    15784.9   3.03399997E10   42.08      32.94      115.5      25.83      4.87259      -99.0        -99.0        -99.0        -99.0        4.87259             -99.0                     -99.0            120.373     2.0             0.9595174997715434   
  107   -99        4.133    0          0.6233   3592.01   4.3849999E9     0.2908     0.2908     3.232      2.089      2.0451       -99.0        -99.0        -99.0        -99.0        2.0451              -99.0                     -99.0            5.2771      2.0             0.6124575998180819   
  112   -99        2.837    0          1.045    6817.03   1.38700001E10   1.726      1.726      11.2       7.219      1.41355      -99.0        -99.0        -99.0        -99.0        1.41355             -99.0                     -99.0            12.6135     2.0             0.8879375272525468   
  123   -99        0.563    0          2.418    19325.6   1.35500006E9    3.587      3.587      27.69      49.18      6.18213      -99.0        -99.0        -99.0        -99.0        6.18213             -99.0                     -99.0            33.8721     2.5             0.8174869582931085   
  126   -99        0.0      0          1.616    11747.6   5.2720001E10    5.77       5.77       21.71      21.71      0.422566     -99.0        -99.0        -99.0        -99.0        0.422566            -99.0                     -99.0            22.1326     2.0             0.980905993873291    
  127   -99        14.28    0          0.582    3303.03   1.62900001E11   1.089      1.089      10.52      0.7366     0.0422013    -99.0        -99.0        -99.0        -99.0        0.0422013           -99.0                     -99.0            10.5622     2.0             0.9960046202495692   
  130   -99        11.02    0          4.127    36872.2   4.6980002E10    75.97      75.97      1085.0     98.47      24.8171      -99.0        -99.0        -99.0        -99.0        24.8171             -99.0                     -99.0            1109.82     2.0             0.9776360130471609   
  132   -99        0.03     0          1.47     10440.6   2.96499994E9    2.07       1.926      10.68      356.0      2.38444      -99.0        -99.0        -99.0        -99.0        2.38444             -99.0                     -99.0            13.0644     2.5             0.8174887480481309   
  135   -99        1.122    0          1.39     9736.54   6.4860001E9     2.25       2.25       11.4       10.16      4.17001      -99.0        -99.0        -99.0        -99.0        4.17001             -99.0                     -99.0            15.57       2.0             0.7321772639691715   
  142   -99        2.775    0          2.352    18681.1   1.18000005E10   37.21      27.5       71.72      30.32      11.3503      -99.0        -99.0        -99.0        -99.0        11.3503             -99.0                     -99.0            83.0703     2.0             0.8633651256827048   
  145   -99        6.008    0          0.28     1380.69   9.3749996E9     0.1387     0.1387     0.9268     0.1543     0.202407     -99.0        -99.0        -99.0        -99.0        0.202407            -99.0                     -99.0            1.12921     2.0             0.8207507903755722   
  152   -99        8.406    0          0.4677   2531.43   3.5640001E10    1.689      1.689      5.275      3.396      0.177627     -99.0        -99.0        -99.0        -99.0        0.177627            -99.0                     -99.0            5.45263     2.0             0.9674230600645928   
  158   -99        13.43    0          2.006    15358.5   3.25099991E10   10.4       10.4       208.2      31.58      7.97365      -99.0        -99.0        -99.0        -99.0        7.97365             -99.0                     -99.0            216.174     2.0             0.9631130478225873   
  162   -99        77.52    0          1.256    8578.64   4.3849998E10    39.6       18.31      228.6      5.938      5.75863      -99.0        -99.0        -99.0        -99.0        5.75863             -99.0                     -99.0            234.359     2.0             0.9754265891218173   
  169   -99        0.0      0          2.04     15680.5   7.7970002E9     1.221      1.221      13.52      13.52      3.82189      -99.0        -99.0        -99.0        -99.0        3.82189             -99.0                     -99.0            17.3419     2.0             0.7796146904318443   
  175   -99        4.74     0          1.762    13080.5   2.14799995E10   15.88      9.018      44.38      13.27      3.03626      -99.0        -99.0        -99.0        -99.0        3.03626             -99.0                     -99.0            47.4163     2.0             0.9359650584292744   
  179   -99        2.924    0          1.767    13126.5   1.70599997E10   4.618      2.624      51.66      17.67      4.87959      -99.0        -99.0        -99.0        -99.0        4.87959             -99.0                     -99.0            56.5396     2.0             0.9136958874841703   
  180   -99        0.539    0          1.21     8187.81   7.2770003E10    2.159      2.159      9.197      17.06      0.114002     -99.0        -99.0        -99.0        -99.0        0.114002            -99.0                     -99.0            9.311       2.0             0.9877564171410159   
  185   -99        3.544    0          1.501    10715.8   0.0             25.71      25.65      25.7       25.16      2.80786      -99.0        -99.0        -99.0        -99.0        -99.0               2.80786                   2.80786          28.5079     4.0             0.9015044952451776   
  186   38273      2.436    0          1.259    8604.25   1.82799995E10   4.072      2.807      12.97      5.324      3.85346      5.37454E-7   6.86708E-7   3.85346      4.92359      1.11218             -99.0                     -99.0            16.8235     1.0             0.770945403750706    
  207   38265      0.944    0          1.929    14633.3   7.4470001E9     0.5521     0.5521     21.9       23.2       1.71498      8.26976E-8   1.1367E-7    1.71498      2.35729      6.60192             -99.0                     -99.0            23.615      1.0             0.9273766673724327   
  208   -99        1.404    0          1.829    13700.0   8.3549998E9     1.416      1.416      16.57      11.8       4.25204      -99.0        -99.0        -99.0        -99.0        4.25204             -99.0                     -99.0            20.822      2.0             0.7957929113437711   
  213   -99        36.04    0          0.5044   2774.55   3.03399997E10   3.754      3.754      30.33      0.8416     1.27953      -99.0        -99.0        -99.0        -99.0        1.27953             -99.0                     -99.0            31.6095     2.0             0.9595216627912494   
