# id     id_3DHST   SNR_IR   goodArea   z_IR     dL        Mstar           xfAGN     xeAGN     SFR_IR   eSFR_IR   SFR_UV       S1400        S1700        SFR_UV1400   SFR_UV1700   SFR_UV_from_Mstar   SFR_UV_for_noUV_noMstar   SFR_UV_for_AGN   SFR_total   SFR_UV_method   SFR_IR/SFR_total     
  255    38220      10.19    1          1.304    8990.18   1.35499997E11   62.7      20.26     27.63    10.09     3.01872      1.36664E-7   2.05908E-7   1.06973      1.61174      0.143439            -99.0                     3.01872          30.6487     4.0             0.9015064260474343   
  256    38235      12.12    1          2.352    18681.1   5.15199992E11   71.09     71.09     331.9    80.78     6.45336      1.9094E-7    2.31523E-7   6.45336      7.82496      0.265608            -99.0                     -99.0            338.353     1.0             0.9809282022030246   
  374    -99        9.587    1          0.8178   5021.62   3.104E10        4.883     4.883     10.98    1.332     0.448654     -99.0        -99.0        -99.0        -99.0        0.448654            -99.0                     -99.0            11.4287     2.0             0.9607391916840936   
  375    38127      5.291    1          1.199    8094.88   3.5640001E10    1.768     1.768     19.93    8.011     2.52363      3.97669E-7   4.51702E-7   2.52363      2.86653      0.671111            -99.0                     -99.0            22.4536     1.0             0.8876082231802472   
  385    38150      9.685    1          2.458    19717.7   3.8189998E10    63.02     63.02     244.0    69.93     2.96762      7.88152E-8   1.2368E-7    2.96762      4.65689      7.45865             -99.0                     -99.0            246.968     1.0             0.9879822487123838   
  407    38099      19.78    1          1.521    10894.0   7.2770003E10    81.31     81.31     192.8    26.82     1.51686      1.31973E-7   2.13774E-7   1.51686      2.45705      2.38987             -99.0                     -99.0            194.317     1.0             0.9921931688941267   
  438    38093      20.79    1          1.229    8348.81   1.52E10         23.06     23.06     56.99    12.32     0.0351072    5.20073E-9   5.90586E-9   0.0351072    0.0398672    6.32729             -99.0                     -99.0            57.0251     1.0             0.9993844815703962   
  532    37957      19.54    1          0.9746   6248.28   2.89700004E10   4.724     4.724     42.15    2.158     1.497        3.95929E-7   7.24486E-7   1.497        2.73926      1.89701             -99.0                     -99.0            43.647      1.0             0.9657021101106605   
  541    -99        9.502    1          0.801    4893.86   7.6200002E10    1.994     1.994     11.41    1.201     0.132602     -99.0        -99.0        -99.0        -99.0        0.132602            -99.0                     -99.0            11.5426     2.0             0.9885121203195121   
  546    -99        6.574    1          3.23     27482.4   1.02799999E11   78.03     78.03     565.3    183.3     4.32005      -99.0        -99.0        -99.0        -99.0        4.32005             -99.0                     -99.0            569.62      2.0             0.9924159966293318   
  547    -99        9.705    1          2.757    22683.2   5.2720001E10    137.5     137.5     465.6    171.0     9.06249      -99.0        -99.0        -99.0        -99.0        9.06249             -99.0                     -99.0            474.662     2.0             0.9809085201680354   
  548    37960      8.47     1          1.78     13246.4   2.24900006E11   27.76     27.76     118.2    47.97     2.26519      1.33298E-7   2.32184E-7   2.26519      3.94561      0.301879            -99.0                     -99.0            120.465     1.0             0.981197858299091    
  552    37947      12.82    1          0.5045   2775.22   1.12699996E10   1.084     1.084     4.476    0.3491    0.875191     1.17334E-6   1.20304E-6   0.875191     0.897339     0.755434            -99.0                     -99.0            5.35119     1.0             0.8364494626428888   
  564    37963      19.93    1          4.055    36106.7   1.78600002E11   24.52     24.52     1726.0   86.59     86.3577      6.83977E-7   7.9887E-7    86.3577      100.864      6.08705             -99.0                     -99.0            1812.36     1.0             0.9523494228519721   
  598    37899      7.203    1          1.364    9509.71   3.7319999E10    21.89     21.89     33.46    14.55     3.5378       4.03939E-7   5.31782E-7   3.5378       4.65749      1.05635             -99.0                     -99.0            36.9978     1.0             0.9043780981571878   
  620    -99        6.433    1          0.8      4886.28   1.10099999E10   1.031     1.031     7.361    1.144     1.28361      -99.0        -99.0        -99.0        -99.0        1.28361             -99.0                     -99.0            8.64461     2.0             0.8515132550803333   
  621    -99        7.658    1          2.48     19933.9   5.034E10        101.4     101.4     211.6    96.02     4.39377      -99.0        -99.0        -99.0        -99.0        4.39377             -99.0                     -99.0            215.994     2.0             0.9796568423196941   
  658    37901      8.097    1          4.051    36064.2   8.7490003E10    45.04     45.04     840.2    103.8     80.3144      6.37612E-7   6.93123E-7   80.3144      87.3067      8.04713             -99.0                     -99.0            920.514     1.0             0.912750919594922    
  692    37587      20.9     1          0.281    1386.31   1.95899998E11   0.3014    0.3014    2.733    0.1308    0.672554     3.61345E-6   3.75539E-6   0.672554     0.698973     0.00846821          -99.0                     -99.0            3.40555     1.0             0.8025135440677718   
  737    -99        22.55    1          0.585    3323.84   4.9200001E10    1.978     1.978     11.84    0.5251    0.253864     -99.0        -99.0        -99.0        -99.0        0.253864            -99.0                     -99.0            12.0939     2.0             0.9790059451459      
  884    -99        6.777    1          3.53     30584.9   4.6980002E10    54.06     54.06     520.5    76.8      11.9054      -99.0        -99.0        -99.0        -99.0        11.9054             -99.0                     -99.0            532.405     2.0             0.9776392032381365   
  885    37623      7.767    1          0.9032   5682.38   1.445E8         17.16     17.16     13.34    6.675     1.45746      2.54323E-6   2.79039E-6   7.95298      8.72587      2.97832             -99.0                     1.45746          14.7975     4.0             0.9015036323703328   
  893    37647      11.59    1          0.94     5972.6    2.704E10        2.734     2.734     22.91    1.977     0.293727     8.50224E-8   1.18013E-7   0.293727     0.4077       1.13557             -99.0                     -99.0            23.2037     1.0             0.9873425358886728   
  915    -99        9.756    1          2.635    21466.2   3.9080002E10    8.232     8.232     265.0    27.16     7.84349      -99.0        -99.0        -99.0        -99.0        7.84349             -99.0                     -99.0            272.843     2.0             0.9712545309940148   
  939    37615      15.84    1          0.947    6028.16   3.7319999E10    5.846     4.416     37.71    5.719     1.97447      5.61046E-7   6.20508E-7   1.97447      2.18373      1.19052             -99.0                     -99.0            39.6845     1.0             0.95024505789414     
  995    37576      5.317    1          1.306    9007.4    9.1609999E9     1.443     1.443     20.41    3.839     5.45222      6.93889E-7   8.17594E-7   5.45222      6.42422      4.60387             -99.0                     -99.0            25.8622     1.0             0.789182668141148    
  1002   -99        5.433    1          0.948    6036.1    3.17699994E10   2.175     2.175     11.66    2.146     0.461184     -99.0        -99.0        -99.0        -99.0        0.461184            -99.0                     -99.0            12.1212     2.0             0.961950961950962    
  1005   37558      13.2     1          2.608    21198.1   5.152E10        109.5     109.5     274.5    92.66     7.88236      1.81125E-7   3.00601E-7   7.88236      13.0818      5.51793             -99.0                     -99.0            282.382     1.0             0.97208745599932     
  1006   37533      27.66    1          0.946    6020.21   1.26500004E11   5.703     5.703     48.19    2.297     1.38216      3.93776E-7   4.65884E-7   1.38216      1.63525      0.275442            -99.0                     -99.0            49.5722     1.0             0.9721174367891681   
  1008   37525      11.96    1          1.029    6686.88   4.187E10        3.216     3.216     27.67    2.718     1.89855      4.3842E-7    5.22121E-7   1.89855      2.261        0.74361             -99.0                     -99.0            29.5685     1.0             0.9357931582596345   
  1076   37495      5.737    1          1.527    10947.6   6.3379999E9     15.08     15.08     58.95    21.77     5.09023      4.38547E-7   5.53672E-7   5.09023      6.42649      22.2716             -99.0                     -99.0            64.0402     1.0             0.9205155511694217   
  1084   37399      18.34    1          1.144    7633.46   8.165E10        5.146     5.146     60.67    3.308     1.38213      2.44919E-7   4.8936E-7    1.38213      2.76156      0.640082            -99.0                     -99.0            62.0521     1.0             0.9777267812048263   
  1094   37468      7.135    1          3.53     30584.9   1.95900006E10   54.49     54.49     316.3    44.33     107.84       1.19037E-6   1.37323E-6   107.84       124.406      24.6179             -99.0                     -99.0            424.14      1.0             0.7457443297024567   
  1102   37379      8.653    1          0.4724   2562.3    2.45400013E9    1.233     0.7905    2.566    0.2965    1.00877      1.58654E-6   1.69736E-6   1.00877      1.07924      0.572891            -99.0                     -99.0            3.57477     1.0             0.717808418443704    
  1103   37363      11.37    1          1.363    9501.01   2.00399995E10   13.72     13.72     58.82    5.609     10.2297      1.17015E-6   1.37333E-6   10.2297      12.006       4.43474             -99.0                     -99.0            69.0497     1.0             0.8518501890667157   
  1104   37402      7.062    1          0.5948   3392.03   3.388E9         0.398     0.398     5.007    0.8386    0.0604917    5.42867E-8   7.82804E-8   0.0604917    0.0872278    1.11787             -99.0                     -99.0            5.06749     1.0             0.9880631239528839   
  1105   37340      10.28    1          0.9441   6005.13   6.053E10        3.419     3.419     17.0     1.653     0.0785666    2.24962E-8   2.73921E-8   0.0785666    0.0956649    0.272703            -99.0                     -99.0            17.0786     1.0             0.9953977492300304   
  1135   37413      16.31    1          0.131    609.94    467700.0        0.05964   0.05964   0.1933   0.03304   0.00484225   1.34397E-7   1.37283E-7   0.00484225   0.00494622   0.0431566           -99.0                     -99.0            0.198142    1.0             0.9755629800849895   
  1143   37304      13.73    1          0.2804   1382.94   1.00499999E10   0.4798    0.4798    1.241    0.09036   0.12944      6.98845E-7   7.64773E-7   0.12944      0.141652     0.245889            -99.0                     -99.0            1.37044     1.0             0.905548582936867    
  1147   -99        5.071    1          1.26     8612.79   1.38700001E10   15.96     14.8      17.61    7.688     2.22255      -99.0        -99.0        -99.0        -99.0        2.22255             -99.0                     -99.0            19.8326     2.0             0.8879319907626837   
  1148   37378      5.772    1          3.218    27359.2   1.59200002E11   45.36     45.36     476.9    225.9     10.0116      1.38107E-7   1.99633E-7   10.0116      14.4717      1.97564             -99.0                     -99.0            486.912     1.0             0.9794377628811777   
  1150   37307      5.013    1          1.364    9509.71   1.95900006E10   11.58     11.58     26.14    8.171     12.2386      1.39738E-6   1.69297E-6   12.2386      14.8275      2.0345              -99.0                     -99.0            38.3786     1.0             0.6811087428931749   
  1168   -99        8.319    1          1.451    10272.6   0.0             31.98     31.98     176.0    153.9     19.2289      -99.0        -99.0        -99.0        -99.0        -99.0               19.2289                   -99.0            195.229     3.0             0.9015054115935645   
  1284   37219      5.926    1          3.693    32287.3   3.104E10        79.86     79.86     401.4    67.74     5.39019      5.33895E-8   5.96381E-8   5.39019      6.02105      16.4016             -99.0                     -99.0            406.79      1.0             0.9867499201061972   
  1285   37217      8.227    1          0.1965   933.884   7.942E7         0.1307    0.1307    0.2987   0.1592    2.5106E-4    2.9724E-9    8.07035E-9   2.5106E-4    6.81651E-4   0.0666884           -99.0                     -99.0            0.298951    1.0             0.99916039752334     
  1293   37188      8.489    1          0.7939   4840.1    1.35500001E10   2.267     2.267     9.012    1.062     0.25233      1.11218E-7   1.74019E-7   0.25233      0.394809     1.17518             -99.0                     -99.0            9.26433     1.0             0.9727632759195756   
  1338   37064      7.142    1          1.358    9457.51   2.89700004E10   7.713     7.713     33.11    4.68      3.09533      3.5733E-7    4.44847E-7   3.09533      3.85343      1.49015             -99.0                     -99.0            36.2053     1.0             0.9145069920702217   
  1341   37006      10.04    1          1.008    6516.84   1.66700001E10   2.51      2.51      21.13    2.329     2.68414      6.526E-7     7.86351E-7   2.68414      3.23425      2.06153             -99.0                     -99.0            23.8141     1.0             0.887289462965218    
  1368   37108      10.59    1          2.716    22273.2   9.3750002E10    53.5      53.5      224.9    47.5      3.799        7.90719E-8   1.24136E-7   3.799        5.9641       1.95537             -99.0                     -99.0            228.699     1.0             0.983388646211833    
  1369   37076      5.399    1          2.11     16346.7   3.32599992E10   38.04     38.04     76.1     34.9      5.65284      2.18436E-7   3.23426E-7   5.65284      8.36985      2.82289             -99.0                     -99.0            81.7528     1.0             0.9308549676586001   
  1434   36885      8.547    1          0.4852   2646.78   1.05200005E10   1.477     1.477     3.651    0.4384    0.720443     1.06189E-6   1.12493E-6   0.720443     0.763209     0.678562            -99.0                     -99.0            4.37144     1.0             0.8351938949179217   
  1445   36988      18.66    1          2.33     18467.0   2.89699987E11   176.2     64.27     296.7    55.82     0.188361     5.70316E-9   1.1596E-8    0.188361     0.382987     0.531606            -99.0                     -99.0            296.888     1.0             0.9993667645711515   
  1458   36933      9.062    1          1.497    10680.2   1.91399997E10   23.27     21.81     39.43    16.9      3.06956      2.77864E-7   3.56116E-7   3.06956      3.93401      3.17036             -99.0                     -99.0            42.4996     1.0             0.9277734378676505   
  1475   36878      17.71    1          1.766    13117.3   6.053E10        16.8      12.37     140.8    17.76     0.549133     3.29537E-8   4.25644E-8   0.549133     0.709283     2.25862             -99.0                     -99.0            141.349     1.0             0.9961159965758514   
  1490   36876      6.364    1          1.9      14361.6   3.5640001E10    9.746     9.746     146.8    66.24     8.69816      4.3545E-7    5.91944E-7   8.69816      11.8241      4.94326             -99.0                     -99.0            155.498     1.0             0.9440635892423055   
  1491   36819      9.469    1          0.837    5168.55   1.45200005E10   11.35     11.35     17.59    4.188     0.307053     1.18684E-7   2.06135E-7   0.307053     0.533302     2.08215             -99.0                     -99.0            17.8971     1.0             0.9828407954361322   
  1501   36783      11.22    1          1.433    10113.8   1.02799999E11   3.698     3.698     50.26    4.48      5.49116      5.54304E-7   7.61977E-7   5.49116      7.54846      0.384089            -99.0                     -99.0            55.7512     1.0             0.9015052590796252   
  1515   36808      12.57    1          1.195    8061.14   1.38700001E10   1.109     1.109     32.06    2.551     1.59247      2.53043E-7   3.0007E-7    1.59247      1.88843      4.04628             -99.0                     -99.0            33.6525     1.0             0.9526781071242849   
  1533   36709      16.66    1          0.746    4481.07   1.29400003E10   1.411     1.411     17.79    1.068     0.194505     1.00019E-7   2.20351E-7   0.194505     0.42851      2.47439             -99.0                     -99.0            17.9845     1.0             0.9891851316411353   
  1567   36573      7.33     1          0.6338   3666.32   2.05099991E10   0.5686    0.5686    5.054    0.6895    2.92816      2.24932E-6   2.46178E-6   2.92816      3.20475      0.368878            -99.0                     -99.0            7.98216     1.0             0.6331619511510669   
  1592   36567      7.615    1          0.9376   5953.58   1.12699998E11   2.648     2.648     11.68    1.534     1.05796      3.08199E-7   3.33977E-7   1.05796      1.14645      0.0784783           -99.0                     -99.0            12.738      1.0             0.9169414350761501   
  1633   36490      31.11    1          0.32     1610.37   3.80099994E9    0.9896    0.9896    4.046    0.1301    0.268701     1.06989E-6   1.41524E-6   0.268701     0.355438     0.903319            -99.0                     -99.0            4.3147      1.0             0.9377245231418175   
  1648   36582      25.86    1          1.76     13062.0   1.91400002E11   367.7     46.29     140.7    21.25     15.3722      1.37355E-7   2.2535E-7    2.26961      3.7236       0.450376            -99.0                     15.3722          156.072     4.0             0.9015069967707211   
  1651   36593      9.287    1          2.99     25032.0   1.82800007E11   73.39     73.39     346.1    111.2     5.22012      8.60212E-8   1.31264E-7   5.22012      7.96566      1.1815              -99.0                     -99.0            351.32      1.0             0.9851417511100992   
