#       id       zspec       zbest       ubest       chi2_min     S_chi2_min     R_chi2_min
# 
        6      1.03500     1.03500       6.100       13.60925   1.214463e-19       13.60925
        18    -1.00000     0.83820       6.100       5.062613       1.209136       3.853477
        35    -1.00000     0.40100       9.700       4.647555        3.22876       1.418795
        36    -1.00000     0.30670       2.200      0.2958791    0.001082003      0.2947971
        38    -1.00000     3.65094     101.000       17.17195       11.51775       5.654198
        44    -1.00000     3.65085     101.000       33.44342       14.84832        18.5951
        48    -1.00000     2.46538      25.000        1.74192       1.303716      0.4382033
        50    -1.00000     1.18400       6.100       4.346053      0.1288977       4.217155
        56    -1.00000     2.10310      14.500       73.68209       63.56988       10.11221
        64    -1.00000     1.34867       9.700        3.07316      0.9249128       2.148248
        65    -1.00000     2.15289      40.000       1.709038       1.064205      0.6448332
        91    -1.00000     0.38500       9.700      0.6553037    0.001767194      0.6535365
        95    -1.00000     2.10312      35.000       72.64274       72.27857      0.3641713
       106    -1.00000     2.17254      14.500        9.10107       2.097062       7.004008
       107    -1.00000     0.48330     101.000       2.758319     0.01962939        2.73869
       112    -1.00000     1.14550      12.100      0.1340091    0.006123588      0.1278855
       123    -1.00000     2.23265      40.000       11.02158         10.081      0.9405738
       126    -1.00000     1.64870      12.100       17.31503       14.50859       2.806439
       127     0.58200     0.58200       4.900       10.61925      0.1148219       10.50443
       130    -1.00000     3.93220     101.000       18.44546      0.3120604        18.1334
       132    -1.00000     1.32050       9.700       9.450223       3.033016       6.417207
       135    -1.00000     1.60510       9.700       1.382668      0.1625417       1.220127
       142    -1.00000     2.22075      25.000       6.338762       1.143272        5.19549
       145     0.28000     0.28000       2.200       5.267665       3.728792       1.538874
       152    -1.00000     0.35770       3.300      0.2125002   2.736626e-06      0.2124975
       158    -1.00000     1.81444     101.000       10.58274       4.627446       5.955293
       162     1.25600     1.25600     101.000       5.012024      0.1202792       4.891745
       169    -1.00000     1.76640      25.000       46.38459       45.39809      0.9865048
       175    -1.00000     1.78506      12.100       10.10501       2.474708       7.630303
       179    -1.00000     1.79040      25.000       10.07914       2.347105       7.732035
       180    -1.00000     1.18020       6.100       1.723704      0.1172971       1.606407
       185    -1.00000     0.40100       9.700       2.728177              0       2.728177
       186     1.25900     1.25900       9.700       3.029075      0.9232453        2.10583
       207    -1.00000     2.04448      35.000        25.9694        25.2787      0.6906999
       208    -1.00000     1.97570      35.000       7.503029       6.486005       1.017024
       213     0.50440     0.50440     101.000       61.22884     0.07372769       61.15511
       214    -1.00000     2.79320      45.000       14.87167       11.23136       3.640315
       216     0.15900     0.15900       4.900      0.3226678   2.451885e-19      0.3226678
       217    -1.00000     2.55810      45.000       8.095533       3.451044       4.644488
       227    -1.00000     0.91100       6.100       3.180301     0.01928437       3.161017
       239    -1.00000     3.34000      25.000       12.54836       2.791646        9.75671
       242    -1.00000     1.51790       9.700       4.874973       2.482464       2.392509
       245    -1.00000     0.70530       4.900        6.42961      0.1903296        6.23928
       247    -1.00000     0.00100     101.000       7.530135   7.056118e-19       7.530135
       248     1.36300     1.36300      18.000       24.62325       22.80531       1.817943
       254    -1.00000     1.68000     101.000       12.62466       4.337879        8.28678
       255    -1.00000     1.29320      12.100       7.605264       2.353837       5.251426
       256    -1.00000     2.22569      14.500       3.389308       1.647912       1.741396
       257     2.43100     2.43100     101.000       34.58887       25.14084       9.448035
       262    -1.00000     0.32120       2.200        4.53272     0.02247365       4.510247
       264    -1.00000     2.27950     101.000       31.06682       23.81855       7.248266
       270    -1.00000     1.60510       9.700       9.777014       8.019584        1.75743
       277    -1.00000     2.52070      18.000       9.601731       4.199681        5.40205
       288    -1.00000     0.32130       9.700       1.963992     0.03146649       1.932526
       289    -1.00000     3.00060      50.000       8.827331      0.6610553       8.166276
       309    -1.00000     4.10100     101.000       5.937504   1.187994e-20       5.937504
       314    -1.00000     0.40100       4.900       3.244815   2.172528e-19       3.244815
       316    -1.00000     1.97029      35.000       3.591965       1.385785        2.20618
       317    -1.00000     0.32860       3.300       1.412659     0.04957876        1.36308
       330    -1.00000     2.44084     101.000       6.128756       3.629452       2.499305
       337    -1.00000     2.64000      45.000       29.21142       28.77015       0.441272
       339    -1.00000     0.96180       6.100      0.6825247    0.001166218      0.6813585
       340    -1.00000     1.43536       9.700       13.77211       11.66156       2.110551
       343    -1.00000     0.91260       6.100        1.48764      0.1305026       1.357137
       356    -1.00000     1.32070     101.000       7.723357       6.451732       1.271625
       365    -1.00000     1.10380       6.100        1.11803       0.374547      0.7434833
       368    -1.00000     0.87070       6.100       1.147564    0.004732023       1.142832
       371    -1.00000     0.40100       9.700       21.18485   6.344323e-20       21.18485
       374     0.81780     0.81780       6.100       4.379508      0.1038493       4.275658
       375    -1.00000     1.05660       6.100       1.050039      0.7131914      0.3368477
       376    -1.00000     2.55424      30.000      0.6292001    0.009317483      0.6198826
       379    -1.00000     4.33158     101.000       32.32036       14.35161       17.96875
       381    -1.00000     3.74110      30.000       36.26568        13.4179       22.84778
       385    -1.00000     2.37722      25.000       1.968834      0.4039841        1.56485
       390    -1.00000     2.11181      35.000       5.654791      0.3483908         5.3064
       391    -1.00000     2.02120      35.000       1.904556       1.452379      0.4521778
       394    -1.00000     0.90100       6.100       1.324403   1.221018e-18       1.324403
       398    -1.00000     0.92370       6.100       1.683767       1.246954       0.436813
       399    -1.00000     3.00030      50.000       5.933486       2.505864       3.427622
       401     1.25100     1.25100       9.700       10.68686       6.721388       3.965469
       407     1.52100     1.52100      12.100       3.170459      0.6543597       2.516099
       409    -1.00000     0.69970      12.100       14.38038     0.00947839        14.3709
       413    -1.00000     0.70330       4.900       2.461557      0.0392704       2.422287
       414    -1.00000     1.02020     101.000       5.831165       0.344397       5.486768
       416    -1.00000     0.33580       4.900        1.72154     0.02934333       1.692197
       418    -1.00000     1.31360      25.000       6.931324       1.409141       5.522183
       421    -1.00000     1.11904       6.100       4.573331       0.605129       3.968202
       428    -1.00000     1.08390       6.100       1.712477       0.348002       1.364475
       429    -1.00000     0.95650     101.000       4.436704       1.439082       2.997622
       430     1.25300     1.25300      18.000       10.05943       7.088683       2.970747
       431     0.67600     0.67600       9.700       14.75861      0.1168778       14.64173
       432    -1.00000     0.59250       9.700       3.957225      0.5231356       3.434089
       433    -1.00000     0.40100       9.700       1.792833   1.035063e-20       1.792833
       437    -1.00000     2.72190      50.000       12.26191       3.122659       9.139248
       438    -1.00000     1.06570     101.000       3.699163      0.2284415       3.470721
       439    -1.00000     1.61331       9.700       19.35404       8.837186       10.51685
       442    -1.00000     1.18380       9.700      0.9163912   0.0001429264      0.9162483
       449    -1.00000     0.19930       2.200        13.8452   2.778668e-20        13.8452
       450    -1.00000     3.98542     101.000       33.26033       9.939527       23.32081
       451     1.01900     1.01900       6.100        1.51685      0.4307202        1.08613
       468    -1.00000     4.63255     101.000       39.30281       20.23474       19.06808
       481     0.17900     0.17900     101.000       8.540092   3.306216e-18       8.540092
       482    -1.00000     2.00513      25.000       1.164495      0.3003307      0.8641639
       490    -1.00000     1.08920       6.100       5.911547      0.7975885       5.113958
       498    -1.00000     4.26352     101.000       10.20505       4.845927       5.359118
       501    -1.00000     2.10310      18.000       16.45579       9.897906       6.557887
       502    -1.00000     2.11808      14.500       25.31557       23.35237       1.963196
       503    -1.00000     2.26000      25.000       7.160535       6.507113      0.6534223
       505    -1.00000     3.03300      25.000       10.17274       9.473024      0.6997154
       506    -1.00000     0.40100     101.000       2.342798   1.436805e-20       2.342798
       509     0.45200     0.45200       9.700       2.093677      0.5546994       1.538978
       510     0.67980     0.67980       6.100       4.999175     0.01475684       4.984419
       512    -1.00000     0.94740       9.700        4.29216       1.909496       2.382664
       516    -1.00000     0.10100       2.200       26.77311              0       26.77311
       521     1.03700     1.03700       6.100       3.795596       1.007807        2.78779
       530     0.64000     0.64000       4.900        2.16835      0.2353685       1.932981
       532     0.97460     0.97460       6.100         1.3722      0.1547523       1.217447
       533     1.03000     1.03000     101.000       8.517279       1.017263       7.500016
       540    -1.00000     2.03690      35.000       2.989224      0.4558003       2.533423
       541     0.80100     0.80100       4.900       0.827082      0.6154989      0.2115831
       546    -1.00000     3.39270      50.000       11.51188       8.905745       2.606131
       547    -1.00000     2.83776      40.000       2.788649        1.31407       1.474579
       548    -1.00000     1.93012      25.000       2.060858     0.08566442       1.975194
       550    -1.00000     0.92920       6.100       14.23086       12.41904       1.811826
       552     0.50450     0.50450       9.700     0.02074821    0.005402665     0.01534554
       554     0.68000     0.68000       4.900       2.268985    0.004649793       2.264335
       559    -1.00000     1.44306       9.700      0.4139199    0.001232459      0.4126874
       561    -1.00000     1.43302       9.700       5.756499      0.9886354       4.767863
       562    -1.00000     2.65820      50.000       12.02229       3.921505       8.100788
       564     4.05100     4.05100     101.000       28.18321       17.71941        10.4638
       581    -1.00000     1.18526       6.100       2.437048     0.08171272       2.355335
       593    -1.00000     1.62640      12.100       9.794637       1.418452       8.376185
       597    -1.00000     2.42760     101.000       36.38725       30.87172       5.515533
       598     1.36400     1.36400       9.700       2.046168      0.6484303       1.397737
       604    -1.00000     0.43780     101.000       1.349629   3.746317e-18       1.349629
       606     1.00800     1.00800       6.100       3.264947      0.3697804       2.895167
       620     0.80000     0.80000       4.900      0.2226732     0.06353392      0.1591393
       621    -1.00000     2.19812      40.000       2.590073      0.4011415       2.188932
       622    -1.00000     1.14127     101.000       4.323683      0.4443921       3.879291
       628     1.25500     1.25500       9.700       4.361049       1.386972       2.974077
       631    -1.00000     1.60510     101.000       10.38068       1.955092       8.425589
