#      Type_AGN        SAVEDid          radio         eradio          xfRad           xeRad
#
              0              6          11.49          3.202        0.02236        0.00101
              0             18        -0.4365          3.186       0.003068       0.001775
              0             35          2.793          3.066        0.00279      0.0008465
              0             36          17.18          3.181        0.02083        0.00308
              0             38          12.92           3.22        0.01963       0.000225
              0             44          2.416          3.187        0.01292       0.000555
              0             48          4.285           3.18       0.004281       0.003079
              0             50         0.6058            3.1       0.004948       0.001372
              0             56          7.701          3.145       0.007923       0.001125
              0             64          3.532          3.068        0.00467       0.002464
              0             65        -0.4437          3.058       0.002349       0.001321
              0             91         0.8586          3.189       0.002575       0.001509
              0             95        -0.4384          3.032       0.001066      0.0005318
              1            106           46.1            7.4        0.01766       0.003205
              0            107          3.706          3.103       0.005873       0.001805
              0            112          7.197          3.186       0.006364        0.00244
              0            123        -0.4518          2.997       0.002872       0.001328
              0            126          7.244          3.123       0.005562       0.003068
              0            127          18.61          3.128         0.0217       0.000495
              0            130          9.296          3.198        0.05276       0.001525
              0            132         -0.398          3.031       0.003063       0.001211
              0            135          1.483          3.041       0.003397       0.002284
              0            142          5.694          3.131        0.00852       0.003431
              0            145          5.104          3.065       0.009045      0.0003795
              0            152          4.315          3.197        0.01509        0.00255
              0            158           42.3           11.2        0.03297       0.002165
              0            162          176.4           13.9         0.1092        0.00285
              0            169        -0.4582          2.994       0.001995      0.0008765
              0            175           6.08           3.04       0.009565       0.003175
              0            179          2.385          3.008        0.01098       0.000585
              0            180          5.091          3.138       0.003848       0.002301
              0            185        -0.3867          3.062        0.00405       0.002203
              0            186          5.541          3.357       0.005719       0.002281
              0            207          2.747          3.057       0.003889       0.001198
              0            208          2.946           2.99       0.003664       0.001659
              0            213          132.6            7.5        0.09994        0.00206
              0            214          4.735           3.05       0.006837       0.003662
              0            216          4.557          3.145        0.01029       0.002222
              0            217          5.672          3.078       0.008258       0.004112
              0            227          3.287          3.074       0.002951       0.002006
              0            239         0.8037          3.305       0.005754       0.003538
              0            242          1.421          3.075       0.003917        0.00201
              0            245          4.777          3.128       0.003917       0.001411
              0            247          1.061          3.261        0.00106      0.0004041
              0            248          2.874          3.047       0.005194       0.002976
              0            254           11.9           3.03       0.006129       0.002539
              1            255          703.9           22.1        0.01153       0.003768
              0            256          28.36          2.999        0.04138       0.004875
              0            257          27.71          3.129        0.02584       0.002695
              0            262        -0.4211          3.015       0.003376       0.001267
              0            264          7.078           3.02       0.007974       0.003317
              0            270          6.029          3.023       0.004953       0.003185
              0            277          7.733          3.023       0.007374       0.005466
              0            288          6.167          3.051       0.005942       0.001865
              0            289          8.312          3.075        0.02789       0.002195
              0            309          9.406          3.054        0.01347        0.00216
              0            314          1.911          3.003       0.003024       0.001135
              0            316         -0.386          3.093       0.003072       0.001097
              0            317          4.734          2.981       0.007277       0.001491
              0            330          7.637           2.97       0.005952       0.004378
              0            337        -0.4011          3.011       0.002015       0.001338
              0            339          2.008          2.997        0.00173       0.001043
              0            340          1.178          3.255       0.003261       0.001909
              0            343          3.843          3.039        0.00528        0.00246
              0            356          8.599          2.975        0.01091       0.003467
              0            365         0.6988          2.964       0.002392        0.00137
              0            368          1.232          2.984       0.002385       0.001117
              0            371           9.29          2.994       0.001724       0.001724
              0            374          6.738          2.982        0.01133       0.001373
              0            375          5.567          3.161       0.009497       0.001353
              0            376           59.8            7.6         0.0357       0.003745
              0            379       -0.08611          3.245         0.0125        0.00074
              0            381          3.189          3.001        0.01395       0.000985
              0            385           19.7            3.6        0.02719       0.002555
              0            390        -0.3203          3.229      0.0004256      0.0004255
              0            391        -0.4015          2.965       0.002047       0.001299
              0            394          2.571          2.915       0.004429       0.002574
              0            398          1.545              3       0.001397      0.0009754
              0            399          10.12          2.964       0.009626       0.002485
              0            401         0.4396          3.194       0.003904       0.001285
              0            407           51.2            7.3         0.0568        0.00844
              0            409           19.1            3.7       0.007659       0.003181
              0            413          2.359          2.965         0.0035       0.000924
              0            414            3.2          2.987       0.006007       0.001616
              0            416          1.451          3.031       0.003244       0.001557
              0            418          2.398          3.165       0.003804       0.001424
              0            421        -0.3218          3.165       0.003106       0.001526
              0            428          1.424          2.872       0.002324       0.001445
              0            429         0.6211          2.892       0.002953       0.002224
              0            430          4.327          3.313       0.003207       0.000668
              0            431          10.52          2.985       0.004198         0.0011
              0            432          1.032          3.046       0.003383       0.002252
              0            433        -0.4211          3.064       0.002401       0.001162
              0            437          5.388              3       0.005267       0.002506
              0            438          18.24          2.991        0.02907       0.002345
              0            439          1.423          3.045       0.007884       0.000566
              0            442          9.378          2.962        0.01877       0.003695
              0            449          5.351          2.974        0.01674       0.000465
              0            450          2.485          2.978        0.01333        0.00123
              0            451      -0.007495          2.984       0.001922      0.0007605
              0            468          1.957          3.006        0.01366        0.00043
              0            481          5.889          3.124       0.003279       0.002287
              0            482          4.201          3.082        0.00327       0.002575
              0            490           8.53          2.988       0.003319       0.001748
              0            498          10.39          2.973        0.01588        0.00085
              0            501          0.714          3.032       0.004202       0.003547
              0            502          5.614          2.932       0.002752       0.002276
              0            503          4.003          3.314       0.002397       0.001892
              0            505           6.44          3.041       0.005618       0.003442
              0            506        0.08962          2.885       0.001971      0.0009816
              0            509          6.639           3.04       0.004665       0.002483
              0            510           34.7            3.6        0.02978       0.001775
              0            512          2.584          2.948       0.005875       0.001612
              0            516           34.6            8.3         0.0148        0.01463
              0            521          5.454          2.926       0.005997       0.001098
              0            530          1.332          3.289       0.005205       0.002172
              0            532             30            7.1        0.03001       0.001265
              0            533         0.8673          2.951       0.003186       0.002425
              0            540          3.924          3.079       0.005553       0.003714
              0            541          11.55          2.919        0.01239       0.000495
              0            546           49.5           10.1        0.03312        0.00978
              0            547           35.4            6.8        0.03784        0.01346
              0            548           34.5            3.6        0.02326       0.004655
              0            550          2.705          3.051       0.002822      0.0009545
              0            552           18.8            3.4        0.01311       0.000905
              0            554           5.37          2.905       0.006773       0.000407
              0            559             23            3.4        0.02201        0.00351
              0            561          2.823          3.016       0.003657       0.002358
              0            562           2.76          2.994       0.003645       0.002585
              0            564           63.1            6.9        0.08585       0.000915
              0            581          3.334          2.989       0.003007        0.00209
              0            593          19.37          3.101        0.02039       0.003275
              0            597          8.145          2.898       0.004646        0.00365
              0            598          15.02          2.982        0.01254        0.00492
              0            604          9.107          3.224       0.007184       0.003567
              0            606            2.2          2.873       0.003609       0.000816
              0            620          7.954           2.88       0.008086        0.00049
              0            621           33.6            9.3        0.01877       0.004195
              0            622           3.68            2.9       0.004175       0.002689
              0            628          2.167          2.921       0.004243       0.001219
              0            631          12.46          2.956        0.01076       0.001738
              0            637           9.11          3.039       0.008327       0.000715
              0            638           42.8            8.4         0.0307       0.000575
              0            652          1.154          2.916       0.006557       0.001471
              1            658          172.9              9        0.03907       0.005035
              0            659          11.81          2.971        0.03408       0.004595
              0            661          1.741          2.892       0.002501         0.0017
              0            664          2.607          3.032         0.0028       0.002012
              0            669             34            6.7        0.02398       0.001215
              1            672          14.84          2.955       0.004326      0.0003225
              0            689          7.315          3.184       0.005233       0.003242
              0            692           36.8            6.8         0.0258        0.00025
              0            697           2.24          2.883        0.01165       0.001175
              0            702         0.8757          2.897       0.003057       0.002147
              0            710          3.402          2.976       0.001951       0.001364
              0            713          1.269          2.975       0.002984       0.001084
              0            714          10.61           2.86        0.01478        0.00058
              0            718          3.125          2.989       0.005348       0.002441
              0            719        -0.3481          2.915       0.002145       0.001605
              0            721          4.346          2.849       0.002624       0.001047
              0            729          2.823          2.878       0.003484       0.000545
              0            737           45.1            3.5        0.02593       0.001525
              0            740         0.1986          2.995       0.003729       0.001568
              0            748          3.338          3.105       0.001908       0.000929
              0            749          11.44          3.068       0.004328       0.000875
              0            753        -0.3587          2.895       0.001864      0.0009918
              0            760          5.129          2.957       0.004953       0.001878
              0            762          10.66          2.999       0.008674       0.001586
              0            768          1.629          2.885       0.001836       0.001313
              0            776          3.658          2.919       0.003462       0.001088
              1            779           46.3            6.4       0.009212      0.0005935
              0            786          2.089          2.955       0.001967       0.001083
              0            793          8.093          2.959        0.00926      0.0009605
              0            804          3.642              3       0.004358       0.003241
              0            805          4.288          2.955       0.007137       0.003123
              0            807          14.97          3.048        0.02426       0.008965
              0            808          18.14          2.831        0.01134       0.001383
              0            809          1.658          2.866       0.002321      0.0007065
