#        cooFIR         snrFIR             id         snr100         snr160         snr250         snr350         snr500         snr1160
#
              1         7.5934              6        3.34284        1.09699        5.68461        3.03357        1.94018            -99
              0         2.0579             18      0.0852375        2.05613            -99            -99            -99            -99
              0        1.64986             35        1.64986            -99            -99            -99            -99            -99
              1        10.5017             36        8.55025        5.38933        2.85215            -99            -99            -99
              0        3.94685             38    2.33669e-05        1.05979        2.72846        1.70001         1.9118       0.681889
              0        1.40879             44        1.40729    8.30763e-06    1.64037e-07    6.44886e-08       0.065041    1.63391e-10
              0    2.28447e-05             48     2.2081e-05    5.85758e-06            -99            -99            -99            -99
              0        1.81199             50        1.81199    1.35745e-05            -99            -99            -99            -99
              0    1.33641e-05             56            -99    1.33641e-05            -99            -99            -99            -99
              0        1.81919             64       0.684699        1.68542            -99            -99            -99            -99
              0    3.83023e-05             65    3.66836e-05    1.10174e-05            -99            -99            -99            -99
              0       0.856656             91       0.856656     9.4297e-06            -99            -99            -99            -99
              0       0.497811             95       0.497811    1.23012e-05            -99            -99            -99            -99
              1        5.20608            106        3.00693    0.000501091        3.52349         2.2329            -99        0.81293
              0        4.13323            107        4.13248      0.0785367            -99            -99            -99            -99
              0        2.83713            112        2.24762        1.73133            -99            -99            -99            -99
              0       0.562856            123       0.562856    6.33024e-06            -99            -99            -99            -99
              0    3.35647e-05            126    3.18885e-05    1.04744e-05            -99            -99            -99            -99
              1        14.2808            127        9.58383        6.42143        8.08479        2.34374            -99            -99
              1        11.0194            130    1.97415e-05       0.811583        3.25323        4.49164        9.48737    1.56871e-10
              0      0.0295221            132      0.0295221    1.27948e-05            -99            -99            -99            -99
              0        1.12164            135        1.12164    1.19596e-05            -99            -99            -99            -99
              0        2.77531            142        1.51099    9.76804e-06         2.2693       0.519161            -99    2.16235e-10
              1        6.00781            145         4.3758        3.75439        1.68839            -99            -99            -99
              1        8.40607            152        6.99207        3.38067         2.9921        1.17957            -99            -99
              1        13.4256            158        9.79386        6.29953         5.9415        2.56775            -99        1.65774
              1         77.515            162         72.289        24.5673        12.3134        4.73285        2.30122    2.01987e-10
              0    2.72024e-05            169    2.72024e-05            -99            -99            -99            -99            -99
              0        4.74041            175        2.51258       0.694163        3.76073        1.23833            -99            -99
              0        2.92375            179        2.22651        1.89498            -99            -99            -99            -99
              0       0.539489            180      0.0823796       0.533163            -99            -99            -99            -99
              0        3.54379            185        3.25434        1.40276            -99            -99            -99            -99
              0        2.43575            186        1.98708        1.40869            -99            -99            -99            -99
              0       0.944323            207       0.732972       0.595398            -99            -99            -99            -99
              0        1.40411            208        1.40411    1.29648e-05            -99            -99            -99            -99
              1        36.0369            213        32.2823        12.9121        8.10314        2.79753        3.95355       0.820037
              0        1.88799            214        1.70509      0.0564568    3.35205e-05    3.02722e-08            -99       0.808701
              1        6.16333            216        5.53217        2.66187       0.544253            -99            -99            -99
              0        3.16694            217        1.86693        1.59647       0.964146        1.11239            -99        1.35216
              0        2.14373            227     2.8239e-05        2.14373            -99            -99            -99            -99
              0        3.22092            239    4.18602e-05    1.59283e-05            -99            -99            -99        3.22092
              0    2.70444e-05            242    2.48889e-05    1.05802e-05            -99            -99            -99            -99
              0        2.49178            245       0.550739        2.43016            -99            -99            -99            -99
              0    4.63816e-05            247    4.63816e-05            -99            -99            -99            -99            -99
              0        2.76728            248        2.33834        1.47986            -99            -99            -99            -99
              0    3.66226e-05            254    3.54899e-05    9.03778e-06            -99            -99            -99            -99
              1         10.193            255        8.66557        5.36707              0            -99            -99            -99
              1        12.1223            256         6.5241        7.42384        4.72123        2.06966        4.64184         1.0733
              1        15.9658            257        12.5249        7.43015          6.105        2.35701            -99    2.12322e-10
              0        1.37597            262       0.054871        1.37487            -99            -99            -99            -99
              0        4.15263            264        3.36743      0.0636595        2.42913            -99            -99            -99
              0        1.14408            270        1.14408    8.56372e-06            -99            -99            -99            -99
              0        2.19853            277        1.51022      0.0405803        1.19742        1.05704            -99            -99
              0        4.46634            288         4.4569       0.290286            -99            -99            -99            -99
              1        5.57064            289        2.24568        0.47533        4.65281        1.94736       0.567563    2.09482e-10
              0        1.33107            309    2.24504e-05    7.44667e-06       0.676679        0.91031       0.696546    1.72934e-10
              0        1.48876            314    3.02947e-05        1.48876            -99            -99            -99            -99
              0        1.30791            316    2.99964e-05        1.30791            -99            -99            -99            -99
              0        4.77511            317        4.48416        1.64133            -99            -99            -99            -99
              0        1.14539            330      0.0433063       0.990718       0.573157            -99            -99            -99
              0       0.591107            337       0.591107    1.87031e-05            -99            -99            -99            -99
              0       0.390302            339      0.0128564        0.39009            -99            -99            -99            -99
              0        1.76942            340       0.756211        1.59969            -99            -99            -99            -99
              0         2.2418            343        1.50777          1.659            -99            -99            -99            -99
              1        6.76927            356        5.70121        3.56122       0.798105    6.42682e-08            -99            -99
              0       0.961339            365       0.385315       0.880741            -99            -99            -99            -99
              0    2.87216e-05            368    2.70687e-05    9.60292e-06            -99            -99            -99            -99
              0        1.92716            371    3.07608e-05       0.474281        1.58225       0.476844    8.29633e-08       0.870678
              1        9.58695            374        6.52877        5.44151        4.28333         1.1523            -99            -99
              1        5.29052            375        3.45774        3.21175         2.3913            -99            -99            -99
              1        8.44032            376        2.50956        3.17325        5.71174        4.05796        2.33285       0.581649
              0        1.12512            379    4.52144e-05    1.18264e-05        1.03313     5.6362e-08       0.445581    1.86654e-10
              0        3.08406            381        1.58695       0.379534        1.92352        1.68716      0.0789534       0.544329
              1        9.68543            385        3.79795        2.87937        6.06659        4.88128        2.87955        1.47313
              0    2.23316e-05            390    2.13326e-05    6.60442e-06            -99            -99            -99            -99
              0       0.536534            391       0.536534            -99            -99            -99            -99            -99
              0        2.50221            394        1.72364        1.81388            -99            -99            -99            -99
              0       0.444078            398       0.444078    2.58709e-05            -99            -99            -99            -99
              0        3.50357            399        2.22786        1.49267        1.75081        1.42066    6.70423e-08    3.18781e-10
              0       0.851864            401    3.35236e-05       0.851864            -99            -99            -99            -99
              1        19.7837            407        14.5158        7.41162        9.89045        5.16545      0.0584783        1.11621
              0        2.03433            409        1.55678        1.30956            -99            -99            -99            -99
              0        3.16095            413        1.39275        2.36073        1.57444            -99            -99            -99
              0        2.47117            414        2.46456       0.180629            -99            -99            -99            -99
              0        1.37075            416       0.652391        1.20554            -99            -99            -99            -99
              0        2.37998            418        2.28399       0.669078            -99            -99            -99            -99
              0       0.418283            421    2.81128e-05       0.418283            -99            -99            -99            -99
              0        1.42273            428    3.28468e-05        1.42273            -99            -99            -99            -99
              0        2.32685            429        2.32685    1.43564e-05            -99            -99            -99            -99
              0        2.16868            430        2.14231       0.337132            -99            -99            -99            -99
              0        2.61483            431        2.47776       0.835486            -99            -99            -99            -99
              0        2.60537            432        2.60475      0.0565479            -99            -99            -99            -99
              0        1.53332            433        1.48531       0.380704            -99            -99            -99    2.79242e-10
