#      Type_SED        SAVEDid          lgSFR          msSFR          xfSFR          xeSFR           MassX
#
             -1              6        1.55182        1.60816          35.63          1.615          10.88
              0             18       0.555336       0.997754          3.592          2.167          10.19
              0             35      -0.261775       -85.6419         0.5473         0.1269            -99
              0             36       0.635685        0.23452          4.322          2.898           9.75
              1             38        2.54444        1.62683          350.3          72.47             10
              1             44        2.35583         1.8245          226.9          40.61          10.25
              0             48        1.57576        2.11606          37.65          28.27          10.89
              0             50        1.20385         1.5415          15.99          8.454          10.55
             -1             56        1.85418        1.79865          71.48          15.53          10.39
              0             64        1.15655        1.24278          14.34          9.797          10.19
              0             65        1.23779        1.80329          17.29           10.4          10.56
              0             91      -0.196884       0.155695         0.6355         0.4486           9.55
              0             95        0.92773        1.51291          8.467          4.709          10.16
             -1            106        2.06258        1.92405          115.5          25.83          10.72
              0            107       0.509471       0.544835          3.232          2.089           9.88
              0            112        1.04922        1.21906           11.2          7.219          10.38
              0            123        1.44232        0.95303          27.69          14.62           9.37
              0            126        1.33666        1.96056          21.71          11.71          10.96
             -1            127        1.02202        1.75448          10.52         0.2395          11.45
              1            130        3.03543        2.36189           1085          93.73          10.91
              0            132        1.02857       0.910259          10.68           5.95           9.71
              0            135         1.0569        1.14176           11.4          9.091          10.05
              0            142        1.85564        1.68043          71.72          30.32          10.31
             -1            145      -0.033014         0.5342         0.9268        0.03588          10.21
              0            152       0.722222        1.14531          5.275          3.396          10.79
              1            158        2.31848        1.93407          208.2          31.58          10.75
              1            162        2.35908        1.73084          228.6          5.938          10.88
              0            169        1.13098        1.45465          13.52          6.063          10.13
             -1            175        1.64719        1.70926          44.38          13.27          10.57
             -1            179        1.71315         1.6321          51.66           2.99          10.47
              0            180       0.963646        1.88045          9.197          6.805           11.1
              0            185        1.40993       -84.9568           25.7          25.16            -99
              0            186        1.11294         1.4322          12.97          4.951           10.5
             -1            207        1.34044        1.40398           21.9          5.805          10.11
              0            208        1.21932        1.40952          16.57           5.54          10.16
              1            213        1.48187        1.11866          30.33         0.6235          10.72
              0            214         1.9429        2.29426          87.68          50.77             11
              0            216      -0.535212      -0.722756         0.2916         0.0359           8.75
              0            217         1.9589        2.82584          90.97          44.66          11.69
              0            227       0.518382       0.621977          3.299          2.147           9.72
              0            239        1.97243        2.24662          93.85          59.89          10.84
              0            242        1.05918        1.48188          11.46          7.995          10.53
              0            245       0.463893       0.495667           2.91          1.219           9.69
              0            247       -2.32367       -1.64181       0.004746       0.004745          7.718
              0            248        1.11893        1.25519          13.15          7.095          10.21
              0            254        1.32284       0.978974          21.03          9.099           9.78
              0            255        1.44138        2.14246          27.63          10.09          11.37
             -1            256        2.52101        2.97603          331.9          80.78          11.95
              1            257         2.4138        1.86443          259.3           29.8          10.52
              0            262       -0.15391      -0.600499         0.7016         0.4225          8.678
              0            264        1.91222        1.89824           81.7          34.48          10.54
              0            270        1.19117       0.988503          15.53          11.72           9.85
              0            277        1.77728        1.61064          59.88          47.21          10.26
              0            288       0.118926       0.555204          1.315         0.8448          10.11
              0            289        2.62992        2.32197          426.5          136.5          10.96
              0            309        2.56855       -84.4545          370.3          228.3            -99
              0            314      -0.184954       -85.6419         0.6532         0.2536            -99
              0            316        1.24329         2.2479          17.51          6.244          11.15
              0            317       0.176381        1.07401          1.501         0.6874          10.79
              0            330        1.72713        1.52108          53.35          43.75           10.1
              0            337        1.44623        1.49194          27.94          19.91          9.928
              0            339       0.410271       0.906488          2.572          1.813          10.04
              0            340        1.00432        1.28927           10.1          6.382          10.21
              0            343       0.825491        1.09672          6.691          3.565          10.36
              0            356        1.40346       0.814418          25.32           9.18          9.718
              0            365       0.743039       0.895644          5.534          4.068          9.878
              0            368       0.327972       0.263407          2.128          1.274            9.4
              0            371      -0.495393       -85.8089         0.3196         0.3196            -99
             -1            374         1.0406        1.35281          10.98          1.332          10.73
              0            375        1.29951        1.62966          19.93          8.011          10.79
              0            376        2.65321        2.64277            450          171.3          11.41
              1            379        2.42423        1.82888          265.6          39.58          10.23
             -1            381        2.52244        3.17845            333          67.26          11.95
              0            385        2.38739        2.10735            244          69.93          10.82
              0            390       0.429591        1.10465          2.689          2.689          9.718
              0            391        1.26858        1.64117          18.56           12.9          10.27
              0            394        1.16107       -85.1587          14.49          14.05            -99
              0            398       0.210586       0.518834          1.624          1.142           9.54
             -1            399        2.07809        2.06904          119.7          22.82          10.67
              0            401       0.942107       0.675967          8.752          2.722          9.548
              0            407        2.28511          2.031          192.8          26.82           11.1
              0            409       0.773348       0.662417          5.934          3.354          9.968
              0            413       0.329601       0.497435          2.136          1.254           9.82
              0            414        1.01115        1.41238          10.26          4.284          10.57
              0            416      -0.101056      -0.594428         0.7924         0.5469           8.64
              0            418       0.973866         1.5597          9.416          4.496          10.64
              0            421        0.90886       0.875626          8.107           5.57          9.808
              0            428       0.773128       0.773758          5.931          4.388           9.66
              0            429       0.756484       0.937675          5.708          4.722           9.95
             -1            430       0.856366        1.14469          7.184           1.32          10.14
             -1            431       0.410946       0.518325          2.576         0.6263          9.798
              0            432        0.50188       0.312451          3.176          2.247          9.478
              0            433      -0.481091       -85.8089         0.3303         0.3303            -99
              0            437         1.8275        2.48016          67.22          32.55           11.2
              1            438         1.7558        1.35333          56.99          12.32          10.42
             -1            439        1.47958        2.01303          30.17          2.333          11.04
              0            442         1.6193        1.71092          41.62          20.11          10.91
             -1            449      -0.108072       0.670189         0.7797         0.1019          10.48
              1            450        2.45454        2.03458          284.8          45.95          10.49
