#        ralist          delist     bdlist     cklist       Xmlist
#
    189.3134795      62.3515370        350          2     0.543494
    189.3149428      62.3511307        250          2       2.4037
    189.3124670      62.3507235        250          2      2.18864
    189.3076806      62.3502620        350          2       2.2892
    189.3057514      62.3498148        250          2      2.89099
    189.3104657      62.3494607        250          2      2.89533
    189.3104657      62.3494607        350          2      2.33058
    
    189.4733092      62.3006708        250          2      2.65772
    189.4733092      62.3006708        350          2      2.05949
    189.4745153      62.3005709        250          2      1.01043
    
    189.0786569      62.2612611        500          2      2.88808
    189.0798867      62.2608795        350          2      1.09468
    
    189.3167184      62.3694417        160          1        6.646
    189.2961770      62.3667552         16          1     -1.58054
    189.3245662      62.3666971         16          1     0.688452
    189.3009514      62.3663909        350          1     0.784321
    189.2928721      62.3634139        100          1      5.24948
    189.3202096      62.3562269        500          1     0.774288
    189.3510732      62.3535077        250          1     0.619232
    189.2925953      62.3534192        500          1     0.793637
    189.3104041      62.3519820        350          1       1.0453
    189.3119306      62.3518264        350          1     0.583366
    189.3101605      62.3515158        350          1      1.32334
    189.3160731      62.3512294        250          1      2.74844
    189.3073241      62.3509958        350          1      1.63186
    189.3033022      62.3494731        250          1      2.10768
    189.3044989      62.3494034        250          1      2.22649
    189.3069386      62.3489311        250          1      2.88011
    189.3696435      62.3480898        250          1      0.91821
    189.3094313      62.3478277        350          1      1.42791
    189.3114149      62.3467345        250          1     0.839151
    189.3122046      62.3442241        250          1      1.21215
    189.3168670      62.3437241        250          1     0.807825
    189.2597690      62.3437147        250          1      1.42746
    189.3305736      62.3413825         16          1     0.648068
    189.2994127      62.3409734         16          1      -1.1598
    189.3544966      62.3382773        100          1      6.72968
    189.2420341      62.3373800        250          1      1.28934
    189.2079434      62.3342085        250          1      1.29291
    189.3083197      62.3257513        350          1     0.358225
    189.2060359      62.3249655         16          1      -1.1819
    189.3633692      62.3231362        250          1      1.83852
    189.3702236      62.3225147        250          1      2.76413
    189.3452637      62.3213570        250          1      1.14864
    189.2059735      62.3201553        100          1      7.86985
    189.2202522      62.3173779        100          1      6.99292
    189.1886029      62.3163990        160          1      6.38089
    189.1840139      62.3150416        500          1      2.22576
    189.1834311      62.3145808        500          1      1.10483
    189.1928756      62.3145426        250          1     0.967032
    189.1851876      62.3131592        500          1      2.19746
    189.4508195      62.3129276        250          1      1.30319
    189.1951749      62.3128941        500          1      3.09029
    189.2733086      62.3128187         16          1    -0.960333
    189.1763136      62.3111105        500          1       3.2902
    189.1816470      62.3107462        500          1      0.78846
    189.1652523      62.3106586        350          1      0.64986
    189.1853774      62.3103822        500          1      3.21525
    189.3452835      62.3097304        250          1      2.88806
    189.1733138      62.3094272        500          1      1.63089
    189.1662083      62.3091166        350          1     0.946832
    189.2898567      62.3088621         16          1    -0.152906
    189.3808170      62.3079285        250          1      2.41888
    189.1736369      62.3071258        500          1      2.27988
    189.1752906      62.3067804        500          1      2.79803
    189.1736657      62.3067623        500          1      3.47814
    189.1705655      62.3067546        500          1      1.32438
    189.1736093      62.3064762        500          1     0.830855
    189.1742206      62.3059537        500          1      2.67129
    189.3677927      62.3059346         16          1     -1.38814
    189.1736962      62.3049793        500          1      1.30675
    189.3862966      62.3015708        250          1      1.57641
    189.3998934      62.3008915        160          1      5.93847
    189.4546739      62.2995309        500          1      2.51689
    189.4699612      62.2992867        250          1      1.90096
    189.2998466      62.2991197        160          1      4.43505
    189.4738625      62.2988487        250          1      2.61387
    189.4714606      62.2986227        250          1      2.20921
    189.2062832      62.2958264        100          1       6.0538
    189.3620622      62.2950649        160          1      7.15332
    189.4454306      62.2931239        160          1      6.86459
    189.3835378      62.2916230        500          1      1.12681
    189.1585830      62.2911688         16          1     0.600133
    189.5189565      62.2895834        100          1      8.71368
    189.4081658      62.2895319        500          1      1.00492
    189.4289685      62.2863445        250          1      1.83852
    189.5158640      62.2860497         16          1     -1.12079
    189.5152753      62.2854487         16          1     -1.48771
    189.5049573      62.2836178         16          1     -1.23885
    189.3807292      62.2828775        250          1      1.04283
    189.3886510      62.2821711         16          1      -1.9633
    189.2113501      62.2805534         16          1    -0.171962
    189.2392469      62.2802875        350          1     0.483038
    189.2253714      62.2799371        250          1      2.17144
    189.2247208      62.2791126        250          1      1.45218
    189.3844057      62.2779704        350          1      1.73731
    189.4365304      62.2779674        250          1     0.885833
    189.1583196      62.2777352        160          1      5.83741
    189.3898154      62.2775203        350          1     0.222356
    189.3869330      62.2771908        350          1      0.76499
    189.3884588      62.2771592        350          1     0.807331
    189.1727807      62.2770398        100          1      8.19897
    189.3884832      62.2768590        350          1     0.752554
