#   fcut    ncut    nsou    rsou   gnsou    grsou
#
   0.000       0    3334   4.066    2357   4.144
   0.120     200    3134   3.822    2192   3.854
   0.240     503    2831   3.453    1949   3.426
   0.360     813    2521   3.075    1714   3.013
   0.480    1104    2230   2.720    1506   2.648
   0.600    1383    1951   2.380    1291   2.270
   0.720    1628    1706   2.081    1111   1.953
   0.840    1826    1508   1.839     974   1.712
   0.960    2001    1333   1.626     840   1.477
   1.080    2140    1194   1.456     741   1.303
   1.200    2251    1083   1.321     664   1.167
   1.320    2351     983   1.199     587   1.032
   1.440    2452     882   1.076     519   0.912
   1.560    2523     811   0.989     467   0.821
   1.680    2596     738   0.900     425   0.747
   1.800    2662     672   0.820     385   0.677
   1.920    2721     613   0.748     348   0.612
   2.040    2777     557   0.679     311   0.547
   2.160    2824     510   0.622     278   0.489
   2.280    2862     472   0.576     256   0.450
   2.400    2882     452   0.551     245   0.431
   2.520    2907     427   0.521     232   0.408
   2.640    2929     405   0.494     216   0.380
   2.760    2951     383   0.467     204   0.359
   2.880    2978     356   0.434     187   0.329
   3.000    3003     331   0.404     172   0.302
   3.120    3032     302   0.368     158   0.278
   3.240    3049     285   0.348     146   0.257
   3.360    3062     272   0.332     140   0.246
   3.480    3073     261   0.318     132   0.232
   3.600    3095     239   0.291     120   0.211
   3.720    3108     226   0.276     116   0.204
   3.840    3119     215   0.262     113   0.199
   3.960    3129     205   0.250     105   0.185
   4.080    3134     200   0.244     101   0.178
   4.200    3148     186   0.227      93   0.164
   4.320    3153     181   0.221      91   0.160
   4.440    3160     174   0.212      85   0.149
   4.560    3166     168   0.205      82   0.144
   4.680    3172     162   0.198      78   0.137
   4.800    3177     157   0.191      75   0.132
   4.920    3183     151   0.184      69   0.121
   5.040    3191     143   0.174      63   0.111
   5.160    3198     136   0.166      58   0.102
   5.280    3202     132   0.161      57   0.100
   5.400    3207     127   0.155      56   0.098
   5.520    3214     120   0.146      53   0.093
   5.640    3220     114   0.139      50   0.088
   5.760    3223     111   0.135      47   0.083
   5.880    3225     109   0.133      46   0.081
   6.000    3229     105   0.128      43   0.076
