#   fcut    ncut    nsou    rsou   gnsou    grsou
#
   0.000       0    3361   8.712    2378   8.885
   0.060     524    2837   7.354    1949   7.282
   0.120    1005    2356   6.107    1595   5.960
   0.180    1455    1906   4.941    1257   4.697
   0.240    1767    1594   4.132    1029   3.845
   0.300    2040    1321   3.424     827   3.090
   0.360    2210    1151   2.984     710   2.653
   0.420    2379     982   2.545     592   2.212
   0.480    2506     855   2.216     502   1.876
   0.540    2589     772   2.001     443   1.655
   0.600    2674     687   1.781     389   1.453
   0.660    2745     616   1.597     342   1.278
   0.720    2794     567   1.470     312   1.166
   0.780    2852     509   1.319     278   1.039
   0.840    2896     465   1.205     252   0.942
   0.900    2930     431   1.117     233   0.871
   0.960    2951     410   1.063     221   0.826
   1.020    2975     386   1.001     204   0.762
   1.080    3004     357   0.925     189   0.706
   1.140    3023     338   0.876     179   0.669
   1.200    3049     312   0.809     161   0.602
   1.260    3065     296   0.767     150   0.560
   1.320    3083     278   0.721     140   0.523
   1.380    3093     268   0.695     135   0.504
   1.440    3111     250   0.648     125   0.467
   1.500    3125     236   0.612     117   0.437
   1.560    3132     229   0.594     114   0.426
   1.620    3142     219   0.568     109   0.407
   1.680    3154     207   0.537     100   0.374
   1.740    3162     199   0.516      95   0.355
   1.800    3167     194   0.503      92   0.344
   1.860    3170     191   0.495      90   0.336
   1.920    3183     178   0.461      84   0.314
   1.980    3188     173   0.448      81   0.303
   2.040    3193     168   0.435      81   0.303
   2.100    3199     162   0.420      77   0.288
   2.160    3203     158   0.410      76   0.284
   2.220    3210     151   0.391      72   0.269
   2.280    3216     145   0.376      70   0.262
   2.340    3218     143   0.371      70   0.262
   2.400    3221     140   0.363      67   0.250
   2.460    3223     138   0.358      65   0.243
   2.520    3230     131   0.340      62   0.232
   2.580    3234     127   0.329      59   0.220
   2.640    3235     126   0.327      59   0.220
   2.700    3240     121   0.314      57   0.213
   2.760    3240     121   0.314      57   0.213
   2.820    3244     117   0.303      54   0.202
   2.880    3246     115   0.298      53   0.198
   2.940    3251     110   0.285      51   0.191
   3.000    3254     107   0.277      49   0.183
